iter	Tweedie:variance_power=1.5
0	5.733137823
1	5.666357035
2	5.59801903
3	5.529484132
4	5.464830521
5	5.404172399
6	5.345057247
7	5.287885262
8	5.23368995
9	5.183059464
10	5.133426869
11	5.085436642
12	5.037244981
13	4.993370576
14	4.953597254
15	4.913217141
16	4.875945871
17	4.841474721
18	4.806897459
19	4.772236571
20	4.739304876
21	4.710066624
22	4.680277951
23	4.651940994
24	4.627344455
25	4.601059523
26	4.574263804
27	4.549422877
28	4.526341241
29	4.503383191
30	4.481065522
31	4.459625256
32	4.436952012
33	4.418187434
34	4.399908907
35	4.384720936
36	4.367333997
37	4.351721641
38	4.337762686
39	4.325065794
40	4.312149309
41	4.301113336
42	4.290212416
43	4.279043046
44	4.268657285
45	4.258428494
46	4.248683405
47	4.239896492
48	4.230222025
49	4.221612956
50	4.213437276
51	4.203553675
52	4.193442865
53	4.186005585
54	4.176730387
55	4.169566022
56	4.162229637
57	4.156011444
58	4.147111079
59	4.142067975
60	4.135691855
61	4.128541117
62	4.120286949
63	4.115825067
64	4.107022098
65	4.101070889
66	4.093307659
67	4.088485615
68	4.080801738
69	4.075257287
70	4.068603406
71	4.063408883
72	4.060313507
73	4.054130212
74	4.051308561
75	4.045430315
76	4.039953266
77	4.032790488
78	4.026367783
79	4.021830715
80	4.016903783
81	4.011947003
82	4.009102856
83	4.004220241
84	3.998500383
85	3.993558748
86	3.988413155
87	3.986162138
88	3.980728248
89	3.97638658
90	3.972600625
91	3.968646285
92	3.963928768
93	3.962802235
94	3.95926139
95	3.956002569
96	3.954831514
97	3.952004839
98	3.950142688
99	3.945973415
100	3.943288628
101	3.941751715
102	3.93971209
103	3.937193671
104	3.935468746
105	3.933866836
106	3.932473957
107	3.930417901
108	3.927875088
109	3.924904865
110	3.921791348
111	3.919452287
112	3.917982992
113	3.91418464
114	3.911668761
115	3.909036246
116	3.906766205
117	3.904707276
118	3.903400434
119	3.901941299
120	3.900619772
121	3.898754568
122	3.898140555
123	3.896202787
124	3.895997929
125	3.892836736
126	3.890534656
127	3.889367764
128	3.889065176
129	3.888454729
130	3.88793949
131	3.887454513
132	3.884780418
133	3.884444221
134	3.882437935
135	3.880516903
136	3.878793056
137	3.876904882
138	3.876582046
139	3.876576269
140	3.876185237
141	3.875745548
142	3.873311025
143	3.872141832
144	3.870927075
145	3.869942639
146	3.869915017
147	3.868132218
148	3.867575374
149	3.865786929
150	3.865473658
151	3.864866423
152	3.864581983
153	3.864275591
154	3.862958262
155	3.860515329
156	3.859960122
157	3.859780427
158	3.859430497
159	3.859373579
160	3.859177054
161	3.858090594
162	3.857259676
163	3.857036953
164	3.856871939
165	3.855961921
166	3.854843643
167	3.853264471
168	3.853004998
169	3.852556691
170	3.852249927
171	3.851646234
172	3.851319898
173	3.851138726
174	3.851105478
175	3.850846428
176	3.850505598
177	3.850379938
178	3.850102206
179	3.849843364
180	3.849717417
181	3.848277601
182	3.847951695
183	3.847692222
184	3.846992215
185	3.846253202
186	3.846023539
187	3.84578303
188	3.845553036
189	3.844823579
190	3.843589642
191	3.843352593
192	3.843259385
193	3.843239018
