iter	Passed	Remaining
0	4	2472
1	8	2527
2	13	2482
3	18	2559
4	21	2465
5	25	2405
6	30	2425
7	34	2410
8	38	2388
9	42	2388
10	46	2353
11	50	2325
12	54	2338
13	59	2336
14	63	2324
15	68	2340
16	72	2340
17	76	2335
18	81	2336
19	85	2339
20	89	2334
21	94	2330
22	98	2334
23	103	2329
24	108	2351
25	113	2364
26	118	2369
27	123	2380
28	129	2388
29	133	2393
30	139	2407
31	144	2414
32	149	2422
33	155	2438
34	161	2450
35	167	2471
36	174	2490
37	179	2496
38	185	2510
39	191	2522
40	196	2517
41	202	2521
42	207	2518
43	212	2526
44	218	2526
45	223	2525
46	229	2531
47	234	2532
48	240	2532
49	245	2529
50	250	2529
51	256	2535
52	261	2530
53	266	2527
54	272	2533
55	278	2533
56	283	2528
57	289	2537
58	295	2541
59	301	2542
60	307	2546
61	312	2543
62	317	2536
63	323	2534
64	327	2528
65	333	2525
66	340	2535
67	345	2532
68	351	2529
69	356	2529
70	361	2523
71	366	2516
72	373	2520
73	378	2516
74	383	2513
75	389	2513
76	395	2512
77	400	2505
78	406	2503
79	411	2497
80	415	2489
81	421	2487
82	427	2487
83	433	2487
84	439	2489
85	445	2488
86	451	2483
87	456	2478
88	460	2470
89	466	2464
90	471	2460
91	477	2458
92	483	2456
93	488	2454
94	494	2449
95	499	2447
96	506	2447
97	512	2445
98	518	2444
99	523	2438
100	529	2436
101	535	2433
102	540	2431
103	546	2429
104	552	2426
105	558	2425
106	564	2420
107	569	2415
108	575	2411
109	580	2405
110	586	2402
111	592	2400
112	597	2396
113	602	2389
114	608	2386
115	614	2382
116	620	2379
117	625	2376
118	631	2370
119	636	2366
120	641	2360
121	646	2353
122	652	2348
123	657	2342
124	662	2337
125	667	2332
126	673	2328
127	678	2321
128	683	2314
129	688	2308
130	694	2305
131	700	2301
132	706	2299
133	712	2295
134	717	2291
135	723	2286
136	729	2283
137	735	2280
138	741	2277
139	746	2271
140	751	2265
141	757	2262
142	762	2256
143	767	2250
144	773	2245
145	778	2239
146	783	2232
147	788	2227
148	793	2220
149	798	2214
150	804	2212
151	810	2207
152	816	2204
153	822	2200
154	827	2194
155	833	2190
156	839	2188
157	845	2184
158	850	2177
159	855	2171
160	861	2166
161	866	2161
162	873	2159
163	878	2154
164	885	2150
165	891	2148
166	897	2143
167	902	2138
168	908	2134
169	914	2129
170	919	2124
171	925	2119
172	930	2113
173	935	2108
174	941	2103
175	947	2098
176	952	2093
177	958	2088
178	963	2082
179	968	2076
180	973	2071
181	979	2066
182	984	2060
183	990	2056
184	995	2050
185	1001	2046
186	1007	2041
187	1012	2036
188	1017	2030
189	1023	2025
190	1029	2020
191	1034	2015
192	1040	2011
193	1046	2006
194	1052	2001
195	1057	1995
196	1062	1989
197	1067	1983
198	1072	1978
199	1078	1972
200	1083	1967
201	1089	1963
202	1096	1960
203	1103	1957
204	1110	1955
205	1116	1951
206	1123	1948
207	1131	1946
208	1137	1942
209	1143	1938
210	1151	1936
211	1157	1932
