player_id,player,team,conference,season,draft_year,draft_overall,position,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
135811,Justin Miller,Clemson,ACC,2004,2005,57,Defensive Back,,,,,,,,,,,4.7,3.0,0.0,14.0,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,2.0,2.0,12.1,69.0,28.0,1.0,338.0,,,,,,,,,,,,1.0,3.0,0.0,3.0,3.0
136743,Spencer Larsen,Arizona,Pac-10,2006,2008,183,Inside Linebacker,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136743,Spencer Larsen,Arizona,Pac-10,2007,2008,183,Inside Linebacker,,,,,,,,,,,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156974,Dennis Pitta,BYU,Mountain West,2004,2010,114,Tight End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,17.0,2.0,176.0,10.4,,,,,
156974,Dennis Pitta,BYU,Mountain West,2007,2010,114,Tight End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,59.0,5.0,813.0,13.8,,,,,
156974,Dennis Pitta,BYU,Mountain West,2008,2010,114,Tight End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,83.0,6.0,1083.0,13.0,,,,,
156974,Dennis Pitta,BYU,Mountain West,2009,2010,114,Tight End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,62.0,8.0,829.0,13.4,,,,,
159665,Willie Young,NC State,ACC,2006,2010,213,Defensive End,,,,,,,,,,,34.0,1.0,1.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159665,Willie Young,NC State,ACC,2008,2010,213,Defensive End,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159665,Willie Young,NC State,ACC,2009,2010,213,Defensive End,,,,,,,,,,,8.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
