pfr_player_id,player_name,pfr_player_name,position,primary_position,last_team,last_class,n_seasons,first_season,last_season,first_av_year,target_av,games,sacks,tackles_solo,tackles_ast,tackles_comb,tackles_for_loss,best_season_sacks,best_season_tackles_comb,best_season_tackles_for_loss,career_sacks_per_game,career_tfl_per_game
GreeAJ00,A.J. Green,A.J. Green,CB,CB,Oklahoma State,SO,1,2017,2017,2020,1.0,13,0.0,39,8,47,4.5,0.0,47,4.5,0.0,0.34615384615384615
WillAa00,Aaron Williams,Aaron Williams,S,LCB,Nebraska,SO,1,2016,2016,2011,5.0,13,2.0,32,30,62,5.0,2.0,62,5.0,0.15384615384615385,0.38461538461538464
JackAd00,Adoree Jackson,Adoree' Jackson,CB,CB,USC,FR,1,2014,2014,2017,12.0,13,0.0,45,4,49,4.0,0.0,49,4.0,0.0,0.3076923076923077
AmosAd00,Adrian Amos,Adrian Amos,S,SS,Penn State,JR,1,2013,2013,2015,11.0,11,2.5,32,18,50,4.0,2.5,50,4.0,0.22727272727272727,0.36363636363636365
CookAl00,Alex Cook,Alex Cook,S,S,Washington,SR,1,2022,2022,2023,1.0,13,0.0,56,26,82,0.0,0.0,82,,0.0,0.0
GilmAl00,Alohi Gilman,Alohi Gilman,S,S,Notre Dame,SR,3,2016,2019,2020,2.0,40,1.0,140,104,244,8.0,1.0,94,5.0,0.025,0.2
SamxAn00,Andre Sam,Andre' Sam,S,S,Marshall,SR,1,2022,2022,2024,0.0,12,0.0,32,21,53,5.5,0.0,53,5.5,0.0,0.4583333333333333
AdamAn00,Andrew Adams,Andrew Adams,S,DB,Connecticut,SR,2,2014,2015,2016,7.0,25,0.0,121,78,199,0.0,0.0,103,,0.0,0.0
BootAn00,Andrew Booth Jr.,Andrew Booth,CB,CB,Clemson,JR,1,2021,2021,2022,2.0,11,0.0,26,11,37,3.0,0.0,37,3.0,0.0,0.2727272727272727
WingAn01,Andrew Wingard,Andrew Wingard,S,S,Wyoming,JR,3,2015,2017,2019,4.0,39,3.0,228,139,367,0.0,2.0,131,,0.07692307692307693,0.0
BreeBa00,Bashaud Breeland,Bashaud Breeland,CB,LCB,Clemson,JR,1,2013,2013,2014,12.0,13,2.0,39,17,56,5.0,2.0,56,5.0,0.15384615384615385,0.38461538461538464
JackBe00,Bennett Jackson,Bennett Jackson,CB,DB,Notre Dame,SR,1,2013,2013,2019,0.0,13,1.0,41,23,64,5.0,1.0,64,5.0,0.07692307692307693,0.38461538461538464
FacyBr00,Brandon Facyson,Brandon Facyson,CB,DB,Virginia Tech,JR,1,2016,2016,2018,3.0,14,0.0,32,16,48,4.0,0.0,48,4.0,0.0,0.2857142857142857
BordBr00,Breon Borders,Breon Borders,CB,DB,Duke,JR,1,2015,2015,2017,0.0,13,1.0,39,17,56,4.0,1.0,56,4.0,0.07692307692307693,0.3076923076923077
CookBr02,Bryan Cook,Bryan Cook,S,S,Cincinnati,SR,1,2021,2021,2022,6.0,14,1.0,55,38,93,0.0,1.0,93,,0.07142857142857142,0.0
CallBr00,Bryce Callahan,Bryce Callahan,CB,DB,Rice,SR,2,2013,2014,2015,4.0,27,1.0,65,13,78,7.0,1.0,44,4.0,0.037037037037037035,0.25925925925925924
HallBr02,Bryce Hall,Bryce Hall,CB,CB,Virginia,SO,1,2017,2017,2020,8.0,13,1.0,29,18,47,3.0,1.0,47,3.0,0.07692307692307693,0.23076923076923078
ReavC.00,C.J. Reavis,C.J. Reavis,S,DB,Marshall,SR,1,2017,2017,2018,0.0,12,0.0,32,31,63,3.0,0.0,63,3.0,0.0,0.25
PryoCa00,Calvin Pryor,Calvin Pryor,S,SS,Louisville,JR,1,2013,2013,2014,9.0,10,0.0,52,20,72,3.0,0.0,72,3.0,0.0,0.3
HartCa00,Cam Hart,Cam Hart,CB,CB,Notre Dame,JR,1,2021,2021,2024,6.0,13,0.0,25,17,42,4.0,0.0,42,4.0,0.0,0.3076923076923077
BynuCa00,Camryn Bynum,Camryn Bynum,CB,FS,California,JR,1,2019,2019,2021,8.0,13,0.0,39,24,63,3.0,0.0,63,3.0,0.0,0.23076923076923078
SullCh00,Chandon Sullivan,Chandon Sullivan,CB,DB,Georgia State,SO,1,2015,2015,2018,2.0,13,2.0,42,8,50,4.5,2.0,50,4.5,0.15384615384615385,0.34615384615384615
WashCh01,Charles Washington,Charles Washington,S,DB,Fresno State,JR,1,2014,2014,2017,2.0,14,0.5,61,17,78,0.0,0.5,78,,0.03571428571428571,0.0
WardCh01,Charvarius Ward,Charvarius Ward,CB,LCB,Middle Tennessee State,SR,1,2017,2017,2018,6.0,13,1.0,34,14,48,3.0,1.0,48,3.0,0.07692307692307693,0.23076923076923078
JoneCh06,Chris Jones,Chris Jones,CB,DB,Nebraska,JR,1,2016,2016,2018,1.0,13,1.0,33,4,37,3.0,1.0,37,3.0,0.07692307692307693,0.23076923076923078
GonzCh00,Christian Gonzalez,Christian Gonzalez,CB,CB,Colorado,FR,1,2021,2021,2023,12.0,12,0.0,42,11,53,5.5,0.0,53,5.5,0.0,0.4583333333333333
RolaCh00,Christian Roland-Wallace,Christian Roland-Wallace,CB,CB,Arizona,SO,1,2021,2021,2024,4.0,12,1.5,33,15,48,3.0,1.5,48,3.0,0.125,0.25
ClarCh00,Chuck Clark,Chuck Clark,CB,SS,Virginia Tech,JR,1,2015,2015,2017,3.0,13,1.0,65,42,107,0.0,1.0,107,,0.07692307692307693,0.0
FlotCo00,Cordale Flott,Cordale Flott,CB,CB,LSU,SO,1,2020,2020,2022,5.0,10,0.0,31,12,43,4.5,0.0,43,4.5,0.0,0.45
MoorCo00,Corey Moore,Corey Moore,S,DB,Georgia,JR,1,2013,2013,2015,3.0,12,1.0,27,8,35,3.0,1.0,35,3.0,0.08333333333333333,0.25
LostCr00,Craig Loston,Craig Loston,S,DB,LSU,SR,1,2013,2013,2014,1.0,9,1.0,35,22,57,4.0,1.0,57,4.0,0.1111111111111111,0.4444444444444444
WillDa15,Damarion Williams,Damarion Williams,CB,CB,Houston,SR,2,2019,2021,2022,1.0,26,0.0,107,29,136,8.5,0.0,73,5.5,0.0,0.3269230769230769
SwanDa02,Damian Swann,Damian Swann,CB,DB,Georgia,SR,1,2014,2014,2015,1.0,12,2.0,35,30,65,4.5,2.0,65,4.5,0.16666666666666666,0.375
ArneDa00,Damon Arnette,Damon Arnette,CB,CB,Ohio State,SO,1,2017,2017,2020,2.0,14,0.0,35,9,44,3.0,0.0,44,3.0,0.0,0.21428571428571427
KazeDa00,Damontae Kazee,Damontae Kazee,CB,FS,San Diego State,SR,1,2016,2016,2017,7.0,14,0.0,45,20,65,3.0,0.0,65,3.0,0.0,0.21428571428571427
CruiDa00,Dane Cruikshank,Dane Cruikshank,CB,DB,Arizona,SR,1,2017,2017,2018,2.0,13,1.5,55,20,75,5.5,1.5,75,5.5,0.11538461538461539,0.4230769230769231
ThomDa05,Darian Thompson,Darian Thompson,S,DB,Boise State,JR,1,2014,2014,2016,6.0,13,0.0,50,21,71,5.0,0.0,71,5.0,0.0,0.38461538461538464
HillDa02,Darius Hillary,Darius Hillary,CB,DB,Wisconsin,JR,1,2014,2014,2017,0.0,14,0.0,21,20,41,3.0,0.0,41,3.0,0.0,0.21428571428571427
PhilDa02,Darius Phillips,Darius Phillips,CB,DB,Western Michigan,SR,3,2015,2017,2018,3.0,39,2.0,90,38,128,14.0,1.0,48,5.0,0.05128205128205128,0.358974358974359
ForrDa00,Darrick Forrest,Darrick Forrest,S,DB,Cincinnati,JR,1,2019,2019,2021,5.0,14,0.0,63,43,106,0.0,0.0,106,,0.0,0.0
WorlDa00,Daryl Worley,Daryl Worley,CB,CB,West Virginia,SO,2,2013,2014,2016,11.0,22,0.0,80,17,97,7.5,0.0,52,4.5,0.0,0.3409090909090909
ElliDe02,DeShon Elliott,DeShon Elliott,S,FS,Texas,SO,1,2016,2016,2019,7.0,11,1.0,24,6,30,3.0,1.0,30,3.0,0.09090909090909091,0.2727272727272727
