pfr_player_id,player_name,pfr_player_name,position,primary_position,last_team,last_class,n_seasons,first_season,last_season,first_av_year,target_av,games,rush_att,rush_yds,rush_td,best_season_rush_yds,best_season_rush_td,career_rush_y_per_a
DillAJ00,AJ Dillon,AJ Dillon,RB,RB,Boston College,JR,2,2017,2019,2020,11.0,26,618,3274,28,1685,14,5.297734627831715
GreeA.00,AJ Green,A.J. Green,RB,WR,Arkansas,SO,1,2022,2022,2011,23.0,13,87,414,3,414,3,4.758620689655173
GreeAa01,Aaron Green,Aaron Green,RB,RB,Texas Christian,SR,2,2014,2015,2016,0.0,26,373,2194,20,1272,11,5.882037533512064
EcheAd00,Adimchinobe Echemandu,Adimchinobe Echemandu,RB,RB,California,SR,1,2003,2003,2004,0.0,13,238,1195,13,1195,13,5.0210084033613445
KillAd00,Adrian Killins,Adrian Killins,RB,RB,UCF,JR,2,2017,2018,2020,0.0,26,269,1505,14,790,10,5.594795539033457
PeteAd00,Adrian Peterson,Adrian Peterson,RB,RB,Oklahoma,FR,1,2004,2004,2002,1.0,13,339,1925,15,1925,15,5.678466076696165
YounAl01,Albert Young,Albert Young,RB,RB,Iowa,JR,1,2006,2006,2009,0.0,13,178,779,7,779,7,4.376404494382022
CollAl00,Alex Collins,Alex Collins,RB,RB,Arkansas,JR,2,2014,2015,2016,11.0,26,475,2677,32,1577,20,5.635789473684211
GreeAl00,Alex Green,Alex Green,RB,RB,Hawaii,SR,2,2009,2010,2011,5.0,27,232,1652,20,1199,18,7.120689655172414
MattAl01,Alexander Mattison,Alexander Mattison,RB,RB,Boise State,JR,2,2017,2018,2019,8.0,27,514,2501,29,1415,17,4.865758754863813
BradAl00,Allen Bradford,Allen Bradford,RB,RB,USC,JR,1,2009,2009,2011,0.0,13,115,668,8,668,8,5.808695652173913
HarrAl00,Alonzo Harris,Alonzo Harris,RB,RB,Louisiana,JR,1,2013,2013,2015,0.0,13,199,942,14,942,14,4.733668341708543
KamaAl00,Alvin Kamara,Alvin Kamara,RB,RB,Tennessee,SO,1,2015,2015,2017,31.0,13,107,698,7,698,7,6.5233644859813085
PearAl00,Alvin Pearman,Alvin Pearman,RB,RB,Virginia,JR,1,2003,2003,2005,5.0,13,134,643,4,643,4,4.798507462686567
AbduAm00,Ameer Abdullah,Ameer Abdullah,RB,RB,Nebraska,SR,3,2012,2014,2015,6.0,40,771,4438,36,1690,19,5.756160830090791
BrowAn03,Andre Brown,Andre Brown,RB,RB,North Carolina State,SR,1,2008,2008,2010,4.0,13,175,767,7,767,7,4.382857142857143
ElliAn00,Andre Ellington,Andre Ellington,RB,RB,Clemson,SR,2,2011,2012,2013,12.0,26,435,2259,19,1178,11,5.1931034482758625
WillAn00,Andre Williams,Andre Williams,RB,RB,Boston College,SR,1,2013,2013,2014,6.0,13,355,2177,18,2177,18,6.132394366197183
AlleAn01,Anthony Allen,Anthony Allen,RB,RB,Georgia Tech,SR,2,2006,2010,2011,1.0,26,336,1722,20,1316,13,5.125
DixoAn00,Anthony Dixon,Anthony Dixon,RB,RB,Mississippi State,SO,1,2007,2007,2010,2.0,13,287,1066,14,1066,14,3.7142857142857144
SmitAn01,Antone Smith,Antone Smith,RB,RB,Florida State,SR,1,2008,2008,2010,0.0,13,177,792,15,792,15,4.47457627118644
AndrAn00,Antonio Andrews,Antonio Andrews,RB,RB,Western Kentucky,JR,1,2012,2012,2014,4.0,13,304,1728,11,1728,11,5.684210526315789
PittAn00,Antonio Pittman,Antonio Pittman,RB,FB,Ohio State,JR,1,2006,2006,2007,3.0,13,242,1233,14,1233,14,5.095041322314049
FostAr00,Arian Foster,Arian Foster,RB,RB,Tennessee,JR,1,2007,2007,2009,23.0,14,245,1193,12,1193,12,4.869387755102041
AlleAr00,Armando Allen,Armando Allen,RB,RB,Notre Dame,SO,1,2008,2008,2011,1.0,13,134,585,3,585,3,4.365671641791045
EstiAu00,Audric Estime,Audric Estime,RB,RB,Notre Dame,SO,1,2022,2022,2024,4.0,13,156,920,11,920,11,5.897435897435898
WaltAu00,Austin Walter,Austin Walter,RB,RB,Rice,SR,1,2018,2018,2019,0.0,13,133,564,4,564,4,4.2406015037593985
CoboAv00,Avon Cobourne,Avon Cobourne,RB,RB,West Virginia,SR,1,2002,2002,2003,0.0,13,335,1710,17,1710,17,5.104477611940299
AskeB.00,B.J. Askew,B.J. Askew,RB,FB,Michigan,SR,1,2002,2002,2003,0.0,13,110,568,6,568,6,5.163636363636364
BatcBa00,Baron Batch,Baron Batch,RB,RB,Texas Tech,SR,3,2008,2010,2012,1.0,39,458,2458,26,884,14,5.366812227074236
TateBe00,Ben Tate,Ben Tate,RB,RB,Auburn,SR,2,2007,2009,2011,9.0,26,465,2265,18,1362,10,4.870967741935484
SankBi00,Bishop Sankey,Bishop Sankey,RB,RB,Washington,JR,2,2012,2013,2014,6.0,26,616,3309,36,1870,20,5.371753246753247
CoruBl00,Blake Corum,Blake Corum,RB,RB,Michigan,SR,1,2023,2023,2024,8.0,15,258,1245,27,1245,27,4.825581395348837
WatsBl00,Blake Watson,Blake Watson,RB,RB,Memphis,SR,1,2023,2023,2024,0.0,13,192,1152,14,1152,14,6.0
ScarBo01,Bo Scarbrough,Bo Scarbrough,RB,RB,Alabama,JR,2,2016,2017,2019,2.0,27,249,1408,19,812,11,5.6546184738955825
ScotBo02,Boston Scott,Boston Scott,RB,RB,Louisiana Tech,SR,1,2017,2017,2018,3.0,13,182,1040,8,1040,8,5.714285714285714
BoldBr00,Brandon Bolden,Brandon Bolden,RB,RB,Ole Miss,SO,2,2008,2009,2012,5.0,26,227,1156,9,614,5,5.092511013215859
JackBr00,Brandon Jackson,Brandon Jackson,RB,RB,Nebraska,JR,1,2006,2006,2007,6.0,14,188,989,8,989,8,5.26063829787234
JoneBr02,Brandon Jones,Brandon Jones,RB,WR,Purdue,FR,1,2002,2002,2005,6.0,13,127,668,3,668,3,5.25984251968504
MireBr00,Brandon Miree,Brandon Miree,RB,RB,Pitt,JR,1,2002,2002,2006,0.0,13,214,943,4,943,4,4.406542056074766
SainBr00,Brandon Saine,Brandon Saine,RB,RB,Ohio State,JR,1,2009,2009,2011,1.0,13,145,739,4,739,4,5.096551724137931
WildBr01,Brandon Wilds,Brandon Wilds,RB,RB,South Carolina,FR,1,2011,2011,2016,0.0,13,107,486,3,486,3,4.542056074766355
WillBr01,Brandon Williams,Brandon Williams,RB,WR,Texas A&M,JR,1,2014,2014,2006,0.0,13,87,379,3,379,3,4.35632183908046
CalhBr00,Brian Calhoun,Brian Calhoun,RB,RB,Wisconsin,JR,1,2005,2005,2006,1.0,13,348,1636,22,1636,22,4.7011494252873565
HillBr02,Brian Hill,Brian Hill,RB,RB,Wyoming,JR,1,2016,2016,2017,2.0,14,349,1860,22,1860,22,5.329512893982808
LeonBr00,Brian Leonard,Brian Leonard,RB,RB,Rutgers,SR,1,2006,2006,2007,3.0,13,93,423,5,423,5,4.548387096774194
RobiBr01,Brian Robinson Jr.,Brian Robinson Jr.,RB,RB,Alabama,SR,3,2019,2021,2022,10.0,40,458,2267,25,1343,14,4.949781659388647
BrowBr06,Brittain Brown,Brittain Brown,RB,RB,Duke,FR,1,2017,2017,2022,0.0,13,130,701,7,701,7,5.392307692307693
ForsBr00,Brock Forsey,Brock Forsey,RB,RB,Boise State,SR,1,2002,2002,2003,2.0,13,295,1611,26,1611,26,5.461016949152542
IrviBu00,Bucky Irving,Bucky Irving,RB,RB,Oregon,JR,1,2023,2023,2024,18.0,14,186,1180,11,1180,11,6.344086021505376
SpilC.00,C.J. Spiller,C.J. Spiller,RB,RB,Clemson,SR,3,2006,2009,2010,10.0,40,490,2918,25,1212,12,5.955102040816326
WillCa02,Cadillac Williams,Cadillac Williams,RB,RB,Auburn,SR,2,2003,2004,2005,14.0,26,480,2472,29,1307,17,5.15
AkerCa00,Cam Akers,Cam Akers,RB,RB,Florida State,FR,1,2017,2017,2020,4.0,13,194,1024,7,1024,7,5.278350515463917
