av_row_id,season,team,team_raw,franchise_id,pfr_player_id,player_name,position,position_group,experience,experience_raw,av
1999_CLE_AbduKa00,1999,CLE,CLE,CLE,AbduKa00,Karim Abdul-Jabbar,RB,RB,3,3,3.0
1999_CLE_AbduRa20,1999,CLE,CLE,CLE,AbduRa20,Rahim Abdullah,LLB,OTHER,0,Rook,4.0
1999_CLE_AlexDe20,1999,CLE,CLE,CLE,AlexDe20,Derrick Alexander,RDE,OTHER,4,4,5.0
1999_CLE_BallJe00,1999,CLE,CLE,CLE,BallJe00,Jerry Ball,DT,DL,12,12,1.0
1999_CLE_BarkRo20,1999,CLE,CLE,CLE,BarkRo20,Roy Barker,DE,DL,7,7,1.0
1999_CLE_BoboOr20,1999,CLE,CLE,CLE,BoboOr20,Orlando Bobo,G,OL,2,2,1.0
1999_CLE_BrowLo00,1999,CLE,CLE,CLE,BrowLo00,Lomas Brown,LT,OTHER,14,14,4.0
1999_CLE_BrowOr20,1999,CLE,CLE,CLE,BrowOr20,Orlando Brown,RT,OTHER,5,5,6.0
1999_CLE_BundJi20,1999,CLE,CLE,CLE,BundJi20,Jim Bundren,G,OL,0,Rook,1.0
1999_CLE_CampMa00,1999,CLE,CLE,CLE,CampMa00,Mark Campbell,TE,TE,0,Rook,1.0
1999_CLE_ChanRo21,1999,CLE,CLE,CLE,ChanRo21,Roger Chanoine,T,OL,1,1,0.0
1999_CLE_ChiaDa00,1999,CLE,CLE,CLE,ChiaDa00,Darrin Chiaverini,WR,WR,0,Rook,4.0
1999_CLE_ColiSt20,1999,CLE,CLE,CLE,ColiSt20,Stalin Colinet,RDT,OTHER,2,2,2.0
1999_CLE_CoucTi00,1999,CLE,CLE,CLE,CoucTi00,Tim Couch,QB,QB,0,Rook,8.0
1999_CLE_DaviZo00,1999,CLE,CLE,CLE,DaviZo00,Zola Davis,WR,WR,0,Rook,0.0
1999_CLE_dawsophi01,1999,CLE,CLE,CLE,dawsophi01,Phil Dawson,K,ST,1,1,2.0
1999_CLE_DearJa00,1999,CLE,CLE,CLE,DearJa00,James Dearth,TE,TE,0,Rook,0.0
1999_CLE_DetmTy00,1999,CLE,CLE,CLE,DetmTy00,Ty Detmer,QB,QB,6,6,2.0
1999_CLE_DuffBi20,1999,CLE,CLE,CLE,DuffBi20,Bill Duff,DT,DL,0,Rook,0.0
1999_CLE_DunnDa01,1999,CLE,CLE,CLE,DunnDa01,Damon Dunn,WR,WR,0,Rook,0.0
1999_CLE_DunnDa00,1999,CLE,CLE,CLE,DunnDa00,David Dunn,WR,WR,4,4,0.0
1999_CLE_EdwaMa00,1999,CLE,CLE,CLE,EdwaMa00,Marc Edwards,FB,RB,2,2,2.0
1999_CLE_ForbMa20,1999,CLE,CLE,CLE,ForbMa20,Marlon Forbes,DB,DB,3,3,1.0
1999_CLE_FullCo20,1999,CLE,CLE,CLE,FullCo20,Corey Fuller,FS,DB,4,4,5.0
1999_CLE_GardCh20,1999,CLE,CLE,CLE,GardCh20,Chris Gardocki,P,ST,8,8,3.0
1999_CLE_GibsDa00,1999,CLE,CLE,CLE,GibsDa00,Damon Gibson,WR,WR,1,1,0.0
