college_player_season_id,cfb_player_id,player,college_team,conference,season,draft_season,draft_round,draft_pick_in_round,draft_overall,position,position_group,defensive_pd,defensive_qb_hur,defensive_sacks,defensive_solo,defensive_td,defensive_tfl,defensive_tot,fumbles_fum,fumbles_lost,fumbles_rec,interceptions_avg,interceptions_int,interceptions_td,interceptions_yds,kickreturns_avg,kickreturns_long,kickreturns_no,kickreturns_td,kickreturns_yds,kicking_fga,kicking_fgm,kicking_long,kicking_pct,kicking_pts,kicking_xpa,kicking_xpm,passing_att,passing_completions,passing_int,passing_pct,passing_td,passing_yds,passing_ypa,puntreturns_avg,puntreturns_long,puntreturns_no,puntreturns_td,puntreturns_yds,punting_in_20,punting_long,punting_no,punting_tb,punting_yds,punting_ypp,receiving_long,receiving_rec,receiving_td,receiving_yds,receiving_ypr,rushing_car,rushing_long,rushing_td,rushing_yds,rushing_ypc
135811_2004,135811,Justin Miller,Clemson,ACC,2004,2005,2,25,57,DEFENSIVEBACK,DB,,,,,,,,,,,4.7,3.0,0.0,14.0,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,2.0,2.0,12.1,69.0,28.0,1.0,338.0,,,,,,,,,,,,1.0,3.0,0.0,3.0,3.0
136743_2006,136743,Spencer Larsen,Arizona,Pac-10,2006,2008,6,17,183,INSIDELINEBACKER,LB,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136743_2007,136743,Spencer Larsen,Arizona,Pac-10,2007,2008,6,17,183,INSIDELINEBACKER,LB,,,,,,,,,,,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156974_2004,156974,Dennis Pitta,BYU,Mountain West,2004,2010,4,16,114,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,17.0,2.0,176.0,10.4,,,,,
156974_2007,156974,Dennis Pitta,BYU,Mountain West,2007,2010,4,16,114,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,59.0,5.0,813.0,13.8,,,,,
156974_2008,156974,Dennis Pitta,BYU,Mountain West,2008,2010,4,16,114,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,83.0,6.0,1083.0,13.0,,,,,
156974_2009,156974,Dennis Pitta,BYU,Mountain West,2009,2010,4,16,114,TIGHTEND,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,62.0,8.0,829.0,13.4,,,,,
159665_2006,159665,Willie Young,NC State,ACC,2006,2010,7,6,213,DEFENSIVEEND,DL,,,,,,,,,,,34.0,1.0,1.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159665_2008,159665,Willie Young,NC State,ACC,2008,2010,7,6,213,DEFENSIVEEND,DL,,,,,,,,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159665_2009,159665,Willie Young,NC State,ACC,2009,2010,7,6,213,DEFENSIVEEND,DL,,,,,,,,,,,8.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160327_2006,160327,Robert Henson,TCU,Mountain West,2006,2009,6,13,186,INSIDELINEBACKER,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,
160327_2007,160327,Robert Henson,TCU,Mountain West,2007,2009,6,13,186,INSIDELINEBACKER,LB,,,,,,,,,,,50.5,2.0,1.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160327_2008,160327,Robert Henson,TCU,Mountain West,2008,2009,6,13,186,INSIDELINEBACKER,LB,,,,,,,,,,,0.5,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
