roster_row_id,season,team,team_draft_code,franchise_id,player_id,pfr_id,esb_id,smart_id,player_name,first_name,last_name,football_name,position_raw,depth_chart_position_clean,roster_position,position_group,jersey_number,status,status_group,is_active,birth_date,age,height,weight,bmi,college,years_exp,entry_year,rookie_year,draft_club,draft_number,draft_round_est,is_rookie,is_young_player,is_veteran_5plus,is_drafted,is_top100_draftee
2002_ARZ_00-0020505,2002,ARZ,ARI,ARI,00-0020505,,WIL647976,32005749-4c64-7976-afc4-daa30bc49d06,Adrian Wilson,Adrian,Wilson,Adrian,SS,UNK,SS,DB,24.0,ACT,active,1,1979-10-12,22.0,75.0,217.0,27.120177777777776,,1.0,2001.0,2001.0,ARZ,64.0,2.0,0,1,0,1,1
2002_ARZ_00-0003105,2002,ARZ,ARI,ARI,00-0003105,,CLE167954,3200434c-4516-7954-e59d-47b151374023,Anthony Clement,Anthony,Clement,Anthony,T,UNK,T,OL,65.0,RES,reserve,0,1976-04-10,26.0,80.0,328.0,36.02875,,4.0,1998.0,1998.0,ARZ,36.0,2.0,0,0,0,1,1
2002_ARZ_00-0020018,2002,ARZ,ARI,ARI,00-0020018,,JAC038181,32004a41-4303-8181-2515-8d12b2d3a1f9,Arnold Jackson,Arnold,Jackson,Arnold,WR,UNK,WR,WR,84.0,ACT,active,1,1977-04-09,25.0,68.0,173.0,26.301686851211073,,1.0,2001.0,2001.0,,,,0,1,0,0,0
2002_ARZ_00-0016041,2002,ARZ,ARI,ARI,00-0016041,,TAN404038,32005441-4e40-4038-aa30-c0cb780c7bea,Barron Tanner,Barron,Tanner,Barron,DT,UNK,DT,DL,92.0,ACT,active,1,1973-09-14,28.0,75.0,346.0,43.242311111111114,,5.0,1997.0,1997.0,MIA,149.0,5.0,0,0,1,1,0
2002_ARZ_00-0020296,2002,ARZ,ARI,ARI,00-0020296,,GRA269674,32004752-4126-9674-d21f-f63cc67b0806,Bill Gramatica,Guillermo,Gramatica,Bill,K,UNK,K,ST,7.0,ACT,active,1,1978-07-10,24.0,70.0,187.0,26.82877551020408,,1.0,2001.0,2001.0,ARZ,98.0,4.0,0,1,0,1,1
2002_ARZ_00-0019302,2002,ARZ,ARI,ARI,00-0019302,,GIL775180,32004749-4c77-5180-6f62-27a549bb5f8a,Bryan Gilmore,Bryan,Gilmore,Bryan,WR,UNK,WR,WR,86.0,RES,reserve,0,1978-07-21,24.0,72.0,193.0,26.172646604938272,,2.0,2000.0,2000.0,,,,0,1,0,0,0
2002_ARZ_00-0004336,2002,ARZ,ARI,ARI,00-0004336,,DIS613185,32004449-5361-3185-93c9-276644c924fb,Chris Dishman,Chris,Dishman,Chris,G,UNK,G,OL,67.0,ACT,active,1,1974-02-27,28.0,75.0,340.0,42.492444444444445,,5.0,1997.0,1997.0,ARZ,106.0,4.0,0,0,1,1,0
2002_ARZ_00-0013623,2002,ARZ,ARI,ARI,00-0013623,,RHI444955,32005248-4944-4955-d43f-4c36df1d2c9c,Coby Rhinehart,Jacoby,Rhinehart,Coby,CB,UNK,CB,DB,23.0,ACT,active,1,1977-02-07,25.0,71.0,196.0,27.33346558222575,,3.0,1999.0,1999.0,ARZ,190.0,6.0,0,0,0,1,0
2002_ARZ_00-0021048,2002,ARZ,ARI,ARI,00-0021048,,AND174725,3200414e-4417-4725-747c-244a85f5e402,Damien Anderson,Damien,Anderson,Damien,RB,UNK,RB,RB,20.0,ACT,active,1,1979-07-17,23.0,70.0,212.0,30.41551020408163,,0.0,2002.0,2002.0,,,,1,1,0,0,0
2002_ARZ_00-0019469,2002,ARZ,ARI,ARI,00-0019469,,BAR591346,32004241-5259-1346-b02a-2b32163969f7,David Barrett,David,Barrett,David,CB,UNK,CB,DB,36.0,ACT,active,1,1977-12-22,24.0,70.0,198.0,28.40693877551021,,2.0,2000.0,2000.0,ARZ,102.0,4.0,0,1,0,1,0
2002_ARZ_00-0001532,2002,ARZ,ARI,ARI,00-0001532,,BOS674793,3200424f-5367-4793-6f50-b41221eb8037,David Boston,David,Boston,David,WR,UNK,WR,WR,89.0,RES,reserve,0,1978-08-19,24.0,74.0,236.0,30.2972972972973,,3.0,1999.0,1999.0,ARZ,8.0,1.0,0,0,0,1,1
2002_ARZ_00-0021086,2002,ARZ,ARI,ARI,00-0021086,,JOH187803,32004a4f-4818-7803-cda0-39544b78cb83,Dennis Johnson,Dennis,Johnson,Dennis,DE,UNK,DE,DL,96.0,ACT,active,1,1979-12-04,22.0,77.0,264.0,31.302411873840445,,0.0,2002.0,2002.0,ARZ,98.0,4.0,1,1,0,1,1
2002_ARZ_00-0010951,2002,ARZ,ARI,ARI,00-0010951,,MCK395782,32004d43-4b39-5782-ebb4-05fe5d6ff3be,Dennis McKinley,Dennis,McKinley,Dennis,FB,UNK,FB,RB,39.0,ACT,active,1,1976-11-03,25.0,74.0,247.0,31.70945945945946,,3.0,1999.0,1999.0,ARZ,206.0,7.0,0,0,0,1,0
2002_ARZ_00-0018587,2002,ARZ,ARI,ARI,00-0018587,,MOR161495,32004d4f-5216-1495-d817-2f1984d8ebf9,Don Morgan,Don,Morgan,Don,SS,UNK,SS,DB,47.0,CUT,cut,0,1975-09-18,26.0,71.0,202.0,28.170204324538783,,3.0,1999.0,1999.0,,,,0,0,0,0,0
2002_ARZ_00-0015577,2002,ARZ,ARI,ARI,00-0015577,,STA575276,32005354-4157-5276-a885-b4907697f5ac,Duane Starks,Duane,Starks,Duane,CB,UNK,CB,DB,22.0,ACT,active,1,1974-05-23,28.0,70.0,172.0,24.676734693877552,,4.0,1998.0,1998.0,BLT,10.0,1.0,0,0,0,1,1
2002_ARZ_00-0014328,2002,ARZ,ARI,ARI,00-0014328,,SAN326913,32005341-4e32-6913-6caa-8a1579d4cd27,Frank Sanders,Frank,Sanders,Frank,WR,UNK,WR,WR,81.0,RES,reserve,0,1973-02-17,29.0,74.0,215.0,27.60135135135135,,7.0,1995.0,1995.0,ARZ,47.0,2.0,0,0,1,1,1
2002_ARZ_00-0020024,2002,ARZ,ARI,ARI,00-0020024,,WAK168981,32005741-4b16-8981-8079-fa070fc86c45,Fred Wakefield,Fred,Wakefield,Fred,DE,UNK,DE,DL,97.0,ACT,active,1,1978-09-17,23.0,79.0,288.0,32.44095497516424,,1.0,2001.0,2001.0,,,,0,1,0,0,0
2002_ARZ_00-0008749,2002,ARZ,ARI,ARI,00-0008749,,JON318912,32004a4f-4e31-8912-615c-5130cfea1c2c,Freddie Jones,Freddie,Jones,Freddie,TE,UNK,TE,TE,85.0,ACT,active,1,1974-09-16,27.0,76.0,271.0,32.983552631578945,,5.0,1997.0,1997.0,SD,45.0,2.0,0,0,1,1,1
2002_ARZ_00-0008755,2002,ARZ,ARI,ARI,00-0008755,,JON355454,32004a4f-4e35-5454-2dec-2c5597592ee8,Greg Jones,Greg,Jones,Greg,OLB,UNK,OLB,LB,51.0,ACT,active,1,1974-05-22,28.0,76.0,248.0,30.18421052631579,,5.0,1997.0,1997.0,WAS,51.0,2.0,0,0,1,1,1
2002_ARZ_00-0013042,2002,ARZ,ARI,ARI,00-0013042,,PLU243945,3200504c-5524-3945-8a3a-3e5d59310cf3,Jake Plummer,Jake,Plummer,Jake,QB,UNK,QB,QB,16.0,ACT,active,1,1974-12-19,27.0,74.0,212.0,27.216216216216218,,5.0,1997.0,1997.0,ARZ,42.0,2.0,0,0,1,1,1
2002_ARZ_00-0021063,2002,ARZ,ARI,ARI,00-0021063,,SOL138501,3200534f-4c13-8501-5909-dca6ee971e71,Jake Soliday,Jacob,Soliday,Jake,WR,UNK,WR,WR,18.0,ACT,active,1,1978-11-16,23.0,73.0,193.0,25.460499155563895,,0.0,2002.0,2002.0,,,,1,1,0,0,0
2002_ARZ_00-0020011,2002,ARZ,ARI,ARI,00-0020011,,BOR730910,3200424f-5273-0910-6d72-90645aa1eebb,Jarvis Borum,Jarvis,Borum,Jarvis,T,UNK,T,OL,61.0,CUT,cut,0,1978-09-16,23.0,79.0,324.0,36.49607434705977,,1.0,2001.0,2001.0,,,,0,1,0,0,0
2002_ARZ_00-0021094,2002,ARZ,ARI,ARI,00-0021094,,MCA222476,32004d43-4122-2476-216e-f604793b2ccb,Jason McAddley,Jason,McAddley,Jason,WR,UNK,WR,WR,83.0,ACT,active,1,1979-07-28,23.0,74.0,204.0,26.18918918918919,,0.0,2002.0,2002.0,ARZ,149.0,5.0,1,1,0,1,0
