draft_season,pick,team,team_draft_code,franchise_id,position,draft_position_group,roster_context_available,roster_context_season,prev_roster_players,prev_roster_active_players,prev_roster_avg_age,prev_roster_active_avg_age,prev_roster_avg_years_exp,prev_roster_active_avg_years_exp,prev_roster_rookies,prev_roster_young_players,prev_roster_veterans_5plus,prev_roster_drafted_players,prev_roster_top100_draftees,prev_roster_avg_draft_number,prev_same_position_group_players,prev_same_position_group_active_players,prev_same_position_group_share,prev_same_position_group_active_share,prev_same_position_group_avg_age,prev_same_position_group_avg_years_exp,prev_same_position_group_rookies,prev_same_position_group_young_players,prev_same_position_group_veterans_5plus,prev_same_position_group_drafted_players,prev_same_position_group_top100_draftees,pick_was_traded,pick_ever_conditional,pick_trade_count,pick_future_trade_count,pick_same_year_trade_count,pick_post_year_trade_count,pick_trade_n_distinct_teams,pick_first_trade_date,pick_last_trade_date,pick_first_gave_team,pick_first_received_team,pick_last_gave_team,pick_last_received_team,pick_trade_team_chain,pick_approx_value_points
1980,1,DET,DET,DET,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,2,NYJ,NYJ,NYJ,WR,WR,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,3,CIN,CIN,CIN,T,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,4,GNB,GNB,GB,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,5,BAL,BAL,BAL,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,6,STL,STL,LAR,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,7,ATL,ATL,ATL,TE,TE,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,8,NYG,NYG,NYG,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,9,MIN,MIN,MIN,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,10,SEA,SEA,SEA,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,11,KAN,KAN,KC,G,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,12,NOR,NOR,NO,T,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,13,SFO,SFO,SF,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,14,NWE,NWE,NE,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,15,OAK,OAK,LVR,QB,QB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,16,BUF,BUF,BUF,G,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,17,RAM,RAM,LAR,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,18,WAS,WAS,WAS,WR,WR,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,19,CHI,CHI,CHI,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,20,SFO,SFO,SF,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,21,MIA,MIA,MIA,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,22,TAM,TAM,TB,G,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,23,PHI,PHI,PHI,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,24,BAL,BAL,BAL,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,25,NWE,NWE,NE,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,26,GNB,GNB,GB,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,27,CLE,CLE,CLE,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,28,PIT,PIT,PIT,QB,QB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,29,BUF,BUF,BUF,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,30,MIN,MIN,MIN,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,31,CIN,CIN,CIN,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,32,BAL,BAL,BAL,C,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,33,STL,STL,LAR,TE,TE,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,34,GNB,GNB,GB,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,35,PIT,PIT,PIT,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,36,ATL,ATL,ATL,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,37,BUF,BUF,BUF,QB,QB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,38,HOU,HOU,HOU,T,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,39,SFO,SFO,SF,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,40,NYJ,NYJ,NYJ,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,41,NOR,NOR,NO,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,42,DEN,DEN,DEN,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,43,OAK,OAK,LVR,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,44,SEA,SEA,SEA,T,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,45,NWE,NWE,NE,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,46,CHI,CHI,CHI,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,47,NYJ,NYJ,NYJ,WR,WR,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,48,MIA,MIA,MIA,C,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,49,TAM,TAM,TB,WR,WR,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,50,RAM,RAM,LAR,T,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,51,BAL,BAL,BAL,T,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,52,HOU,HOU,HOU,NT,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,53,PHI,PHI,PHI,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,54,CLE,CLE,CLE,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,55,WAS,WAS,WAS,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,56,PIT,PIT,PIT,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,57,DET,DET,DET,C,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,58,RAM,RAM,LAR,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,59,CIN,CIN,CIN,NT,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,60,STL,STL,LAR,T,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,61,GNB,GNB,GB,G,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,62,DET,DET,DET,WR,WR,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,63,ATL,ATL,ATL,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,64,NYG,NYG,NYG,NT,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,65,SFO,SFO,SF,P,ST,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,66,KAN,KAN,KC,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,67,BUF,BUF,BUF,TE,TE,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,68,MIN,MIN,MIN,G,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,69,NYJ,NYJ,NYJ,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,70,RAM,RAM,LAR,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,71,BUF,BUF,BUF,G,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,72,CLE,CLE,CLE,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,73,NWE,NWE,NE,DT,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,74,DEN,DEN,DEN,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,75,MIA,MIA,MIA,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,76,TAM,TAM,TB,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,77,SFO,SFO,SF,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,78,DAL,DAL,DAL,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,79,HOU,HOU,HOU,WR,WR,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,80,DAL,DAL,DAL,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,81,STL,STL,LAR,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,82,RAM,RAM,LAR,DT,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,83,PIT,PIT,PIT,TE,TE,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,84,SFO,SFO,SF,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,85,DET,DET,DET,QB,QB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,86,CIN,CIN,CIN,G,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,87,GNB,GNB,GB,WR,WR,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,88,BAL,BAL,BAL,WR,WR,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,89,STL,STL,LAR,QB,QB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,90,NYG,NYG,NYG,WR,WR,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,91,ATL,ATL,ATL,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,92,MIN,MIN,MIN,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,93,BUF,BUF,BUF,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,94,KAN,KAN,KC,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,95,NYJ,NYJ,NYJ,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,96,NOR,NOR,NO,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,97,SEA,SEA,SEA,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,98,SFO,SFO,SF,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,99,CLE,CLE,CLE,NT,DL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,100,MIA,MIA,MIA,WR,WR,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,101,SDG,SDG,LAC,QB,QB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,102,TAM,TAM,TB,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,103,CHI,CHI,CHI,G,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,104,ATL,ATL,ATL,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,105,DAL,DAL,DAL,G,OL,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,106,HOU,HOU,HOU,TE,TE,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,107,DEN,DEN,DEN,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,108,SDG,SDG,LAC,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,109,CLE,CLE,CLE,QB,QB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,110,PIT,PIT,PIT,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
1980,111,DET,DET,DET,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0,0,0,0,0,,,,,,,,
