pfr_player_id,player_name,pfr_player_name,position,primary_position,last_team,last_class,n_seasons,first_season,last_season,first_av_year,target_av,games
CannA.00,A.J. Cann,A.J. Cann,G,RG,South Carolina,SR,2,2012,2014,2015,14.0,26
ShipA.20,A.Q. Shipley,A.Q. Shipley,OL,C,Penn State,JR,2,2006,2007,2012,7.0,26
ArcuAJ00,AJ Arcuri,AJ Arcuri,T,OL,Michigan State,SR,1,2021,2021,2022,1.0,13
JoneAd20,Adrian Jones,Adrian Jones,OL,T,Kansas,,1,2003,2003,2004,7.0,13
AkinAl00,Alex Akingbulu,Alex Akingbulu,OL,T,Fresno State,SR,1,2021,2021,2023,0.0,13
LewiAl01,Alex Lewis,Alex Lewis,OL,LG,Nebraska,SR,1,2015,2015,2016,8.0,13
MackAl20,Alex Mack,Alex Mack,OL,C,California,JR,1,2007,2007,2009,13.0,13
ParsAl00,Alex Parsons,Alex Parsons,OL,G,USC,SR,2,2007,2009,2012,1.0,26
BailAl01,Alvin Bailey,Alvin Bailey,OL,G,Arkansas,FR,1,2010,2010,2013,5.0,13
MimsAm00,Amarius Mims,Amarius Mims,OL,OT,Georgia,SO,1,2022,2022,2024,16.0,14
DillAn00,Andre Dillard,Andre Dillard,OL,T,Washington State,SR,2,2016,2018,2019,6.0,26
SmitAn23,Andre Smith,Andre Smith,OL,RT,Alabama,SO,2,2006,2007,2009,4.0,26
StueAn00,Andrew Stueber,Andrew Stueber,OL,OT,Michigan,SR,1,2021,2021,2024,1.0,14
TillAn01,Andrew Tiller,Andrew Tiller,OL,RG,Syracuse,SR,1,2010,2010,2014,3.0,13
VorhAn00,Andrew Vorhees,Andrew Vorhees,T,OL,USC,FR,1,2017,2017,2024,9.0,13
PeatAn00,Andrus Peat,Andrus Peat,OL,LG,Stanford,JR,1,2014,2014,2015,14.0,13
LeviAn20,Andy Levitre,Andy Levitre,OL,LG,Oregon State,SR,2,2007,2008,2009,12.0,26
CastAn00,Anthony Castonzo,Anthony Castonzo,OL,LT,Boston College,JR,2,2007,2009,2011,11.0,26
DaviAn24,Anthony Davis,Anthony Davis,OL,T,Rutgers,FR,1,2007,2007,2004,7.0,13
SteeAn00,Anthony Steen,Anthony Steen,OL,C,Alabama,JR,1,2012,2012,2016,6.0,14
HarrAn00,Anton Harrison,Anton Harrison,OL,OL,Oklahoma,SO,1,2021,2021,2023,16.0,13
RichAs00,Asim Richards,Asim Richards,OL,OL,North Carolina,SR,2,2021,2022,2023,2.0,26
MafiAt00,Atonio Mafi,Atonio Mafi,OL,G,UCLA,SR,1,2022,2022,2023,2.0,13
PleaAu00,Austen Pleasants,Austen Pleasants,OL,OL,Ohio,SR,1,2019,2019,2021,0.0,13
BlytAu00,Austin Blythe,Austin Blythe,OL,C,Iowa,SR,2,2014,2015,2016,3.0,27
CorbAu00,Austin Corbett,Austin Corbett,OL,G,Nevada,SO,1,2015,2015,2018,5.0,13
DecuAu00,Austin Deculus,Austin Deculus,OL,T,LSU,SO,1,2018,2018,2022,1.0,13
JackAu00,Austin Jackson,Austin Jackson,OL,OL,USC,JR,2,2017,2019,2020,12.0,27
SchlAu00,Austin Schlottmann,Austin Schlottmann,C,G,Texas Christian,SO,1,2015,2015,2019,3.0,13
BenzBe01,Beau Benzschawel,Beau Benzschawel,OL,G,Wisconsin,SO,1,2016,2016,2019,0.0,14
LimmBe00,Beaux Limmer,Beaux Limmer,OL,C,Arkansas,JR,2,2021,2022,2024,7.0,26
BradBe00,Ben Braden,Ben Braden,OL,G,Michigan,JR,1,2015,2015,2018,0.0,13
ClevBe00,Ben Cleveland,Ben Cleveland,OL,G,Georgia,FR,1,2017,2017,2021,3.0,15
ColeBe20,Ben Coleman,Ben Coleman,OL,LG,Arizona State,SR,1,2024,2024,1999,13.0,14
GrubBe20,Ben Grubbs,Ben Grubbs,OL,LG,Auburn,SR,1,2006,2006,2007,12.0,13
JoneBe01,Ben Jones,Ben Jones,OL,C,Georgia,SO,1,2009,2009,2012,6.0,13
PoweBe00,Ben Powers,Ben Powers,OL,G,Oklahoma,SR,2,2017,2018,2019,4.0,27
PricBi01,Billy Price,Billy Price,OL,C,Ohio State,SR,2,2015,2017,2018,9.0,27
FreeBl00,Blake Freeland,Blake Freeland,OL,T,BYU,JR,2,2021,2022,2023,6.0,26
EvanBo00,Bobby Evans,Bobby Evans,OL,G,Oklahoma,JR,1,2018,2018,2019,4.0,14
LundBr00,Brad Lundblade,Brad Lundblade,OL,C,Oklahoma State,SO,1,2015,2015,2019,0.0,13
SmitBr06,Braden Smith,Braden Smith,OL,RT,Auburn,SO,1,2015,2015,2018,15.0,13
BozeBr00,Bradley Bozeman,Bradley Bozeman,OL,C,Alabama,SO,1,2015,2015,2018,12.0,15
SoweBr00,Bradley Sowell,Bradley Sowell,OL,T,Ole Miss,FR,1,2008,2008,2012,7.0,13
ChriBr00,Brady Christensen,Brady Christensen,OL,G,BYU,FR,1,2018,2018,2021,10.0,13
CartBr20,Brandon Carter,Brandon Carter,OL,G,Texas Tech,JR,1,2008,2008,2010,0.0,13
ColeBr02,Brandon Coleman,Brandon Coleman,OL,LT,Texas Christian,JR,1,2022,2022,2024,11.0,14
MoslBr00,Brandon Mosley,Brandon Mosley,OL,T,Auburn,SR,2,2010,2011,2013,2.0,27
ScheBr00,Brandon Scherff,Brandon Scherff,OL,RG,Iowa,SR,1,2014,2014,2015,20.0,13
ShelBr00,Brandon Shell,Brandon Shell,T,RT,South Carolina,JR,1,2014,2014,2016,7.0,13
WashBr00,Brandon Washington,Brandon Washington,OL,G,Miami (FL),SO,1,2010,2010,2013,0.0,13
MahoBr00,Brendan Mahon,Brendan Mahon,G,G,Penn State,SO,1,2015,2015,2018,0.0,13
BoykBr01,Brett Boyko,Brett Boyko,OL,T,Nevada-Las Vegas,SR,1,2014,2014,2017,0.0,13
AlleBr02,Brian Allen,Brian Allen,OL,C,Michigan State,SO,1,2015,2015,2018,6.0,14
ONeiBr00,Brian O'Neill,Brian O'Neill,OL,RT,Pitt,SO,2,2015,2016,2018,13.0,26
JoneBr09,Broderick Jones,Broderick Jones,OL,OT,Georgia,SO,2,2021,2022,2023,13.0,29
StorBr00,Bryan Stork,Bryan Stork,OL,C,Florida State,JR,1,2012,2012,2014,11.0,13
BrowBr01,Bryant Browning,Bryant Browning,OL,G,Ohio State,SR,2,2009,2010,2011,0.0,26
HarrBr01,Bryce Harris,Bryce Harris,OL,T,Toledo,SR,2,2017,2021,2012,3.0,27
WallCa00,Caedan Wallace,Caedan Wallace,OL,T,Penn State,SR,2,2021,2023,2024,1.0,26
BeneCa00,Caleb Benenoch,Caleb Benenoch,OL,T,UCLA,JR,2,2014,2015,2016,4.0,26
JoneCa03,Caleb Jones,Caleb Jones,OL,T,Indiana,SO,1,2019,2019,2023,0.0,13
SchlCa00,Caleb Schlauderaff,Caleb Schlauderaff,OL,G,Utah,FR,1,2007,2007,2011,1.0,13
ThroCa01,Calvin Throckmorton,Calvin Throckmorton,OL,G,Oregon,SR,2,2017,2019,2021,9.0,27
FlemCa00,Cameron Fleming,Cameron Fleming,OL,T,Stanford,JR,1,2012,2012,2014,7.0,14
TomxCa00,Cameron Tom,Cameron Tom,OL,C,Southern Mississippi,SR,2,2015,2016,2018,2.0,27
WarrCa00,Carter Warren,Carter Warren,OL,T,Pitt,SR,1,2021,2021,2023,3.0,14
RuizCe00,Cesar Ruiz,Cesar Ruiz,OL,RG,Michigan,SO,1,2018,2018,2020,11.0,13
WarmCh00,Chance Warmack,Chance Warmack,OL,G,Alabama,,1,2012,2012,2013,14.0,14
BrewCh01,Chandler Brewer,Chandler Brewer,OL,G,Middle Tennessee State,SR,2,2015,2018,2019,3.0,26
GlasCh01,Chris Glaser,Chris Glaser,T,OL,Virginia,JR,1,2019,2019,2023,0.0,14
WichCo00,Cody Wichmann,Cody Wichmann,OL,RG,Fresno State,SR,1,2014,2014,2015,6.0,14
CrosCo00,Cole Croston,Cole Croston,OL,T,Iowa,JR,1,2015,2015,2017,0.0,14
ShelCo00,Coleman Shelton,Coleman Shelton,OL,C,Washington,JR,1,2016,2016,2019,2.0,14
BrowCo23,Colin Brown,Colin Brown,OL,T,Missouri,SR,1,2008,2008,2011,1.0,14
GalvCo00,Connor Galvin,Connor Galvin,OL,OL,Baylor,SR,1,2021,2021,2023,0.0,14
McGoCo00,Connor McGovern,Connor McGovern,OL,C,Missouri,JR,1,2014,2014,2017,9.0,14
BeebCo00,Cooper Beebe,Cooper Beebe,OL,C,Kansas State,JR,1,2022,2022,2024,10.0,14
HumpCr00,Creed Humphrey,Creed Humphrey,OL,C,Oklahoma,SO,2,2018,2019,2021,22.0,28
LewiDa05,Damien Lewis,Damien Lewis,G,LG,LSU,SR,1,2019,2019,2020,14.0,15
WillDa07,Darrell Williams,Darrell Williams,OL,T,Western Kentucky,JR,1,2015,2015,2015,2.0,14
SharDa02,David Sharpe,David Sharpe,OL,T,Florida,SO,1,2015,2015,2017,1.0,14
DawkDi00,Dion Dawkins,Dion Dawkins,OL,LT,Temple,SR,2,2015,2016,2017,10.0,28
StepDo00,Donald Stephenson,Donald Stephenson,OL,LT,Oklahoma,JR,1,2010,2010,2012,7.0,14
MillDr00,Drew Miller,Drew Miller,OL,C,Florida,JR,1,2006,2006,2011,0.0,14
BrowDu20,Duane Brown,Duane Brown,OL,LT,Virginia Tech,SR,1,2007,2007,2008,16.0,14
WangEd20,Ed Wang,Ed Wang,OL,T,Virginia Tech,JR,1,2008,2008,2010,0.0,14
NkanEl00,Elijah Nkansah,Elijah Nkansah,OL,T,Toledo,SR,1,2017,2017,2018,0.0,14
