draft_season,pick,team,team_draft_code,franchise_id,position,draft_position_group,roster_context_available,roster_context_season,prev_roster_players,prev_roster_active_players,prev_roster_avg_age,prev_roster_active_avg_age,prev_roster_avg_years_exp,prev_roster_active_avg_years_exp,prev_roster_rookies,prev_roster_young_players,prev_roster_veterans_5plus,prev_roster_drafted_players,prev_roster_top100_draftees,prev_roster_avg_draft_number,prev_same_position_group_players,prev_same_position_group_active_players,prev_same_position_group_share,prev_same_position_group_active_share,prev_same_position_group_avg_age,prev_same_position_group_avg_years_exp,prev_same_position_group_rookies,prev_same_position_group_young_players,prev_same_position_group_veterans_5plus,prev_same_position_group_drafted_players,prev_same_position_group_top100_draftees
1980,1,DET,DET,DET,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,NYJ,NYJ,NYJ,WR,WR,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,CIN,CIN,CIN,T,OL,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,GNB,GNB,GB,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,5,BAL,BAL,BAL,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,6,STL,STL,LAR,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,7,ATL,ATL,ATL,TE,TE,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,8,NYG,NYG,NYG,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,9,MIN,MIN,MIN,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,10,SEA,SEA,SEA,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,11,KAN,KAN,KC,G,OL,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,12,NOR,NOR,NO,T,OL,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,13,SFO,SFO,SF,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,14,NWE,NWE,NE,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,15,OAK,OAK,LVR,QB,QB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,16,BUF,BUF,BUF,G,OL,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,17,RAM,RAM,LAR,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,18,WAS,WAS,WAS,WR,WR,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,19,CHI,CHI,CHI,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,20,SFO,SFO,SF,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,21,MIA,MIA,MIA,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,22,TAM,TAM,TB,G,OL,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,23,PHI,PHI,PHI,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,24,BAL,BAL,BAL,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,25,NWE,NWE,NE,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,26,GNB,GNB,GB,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,27,CLE,CLE,CLE,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,28,PIT,PIT,PIT,QB,QB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,29,BUF,BUF,BUF,RB,RB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,30,MIN,MIN,MIN,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,31,CIN,CIN,CIN,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,32,BAL,BAL,BAL,C,OL,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,33,STL,STL,LAR,TE,TE,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,34,GNB,GNB,GB,DB,DB,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,35,PIT,PIT,PIT,DE,DL,False,,,,,,,,,,,,,,,,,,,,,,,,
1980,36,ATL,ATL,ATL,LB,LB,False,,,,,,,,,,,,,,,,,,,,,,,,
