season,franchise_id,team,roster_players,roster_active_players,roster_reserve_players,roster_development_players,roster_cut_players,roster_avg_age,roster_active_avg_age,roster_avg_years_exp,roster_active_avg_years_exp,roster_avg_height,roster_avg_weight,roster_avg_bmi,roster_rookies,roster_young_players,roster_veterans_5plus,roster_drafted_players,roster_top100_draftees,roster_avg_draft_number,roster_group_qb_players,roster_group_qb_active_players,roster_group_qb_share,roster_group_qb_active_share,roster_group_qb_avg_age,roster_group_qb_avg_years_exp,roster_group_qb_rookies,roster_group_qb_young_players,roster_group_qb_veterans_5plus,roster_group_qb_drafted_players,roster_group_qb_top100_draftees,roster_group_rb_players,roster_group_rb_active_players,roster_group_rb_share,roster_group_rb_active_share,roster_group_rb_avg_age,roster_group_rb_avg_years_exp,roster_group_rb_rookies,roster_group_rb_young_players,roster_group_rb_veterans_5plus,roster_group_rb_drafted_players,roster_group_rb_top100_draftees,roster_group_wr_players,roster_group_wr_active_players,roster_group_wr_share,roster_group_wr_active_share,roster_group_wr_avg_age,roster_group_wr_avg_years_exp,roster_group_wr_rookies,roster_group_wr_young_players,roster_group_wr_veterans_5plus,roster_group_wr_drafted_players,roster_group_wr_top100_draftees,roster_group_te_players,roster_group_te_active_players,roster_group_te_share,roster_group_te_active_share,roster_group_te_avg_age,roster_group_te_avg_years_exp,roster_group_te_rookies,roster_group_te_young_players,roster_group_te_veterans_5plus,roster_group_te_drafted_players,roster_group_te_top100_draftees,roster_group_ol_players,roster_group_ol_active_players,roster_group_ol_share,roster_group_ol_active_share,roster_group_ol_avg_age,roster_group_ol_avg_years_exp,roster_group_ol_rookies,roster_group_ol_young_players,roster_group_ol_veterans_5plus,roster_group_ol_drafted_players,roster_group_ol_top100_draftees,roster_group_dl_players,roster_group_dl_active_players,roster_group_dl_share,roster_group_dl_active_share,roster_group_dl_avg_age,roster_group_dl_avg_years_exp,roster_group_dl_rookies,roster_group_dl_young_players,roster_group_dl_veterans_5plus,roster_group_dl_drafted_players,roster_group_dl_top100_draftees,roster_group_lb_players,roster_group_lb_active_players,roster_group_lb_share,roster_group_lb_active_share,roster_group_lb_avg_age,roster_group_lb_avg_years_exp,roster_group_lb_rookies,roster_group_lb_young_players,roster_group_lb_veterans_5plus,roster_group_lb_drafted_players,roster_group_lb_top100_draftees,roster_group_db_players,roster_group_db_active_players,roster_group_db_share,roster_group_db_active_share,roster_group_db_avg_age,roster_group_db_avg_years_exp,roster_group_db_rookies,roster_group_db_young_players,roster_group_db_veterans_5plus,roster_group_db_drafted_players,roster_group_db_top100_draftees,roster_group_st_players,roster_group_st_active_players,roster_group_st_share,roster_group_st_active_share,roster_group_st_avg_age,roster_group_st_avg_years_exp,roster_group_st_rookies,roster_group_st_young_players,roster_group_st_veterans_5plus,roster_group_st_drafted_players,roster_group_st_top100_draftees,roster_group_other_players,roster_group_other_active_players,roster_group_other_share,roster_group_other_active_share,roster_group_other_avg_age,roster_group_other_avg_years_exp,roster_group_other_rookies,roster_group_other_young_players,roster_group_other_veterans_5plus,roster_group_other_drafted_players,roster_group_other_top100_draftees
2002,ARI,ARI,69,54,13,0,2,25.08695652173913,24.72222222222222,2.3768115942028984,1.9259259259259258,74.01449275362319,249.8985507246377,31.857025619611566,16,41,15,41,26,83.39024390243902,3,3,0.043478260869565216,0.05555555555555555,24.333333333333332,1.6666666666666667,2,2,1,2,2,6,5,0.08695652173913043,0.09259259259259259,24.5,1.8333333333333333,1,4,0,4,2,9,5,0.13043478260869565,0.09259259259259259,24.88888888888889,2.0,2,6,1,5,2,3,3,0.043478260869565216,0.05555555555555555,25.666666666666668,3.3333333333333335,1,1,2,2,1,15,9,0.21739130434782608,0.16666666666666666,25.8,3.066666666666667,3,8,5,7,5,10,9,0.14492753623188406,0.16666666666666666,23.8,1.5,3,7,1,9,5,9,7,0.13043478260869565,0.12962962962962962,25.333333333333332,2.888888888888889,2,5,3,5,5,11,10,0.15942028985507245,0.18518518518518517,25.272727272727273,2.3636363636363638,1,6,1,6,3,3,3,0.043478260869565216,0.05555555555555555,26.333333333333332,2.3333333333333335,1,2,1,1,1,0,0,0.0,0.0,,,0,0,0,0,0
2002,ATL,ATL,64,53,4,0,7,26.34375,26.169811320754718,3.984375,3.9056603773584904,73.296875,238.5,31.070949681195493,8,26,22,52,24,114.5,3,3,0.046875,0.05660377358490566,22.666666666666668,1.0,1,3,0,2,1,6,3,0.09375,0.05660377358490566,26.5,4.333333333333333,1,3,3,5,2,9,6,0.140625,0.11320754716981132,26.22222222222222,3.7777777777777777,1,4,2,6,0,4,4,0.0625,0.07547169811320754,26.25,3.75,0,2,1,2,2,9,9,0.140625,0.16981132075471697,24.444444444444443,2.5555555555555554,2,6,1,9,5,9,8,0.140625,0.1509433962264151,26.11111111111111,3.6666666666666665,1,3,4,8,4,10,7,0.15625,0.1320754716981132,26.9,4.2,1,3,4,10,5,12,11,0.1875,0.20754716981132076,27.666666666666668,5.416666666666667,1,1,6,9,5,2,2,0.03125,0.03773584905660377,31.0,7.0,0,1,1,1,0,0,0,0.0,0.0,,,0,0,0,0,0
2002,BAL,BAL,63,54,4,0,4,25.174603174603174,25.24074074074074,2.5873015873015874,2.6296296296296298,73.52380952380952,243.63492063492063,31.482817874880887,21,39,15,40,14,128.575,3,3,0.047619047619047616,0.05555555555555555,27.333333333333332,5.0,0,1,1,2,1,6,5,0.09523809523809523,0.09259259259259259,24.833333333333332,2.5,3,4,1,3,1,7,5,0.1111111111111111,0.09259259259259259,23.714285714285715,1.4285714285714286,3,5,0,5,1,3,3,0.047619047619047616,0.05555555555555555,23.666666666666668,1.0,1,3,0,2,1,11,11,0.1746031746031746,0.2037037037037037,25.454545454545453,2.4545454545454546,2,7,3,6,2,9,7,0.14285714285714285,0.12962962962962962,25.333333333333332,2.888888888888889,3,5,2,6,1,8,6,0.12698412698412698,0.1111111111111111,25.875,3.375,2,4,4,5,2,13,12,0.20634920634920634,0.2222222222222222,24.846153846153847,2.1538461538461537,5,8,3,9,5,3,2,0.047619047619047616,0.037037037037037035,26.666666666666668,4.0,2,2,1,2,0,0,0,0.0,0.0,,,0,0,0,0,0
2002,BUF,BUF,58,54,2,0,1,25.82758620689655,25.87037037037037,3.1724137931034484,3.2037037037037037,73.13793103448276,242.41379310344828,31.621131457710764,13,29,15,40,18,119.575,3,3,0.05172413793103448,0.05555555555555555,29.0,6.666666666666667,0,1,2,2,1,6,5,0.10344827586206896,0.09259259259259259,25.666666666666668,3.3333333333333335,1,4,1,4,2,6,6,0.10344827586206896,0.1111111111111111,26.333333333333332,4.0,1,1,2,5,4,4,3,0.06896551724137931,0.05555555555555555,28.25,5.25,0,1,2,2,0,9,9,0.15517241379310345,0.16666666666666666,25.666666666666668,2.7777777777777777,3,5,3,8,3,9,8,0.15517241379310345,0.14814814814814814,25.0,2.0,3,7,2,6,3,8,8,0.13793103448275862,0.14814814814814814,25.75,3.25,1,4,1,6,1,11,10,0.1896551724137931,0.18518518518518517,24.363636363636363,1.7272727272727273,4,6,1,7,4,2,2,0.034482758620689655,0.037037037037037035,28.0,5.5,0,0,1,0,0,0,0,0.0,0.0,,,0,0,0,0,0
2002,CAR,CAR,70,55,9,0,5,26.428571428571427,26.581818181818182,3.585714285714286,3.690909090909091,73.9,244.25714285714287,31.23041919262094,9,34,24,51,28,103.86274509803921,4,4,0.05714285714285714,0.07272727272727272,28.25,3.75,1,3,1,3,0,8,6,0.11428571428571428,0.10909090909090909,25.5,2.625,1,5,1,5,4,7,5,0.1,0.09090909090909091,26.571428571428573,3.2857142857142856,1,3,4,4,2,5,4,0.07142857142857142,0.07272727272727272,27.6,4.4,1,2,2,4,1,12,10,0.17142857142857143,0.18181818181818182,26.916666666666668,4.0,0,5,4,9,4,10,8,0.14285714285714285,0.14545454545454545,26.6,4.1,2,4,5,7,5,9,7,0.12857142857142856,0.12727272727272726,25.555555555555557,3.111111111111111,1,4,2,9,6,11,9,0.15714285714285714,0.16363636363636364,25.272727272727273,2.8181818181818183,2,6,3,8,4,4,2,0.05714285714285714,0.03636363636363636,28.0,5.5,0,2,2,2,2,0,0,0.0,0.0,,,0,0,0,0,0
2002,CHI,CHI,68,55,11,0,2,26.073529411764707,26.0,3.426470588235294,3.4545454545454546,73.83823529411765,251.0,32.114667321906424,13,33,20,52,21,118.92307692307692,4,3,0.058823529411764705,0.05454545454545454,30.25,7.0,0,1,2,2,1,6,5,0.08823529411764706,0.09090909090909091,26.5,3.5,1,2,3,5,1,7,6,0.10294117647058823,0.10909090909090909,24.285714285714285,2.0,1,5,1,6,3,4,3,0.058823529411764705,0.05454545454545454,27.0,4.75,1,2,2,4,1,13,11,0.19117647058823528,0.2,25.53846153846154,3.076923076923077,3,6,3,9,6,12,10,0.17647058823529413,0.18181818181818182,27.333333333333332,4.416666666666667,2,5,6,10,3,8,6,0.11764705882352941,0.10909090909090909,25.625,3.125,1,3,1,5,2,12,9,0.17647058823529413,0.16363636363636364,24.833333333333332,2.1666666666666665,4,8,1,9,3,2,2,0.029411764705882353,0.03636363636363636,26.0,3.5,0,1,1,2,1,0,0,0.0,0.0,,,0,0,0,0,0
2002,CIN,CIN,62,53,8,0,1,26.06451612903226,25.943396226415093,3.306451612903226,3.207547169811321,74.19354838709677,248.5,31.56736354158535,10,30,19,48,25,96.0,4,4,0.06451612903225806,0.07547169811320754,28.25,5.0,0,0,2,3,1,5,5,0.08064516129032258,0.09433962264150944,26.8,5.0,0,1,3,4,3,6,5,0.0967741935483871,0.09433962264150944,25.5,2.5,0,5,1,6,4,5,4,0.08064516129032258,0.07547169811320754,24.0,1.0,1,5,0,4,2,11,10,0.1774193548387097,0.18867924528301888,27.0,4.454545454545454,3,4,6,9,6,9,8,0.14516129032258066,0.1509433962264151,27.77777777777778,4.777777777777778,0,2,5,6,2,7,6,0.11290322580645161,0.11320754716981132,25.428571428571427,2.857142857142857,1,3,1,4,2,12,8,0.1935483870967742,0.1509433962264151,24.916666666666668,2.0833333333333335,4,7,1,9,5,3,3,0.04838709677419355,0.05660377358490566,24.0,1.0,1,3,0,3,0,0,0,0.0,0.0,,,0,0,0,0,0
2002,CLE,CLE,60,53,3,0,4,25.866666666666667,26.0,3.0166666666666666,3.1320754716981134,73.93333333333334,245.1,31.33278562674375,11,31,18,42,20,103.26190476190476,4,4,0.06666666666666667,0.07547169811320754,26.5,3.25,0,2,1,2,1,4,4,0.06666666666666667,0.07547169811320754,25.0,1.0,1,4,0,2,2,6,6,0.1,0.11320754716981132,24.666666666666668,1.1666666666666667,2,5,0,5,4,4,3,0.06666666666666667,0.05660377358490566,24.75,2.0,1,2,0,3,1,10,9,0.16666666666666666,0.16981132075471697,25.4,3.0,3,5,4,7,2,11,8,0.18333333333333332,0.1509433962264151,26.272727272727273,3.3636363636363638,0,5,4,7,3,8,7,0.13333333333333333,0.1320754716981132,26.125,3.625,3,3,4,7,1,11,10,0.18333333333333332,0.18867924528301888,26.181818181818183,3.4545454545454546,1,5,4,8,5,2,2,0.03333333333333333,0.03773584905660377,29.5,7.5,0,0,1,1,1,0,0,0.0,0.0,,,0,0,0,0,0
2002,DAL,DAL,65,60,4,0,1,25.153846153846153,24.983333333333334,2.5384615384615383,2.35,73.98461538461538,257.0615384615385,32.77093781991875,14,39,11,43,23,108.81395348837209,3,3,0.046153846153846156,0.05,24.333333333333332,1.0,1,3,0,1,1,6,6,0.09230769230769231,0.1,25.5,3.3333333333333335,2,4,1,2,1,6,6,0.09230769230769231,0.1,25.833333333333332,3.5,1,3,2,4,3,3,3,0.046153846153846156,0.05,27.0,4.666666666666667,0,1,1,3,1,16,12,0.24615384615384617,0.2,24.5,2.0,4,10,1,11,5,10,10,0.15384615384615385,0.16666666666666666,25.6,2.9,0,4,2,8,3,6,6,0.09230769230769231,0.1,25.5,2.8333333333333335,0,3,2,5,3,12,11,0.18461538461538463,0.18333333333333332,24.916666666666668,2.25,4,8,2,9,6,3,3,0.046153846153846156,0.05,24.333333333333332,0.6666666666666666,2,3,0,0,0,0,0,0.0,0.0,,,0,0,0,0,0
2002,DEN,DEN,58,55,2,0,1,26.79310344827586,26.818181818181817,4.103448275862069,4.127272727272727,73.89655172413794,240.89655172413794,30.878804747462706,9,26,22,44,24,104.81818181818181,3,3,0.05172413793103448,0.05454545454545454,29.666666666666668,7.0,0,1,1,3,1,6,6,0.10344827586206896,0.10909090909090909,24.333333333333332,1.5,2,5,0,5,2,6,6,0.10344827586206896,0.10909090909090909,26.666666666666668,3.6666666666666665,2,4,2,4,2,5,5,0.08620689655172414,0.09090909090909091,28.0,5.4,1,2,3,3,0,10,8,0.1724137931034483,0.14545454545454545,26.7,3.9,0,4,4,8,3,10,9,0.1724137931034483,0.16363636363636364,26.4,4.1,2,3,5,8,7,5,5,0.08620689655172414,0.09090909090909091,26.6,4.4,0,1,2,4,3,10,10,0.1724137931034483,0.18181818181818182,26.2,3.5,2,5,3,8,5,3,3,0.05172413793103448,0.05454545454545454,31.0,7.333333333333333,0,1,2,1,1,0,0,0.0,0.0,,,0,0,0,0,0
