Year,Team,PlayerID,Player,Position,Experience,AV
2009,cle,AdamMi21,Mike Adams,RCB/SS,5,4
2009,cle,AlleJa24,Jake Allen,WR,Rook,0
2009,cle,AndeDe00,Derek Anderson,QB,3,-4
2009,cle,BartEr20,Eric Barton,RILB,10,4
2009,cle,BenaMa00,Marcus Benard,LB,Rook,1
2009,cle,BoweDa20,David Bowens,LILB/ROLB,10,7
2009,cle,BrowTi20,Titus Brown,DE,1,0
2009,cle,ColeKe20,Kenyon Coleman,LDE,7,5
2009,cle,CostBl20,Blake Costanzo,LB,2,2
2009,cle,CribJo01,Josh Cribbs,WR,4,7
2009,cle,cundibil01,Billy Cundiff,K,7,1
2009,cle,DaviJa03,James Davis,RB,Rook,0
2009,cle,dawsophi01,Phil Dawson,K,10,3
2009,cle,EdwaBr00,Braylon Edwards,WR,4,1
2009,cle,ElamAb20,Abram Elam,FS,3,6
2009,cle,EstaGr01,Greg Estandia,TE,2,0
2009,cle,FralHa20,Hank Fraley,G,8,2
2009,cle,FranCo99,Coye Francies,DB,Rook,0
2009,cle,FurrMi00,Mike Furrey,WR,6,3
2009,cle,GainMi00,Michael Gaines,TE,5,0
2009,cle,HadnRe20,Rex Hadnot,RG,5,2
2009,cle,HallAl99,Alex Hall,LB,1,1
2009,cle,HarrAr21,Arnold Harrison,LB,3,0
2009,cle,HarrJe00,Jerome Harrison,RB,3,6
2009,cle,HeidSt00,Steve Heiden,TE,10,1
2009,cle,HodgRe20,Reggie Hodges,P,4,0
2009,cle,JackDQ20,D'Qwell Jackson,LILB,3,3
2009,cle,JennCh00,Chris Jennings,RB,Rook,2
2009,cle,LawsGe20,Gerard Lawson,DB,1,0
2009,cle,LewiJa00,Jamal Lewis,RB,9,3
2009,cle,MackAl20,Alex Mack,C,Rook,5
2009,cle,MadiAn20,Anthony Madison,DB,3,0
2009,cle,MaiaKa99,Kaluka Maiava,LB,Rook,2
2009,cle,MassMo00,Mohamed Massaquoi,WR,Rook,5
2009,cle,McDoBr99,Brandon McDonald,RCB,2,4
2009,cle,MoorEv00,Evan Moore,WR,1,1
2009,cle,MoslC.20,C.J. Mosley,DT,4,1
2009,cle,PontRy20,Ryan Pontbriand,LS,6,2
2009,cle,PoolBr20,Brodney Pool,SS,4,5
2009,cle,PoteHa20,Hank Poteat,DB,9,2
2009,cle,QuinBr00,Brady Quinn,QB,2,2
2009,cle,RobiDe21,Derreck Robinson,DE,4,0
2009,cle,RobiRa99,Ramzee Robinson,DB,2,0
2009,cle,RobiBr00,Brian Robiskie,WR,Rook,1
2009,cle,RogeSh99,Shaun Rogers,NT,8,5
2009,cle,RothMa20,Matt Roth,ROLB,4,3
2009,cle,RoyaRo00,Robert Royal,TE,6,1
2009,cle,RubiAh99,Ahtyba Rubin,NT,1,3
2009,cle,SchaBr00,Brian Schaefering,DT,1,1
2009,cle,SmitRo21,Robaire Smith,RDE,9,7
2009,cle,SoreNi20,Nick Sorensen,DB,8,1
2009,cle,St.CJo20,John St. Clair,RT,7,4
2009,cle,StamJo20,Josh Stamer,LB,6,0
2009,cle,SteiEr20,Eric Steinbach,LG,6,5
2009,cle,StucCh20,Chansi Stuckey,WR,1,2
2009,cle,ThomJo28,Joe Thomas,LT,2,9
2009,cle,TrusJa99,Jason Trusnik,RILB/ROLB,2,4
2009,cle,VeikDa99,David Veikune,DE,Rook,1
2009,cle,VentRa20,Raymond Ventrone,DB,2,1
2009,cle,VickLa00,Lawrence Vickers,FB,3,0
2009,cle,WillCo21,Corey Williams,DT,5,3
2009,cle,WimbKa20,Kamerion Wimbley,LOLB,3,6
2009,cle,WomaFl20,Floyd Womack,RG,8,3
2009,cle,WrigEr99,Eric Wright,LCB,2,7
2009,cle,YateBi20,Billy Yates,G,6,0
2009,cle,ZastDa20,Dave Zastudil,P,7,1
2009,rav,AyanBr99,Brendon Ayanbadejo,LB,6,1
2009,rav,BannJu20,Justin Bannan,DT,7,3
2009,rav,BarnAn99,Antwan Barnes,LB,2,1
2009,rav,BirkMa00,Matt Birk,C,11,8
2009,rav,BurgPr99,Prescott Burgess,LB,2,1
2009,rav,CarrCh22,Chris Carr,DB,4,3
2009,rav,ChesCh21,Chris Chester,RG,3,7
2009,rav,ClayMa01,Mark Clayton,WR,4,5
2009,rav,CousOn00,Oniel Cousins,T,1,2
2009,rav,cundibil01,Billy Cundiff,K,7,0
2009,rav,EdwaDw20,Dwan Edwards,RDE,5,7
