season,team,player_id,pfr_id,esb_id,gsis_it_id,smart_id,player_name,first_name,last_name,football_name,position,depth_chart_position,ngs_position,jersey_number,status,birth_date,age,height,weight,college,years_exp,entry_year,rookie_year,draft_club,draft_number
2025,GB,,,BAR591037,58805,32004a55-4435-9919-355b-3e0aef2de56d,Dante Barnett,Dante,Barnett,Dante,DL,DT,,69,DEV,,,,275.0,,0,2025,2025,,
2002,CHI,00-0000007,,ABD675101,,32004142-4467-5101-8326-4b71f9f0a7b7,Rabih Abdullah,Rabih,Abdullah,Rabih,RB,,,27,ACT,1975-04-27,27,72.0,220.0,,4,1998,1998,,
2003,CHI,00-0000007,,ABD675101,,32004142-4467-5101-8326-4b71f9f0a7b7,Rabih Abdullah,Rabih,Abdullah,Rabih,RB,,,27,ACT,1975-04-27,28,72.0,220.0,,5,1998,1998,,
2004,NE,00-0000007,,ABD675101,,32004142-4467-5101-8326-4b71f9f0a7b7,Rabih Abdullah,Rabih,Abdullah,Rabih,RB,,,27,ACT,1975-04-27,29,72.0,235.0,,6,1998,1998,,
2002,NYJ,00-0000017,,ABR073258,,32004142-5207-3258-ebd3-814f82d39c58,Donnie Abraham,Nathaniel,Abraham,Donnie,CB,,,29,ACT,1973-10-08,28,70.0,192.0,,6,1996,1996,TB,71
2003,NYJ,00-0000017,,ABR073258,,32004142-5207-3258-ebd3-814f82d39c58,Donnie Abraham,Nathaniel,Abraham,Donnie,CB,,,29,ACT,1973-10-08,29,70.0,192.0,,7,1996,1996,TB,71
2004,NYJ,00-0000017,,ABR073258,,32004142-5207-3258-ebd3-814f82d39c58,Donnie Abraham,Nathaniel,Abraham,Donnie,CB,,,29,ACT,1973-10-08,30,70.0,192.0,,8,1996,1996,TB,71
2002,TEN,00-0000032,,ACK425040,,32004143-4b42-5040-5e4c-ffc2696ade34,Tom Ackerman,Thomas,Ackerman,Tom,G,,,67,ACT,1972-09-06,29,75.0,292.0,,6,1996,1996,NO,145
2003,TEN,00-0000032,,ACK425040,,32004143-4b42-5040-5e4c-ffc2696ade34,Tom Ackerman,Thomas,Ackerman,Tom,C,,,67,ACT,1972-09-06,30,76.0,295.0,,7,1996,1996,NO,145
2002,DAL,00-0000045,,ADA280969,,32004144-4128-0969-9390-de3ae33872eb,Flozell Adams,Flozell,Adams,Flozell,T,,,76,ACT,1975-05-18,27,79.0,357.0,,4,1998,1998,DAL,38
2003,DAL,00-0000045,,ADA280969,,32004144-4128-0969-9390-de3ae33872eb,Flozell Adams,Flozell,Adams,Flozell,T,,,76,ACT,1975-05-18,28,79.0,357.0,,5,1998,1998,DAL,38
2004,DAL,00-0000045,,ADA280969,,32004144-4128-0969-9390-de3ae33872eb,Flozell Adams,Flozell,Adams,Flozell,T,,,76,ACT,1975-05-18,29,79.0,343.0,,6,1998,1998,DAL,38
2005,DAL,00-0000045,,ADA280969,,32004144-4128-0969-9390-de3ae33872eb,Flozell Adams,Flozell,Adams,Flozell,T,,,76,RES,1975-05-18,30,79.0,335.0,,7,1998,1998,DAL,38
2006,DAL,00-0000045,,ADA280969,,32004144-4128-0969-9390-de3ae33872eb,Flozell Adams,Flozell,Adams,Flozell,T,,,76,ACT,1975-05-18,31,79.0,340.0,,8,1998,1998,DAL,38
2007,DAL,00-0000045,,ADA280969,,32004144-4128-0969-9390-de3ae33872eb,Flozell Adams,Flozell,Adams,Flozell,T,,,76,ACT,1975-05-18,32,79.0,340.0,,9,1998,1998,DAL,38
2008,DAL,00-0000045,,ADA280969,,32004144-4128-0969-9390-de3ae33872eb,Flozell Adams,Flozell,Adams,Flozell,T,,,76,ACT,1975-05-18,33,79.0,340.0,,10,1998,1998,DAL,38
2009,DAL,00-0000045,,ADA280969,,32004144-4128-0969-9390-de3ae33872eb,Flozell Adams,Flozell,Adams,Flozell,T,,,76,ACT,1975-05-18,34,79.0,340.0,,11,1998,1998,DAL,38
2010,PIT,00-0000045,,ADA280969,,32004144-4128-0969-9390-de3ae33872eb,Flozell Adams,Flozell,Adams,Flozell,T,,,71,ACT,1975-05-18,35,79.0,338.0,,12,1998,1998,DAL,38
2002,OAK,00-0000065,,ADA571656,,32004144-4157-1656-c9b5-9681a9711d63,Sam Adams,Sam,Adams,Sam,DT,,,95,ACT,1973-06-13,29,75.0,330.0,,8,1994,1994,SEA,8
2003,BUF,00-0000065,,ADA571656,,32004144-4157-1656-c9b5-9681a9711d63,Sam Adams,Sam,Adams,Sam,DT,,,95,ACT,1973-06-13,30,76.0,335.0,,9,1994,1994,SEA,8
2004,BUF,00-0000065,,ADA571656,,32004144-4157-1656-c9b5-9681a9711d63,Sam Adams,Sam,Adams,Sam,DT,,,95,ACT,1973-06-13,31,76.0,335.0,,10,1994,1994,SEA,8
2005,BUF,00-0000065,,ADA571656,,32004144-4157-1656-c9b5-9681a9711d63,Sam Adams,Sam,Adams,Sam,DT,,,95,ACT,1973-06-13,32,76.0,335.0,,11,1994,1994,SEA,8
2006,CIN,00-0000065,,ADA571656,,32004144-4157-1656-c9b5-9681a9711d63,Sam Adams,Sam,Adams,Sam,DT,,,95,ACT,1973-06-13,33,75.0,350.0,,12,1994,1994,SEA,8
2007,DEN,00-0000065,,ADA571656,,32004144-4157-1656-c9b5-9681a9711d63,Sam Adams,Sam,Adams,Sam,DT,,,95,CUT,1973-06-13,34,75.0,350.0,,13,1994,1994,SEA,8
2002,BUF,00-0000100,,AHA444955,,32004148-4144-4955-af48-b12bdd5df580,Chidi Ahanotu,Chidi,Ahanotu,Chidi,DE,,,72,ACT,1970-10-11,31,74.0,285.0,,9,1993,1993,TB,145
2003,SF,00-0000100,,AHA444955,,32004148-4144-4955-af48-b12bdd5df580,Chidi Ahanotu,Chidi,Ahanotu,Chidi,DE,,,72,ACT,1970-10-11,32,74.0,285.0,,10,1993,1993,TB,145
2004,MIA,00-0000100,,AHA444955,,32004148-4144-4955-af48-b12bdd5df580,Chidi Ahanotu,Chidi,Ahanotu,Chidi,DE,,,75,ACT,1970-10-11,33,74.0,285.0,,11,1993,1993,TB,145
