draft_season,pick,pick_was_traded,pick_trade_count,pick_future_trade_count,pick_same_year_trade_count,pick_post_year_trade_count,pick_ever_conditional,pick_first_trade_date,pick_last_trade_date,pick_first_gave_team,pick_first_received_team,pick_last_gave_team,pick_last_received_team,pick_trade_team_chain,pick_trade_n_distinct_teams,pick_approx_value_points
2002,6,True,1,0,1,0,False,2002-04-20,2002-04-20,DAL,KC,DAL,KC,DAL | KC,2,1600.0
2002,8,True,1,0,1,0,False,2002-04-20,2002-04-20,KC,DAL,KC,DAL,DAL | KC,2,1400.0
2002,14,True,1,0,1,0,False,2002-04-20,2002-04-20,TEN,NYG,TEN,NYG,NYG | TEN,2,1100.0
2002,15,True,1,0,1,0,False,2002-04-20,2002-04-20,NYG,TEN,NYG,TEN,NYG | TEN,2,1050.0
2002,17,True,1,0,1,0,False,2002-04-20,2002-04-20,ATL,OAK,ATL,OAK,ATL | OAK,2,950.0
2002,18,True,2,0,2,0,False,2002-04-20,2002-04-20,WAS,OAK,OAK,ATL,ATL | OAK | WAS,3,900.0
2002,20,True,1,0,1,0,False,2002-04-20,2002-04-20,SEA,GB,SEA,GB,GB | SEA,2,850.0
2002,21,True,2,0,2,0,False,2002-04-20,2002-04-20,OAK,WAS,WAS,NE,NE | OAK | WAS,3,800.0
2002,25,True,1,0,1,0,False,2002-03-08,2002-03-08,MIA,NO,MIA,NO,MIA | NO,2,720.0
2002,28,True,1,0,1,0,False,2002-04-20,2002-04-20,GB,SEA,GB,SEA,GB | SEA,2,660.0
2002,32,True,1,0,1,0,False,2002-04-20,2002-04-20,NE,WAS,NE,WAS,NE | WAS,2,590.0
2002,52,True,1,0,1,0,False,2002-04-20,2002-04-20,WAS,BAL,WAS,BAL,BAL | WAS,2,361.96939922005004
2002,56,True,1,0,1,0,False,2002-04-20,2002-04-20,BAL,WAS,BAL,WAS,BAL | WAS,2,328.2735003541492
2002,60,True,1,0,1,0,False,2002-04-20,2002-04-20,GB,SEA,GB,SEA,GB | SEA,2,297.71436830563
2002,61,True,1,0,1,0,False,2002-04-20,2002-04-20,SF,BUF,SF,BUF,BUF | SF,2,290.52986838788144
2002,63,True,1,0,1,0,False,2002-04-20,2002-04-20,CHI,DAL,CHI,DAL,CHI | DAL,2,276.6768177349749
2002,67,True,1,0,1,0,False,2002-04-20,2002-04-20,CAR,CIN,CAR,CIN,CAR | CIN,2,249.44014354004796
2002,69,True,1,0,1,0,False,2002-04-20,2002-04-20,BUF,SF,BUF,SF,BUF | SF,2,236.61089419518237
2002,72,True,1,0,1,0,False,2002-04-20,2002-04-20,DAL,CHI,DAL,CHI,CHI | DAL,2,218.59353855994584
2002,73,True,1,0,1,0,False,2002-04-20,2002-04-20,CIN,CAR,CIN,CAR,CAR | CIN,2,212.89796732125947
2002,75,True,1,0,1,0,False,2002-04-20,2002-04-20,KC,DAL,KC,DAL,DAL | KC,2,201.94816161229585
2002,76,True,1,0,1,0,False,2002-04-20,2002-04-20,JAX,CLE,JAX,CLE,CLE | JAX,2,196.6862945481459
2002,79,True,2,0,2,0,False,2002-04-20,2002-04-20,CLE,JAX,JAX,WAS,CLE | JAX | WAS,3,181.70910201648016
2002,87,True,1,0,1,0,False,2002-04-20,2002-04-20,BAL,WAS,BAL,WAS,BAL | WAS,2,147.1127244382688
2002,89,True,2,0,2,0,False,2002-04-20,2002-04-20,OAK,WAS,WAS,JAX,JAX | OAK | WAS,3,139.54639691441523
2002,96,True,3,0,3,0,False,2002-04-20,2002-04-20,NE,WAS,BAL,DEN,BAL | DEN | NE | WAS,4,116.0
2002,102,True,1,0,1,0,False,2002-04-20,2002-04-20,BUF,SF,BUF,SF,BUF | SF,2,96.30469311789194
2002,104,True,1,0,1,0,False,2002-04-20,2002-04-20,DAL,CHI,DAL,CHI,CHI | DAL,2,90.51292627308231
2002,110,True,1,0,1,0,False,2002-04-20,2002-04-20,NYG,TEN,NYG,TEN,NYG | TEN,2,75.14499644768598
2002,112,True,1,0,1,0,False,2002-04-20,2002-04-20,DEN,BAL,DEN,BAL,BAL | DEN,2,70.6257743320383
2002,114,True,1,0,1,0,False,2002-03-08,2002-03-08,NO,MIA,NO,MIA,MIA | NO,2,66.37833835646687
2002,116,True,1,0,1,0,False,2002-04-21,2002-04-21,HOU,ATL,HOU,ATL,ATL | HOU,2,62.38634329516793
2002,117,True,1,0,1,0,False,2002-04-21,2002-04-21,DEN,NE,DEN,NE,DEN | NE,2,60.48129865534639
