trade_id,season,trade_date,gave,received,pick_season,pick_round,pick_number,conditional,approx_pick_value_points,selected_player_id,selected_player_name,description
702,2002,2002-03-08,MIA,NO,2002,1.0,25.0,False,720.0,GranCh21,Charles Grant,2002 R1 #25 (Charles Grant)
702,2002,2002-03-08,NO,MIA,2002,4.0,114.0,False,66.37833835646687,McMiRa01,Ry McMichael,2002 R4 #114 (Ry McMichael)
702,2002,2002-03-08,MIA,NO,2002,4.0,125.0,False,47.192580397341786,CravKe20,Keyuo Craver,2002 R4 #125 (Keyuo Craver)
702,2002,2002-03-08,MIA,NO,2003,1.0,18.0,False,900.0,PaceCa20,Calvin Pace,2003 R1 #18 (Calvin Pace)
703,2002,2002-03-11,CLE,MIA,2004,,,True,,,,conditional 2004
704,2002,2002-03-11,GB,NE,2002,4.0,126.0,False,45.75149621806973,GreeJa21,Jarvis Green,2002 R4 #126 (Jarvis Green)
705,2002,2002-03-27,KC,NO,2003,3.0,78.0,False,186.57029044525893,SmitWa21,Wade Smith,2003 R3 #78 (Wade Smith)
706,2002,2002-03-28,HOU,STL,2003,,,True,,,,conditional 2003
707,2002,2002-04-09,WAS,NYJ,2002,5.0,154.0,False,30.345286061298786,GoodJo23,Jonathan Goodwin,2002 R5 #154 (Jonathan Goodwin)
707,2002,2002-04-09,NYJ,WAS,2002,5.0,160.0,False,28.0,RoyaRo00,Robert Royal,2002 R5 #160 (Robert Royal)
708,2002,2002-04-15,STL,IND,2002,6.0,183.0,False,17.013463039726563,,,2002 R6 #183
710,2002,2002-04-19,IND,SEA,2002,5.0,146.0,False,33.78071533994218,BernRo20,Rocky Bernard,2002 R5 #146 (Rocky Bernard)
711,2002,2002-04-20,DAL,KC,2002,1.0,6.0,False,1600.0,SimsRy20,Ryan Sims,2002 R1 #6 (Ryan Sims)
711,2002,2002-04-20,KC,DAL,2002,1.0,8.0,False,1400.0,WillRo03,Roy Williams,2002 R1 #8 (Roy Williams)
711,2002,2002-04-20,KC,DAL,2002,3.0,75.0,False,201.94816161229585,RossDe20,Derek Ross,2002 R3 #75 (Derek Ross)
711,2002,2002-04-20,KC,DAL,2003,6.0,186.0,False,15.943040886593678,SmitZu00,Zuriel Smith,2003 R6 #186 (Zuriel Smith)
712,2002,2002-04-20,TEN,NYG,2002,1.0,14.0,False,1100.0,ShocJe00,Jeremy Shockey,2002 R1 #14 (Jeremy Shockey)
712,2002,2002-04-20,NYG,TEN,2002,1.0,15.0,False,1050.0,HaynAl20,Albert Haynesworth,2002 R1 #15 (Albert Haynesworth)
712,2002,2002-04-20,NYG,TEN,2002,4.0,110.0,False,75.14499644768598,EchoMi20,Mike Echols,2002 R4 #110 (Mike Echols)
713,2002,2002-04-20,WAS,OAK,2002,1.0,18.0,False,900.0,DuckT.00,T.J. Duckett,2002 R1 #18 (T.J. Duckett)
713,2002,2002-04-20,OAK,WAS,2002,1.0,21.0,False,800.0,GrahDa00,Daniel Graham,2002 R1 #21 (Daniel Graham)
713,2002,2002-04-20,OAK,WAS,2002,3.0,89.0,False,139.54639691441523,AyodAk20,Akin Ayodele,2002 R3 #89 (Akin Ayodele)
714,2002,2002-04-20,ATL,OAK,2002,1.0,17.0,False,950.0,BuchPh20,Phillip Buchanon,2002 R1 #17 (Phillip Buchanon)
714,2002,2002-04-20,OAK,ATL,2002,1.0,18.0,False,900.0,DuckT.00,T.J. Duckett,2002 R1 #18 (T.J. Duckett)
714,2002,2002-04-20,OAK,ATL,2002,5.0,158.0,False,28.76089740271087,KittKu00,Kurt Kittner,2002 R5 #158 (Kurt Kittner)
715,2002,2002-04-20,SEA,GB,2002,1.0,20.0,False,850.0,WalkJa00,Javon Walker,2002 R1 #20 (Javon Walker)
715,2002,2002-04-20,GB,SEA,2002,1.0,28.0,False,660.0,StevJe00,Jerramy Stevens,2002 R1 #28 (Jerramy Stevens)
715,2002,2002-04-20,GB,SEA,2002,2.0,60.0,False,297.71436830563,PaleAn20,Anton Palepoi,2002 R2 #60 (Anton Palepoi)
715,2002,2002-04-20,SEA,GB,2002,5.0,156.0,False,29.54247212175932,KampAa99,Aaron Kampman,2002 R5 #156 (Aaron Kampman)
716,2002,2002-04-20,WAS,NE,2002,1.0,21.0,False,800.0,GrahDa00,Daniel Graham,2002 R1 #21 (Daniel Graham)
716,2002,2002-04-20,NE,WAS,2002,1.0,32.0,False,590.0,RamsPa00,Patrick Ramsey,2002 R1 #32 (Patrick Ramsey)
716,2002,2002-04-20,NE,WAS,2002,3.0,96.0,False,116.0,DaviDo23,Dorsett Davis,2002 R3 #96 (Dorsett Davis)
716,2002,2002-04-20,NE,WAS,2002,7.0,234.0,False,2.5936791093020193,ScotGr20,Greg Scott,2002 R7 #234 (Greg Scott)
717,2002,2002-04-20,WAS,BAL,2002,2.0,52.0,False,361.96939922005004,WeavAn20,Anthony Weaver,2002 R2 #52 (Anthony Weaver)
717,2002,2002-04-20,BAL,WAS,2002,2.0,56.0,False,328.2735003541492,BettLa00,Ladell Betts,2002 R2 #56 (Ladell Betts)
717,2002,2002-04-20,BAL,WAS,2002,3.0,87.0,False,147.1127244382688,RussCl00,Cliff Russell,2002 R3 #87 (Cliff Russell)
717,2002,2002-04-20,WAS,BAL,2002,3.0,96.0,False,116.0,DaviDo23,Dorsett Davis,2002 R3 #96 (Dorsett Davis)
717,2002,2002-04-20,BAL,WAS,2002,5.0,159.0,False,28.377898570470364,LottAn20,Andre Lott,2002 R5 #159 (Andre Lott)
718,2002,2002-04-20,SF,BUF,2002,2.0,61.0,False,290.52986838788144,DennRy20,Ryan Denney,2002 R2 #61 (Ryan Denney)
