model,draft_year,n_train,n_test,rmse,r2,incomplete_outcome
XGBoost,1999,5773,253,6.7704075565352975,-0.4401848578051364,False
XGBoost,2000,6026,254,6.0357068696373455,-0.4413903209059047,False
XGBoost,2001,6280,246,6.246226642415351,-0.3972578349412381,False
XGBoost,2002,6526,261,5.804701935304891,-0.35209126791931,False
XGBoost,2003,6787,262,5.229558153250533,-0.15969470161526167,False
XGBoost,2004,7049,255,4.487362759871013,0.28342538044448706,False
XGBoost,2005,7304,255,4.0217034350755405,0.3370828209425325,False
XGBoost,2006,7559,255,4.63286661603029,0.351014106942969,False
XGBoost,2007,7814,255,3.9897005198459743,0.4098195055777668,False
XGBoost,2008,8069,252,4.593364321348285,0.34202017906562676,False
XGBoost,2009,8321,256,4.057538340428455,0.36839563627540983,False
XGBoost,2010,8577,255,4.117890086882385,0.36981904061140325,False
XGBoost,2011,8832,254,5.005602593312385,0.35636361550815865,False
XGBoost,2012,9086,253,4.589326986659109,0.3731639560361111,False
XGBoost,2013,9339,254,4.221019903992624,0.35581190280081787,False
XGBoost,2014,9593,256,4.408874064305227,0.39741998733030315,False
XGBoost,2015,9849,256,4.270557126373691,0.3785906124890417,False
XGBoost,2016,10105,253,4.668344455816522,0.27197027590373457,False
XGBoost,2017,10358,253,4.579041104781908,0.3716849068231256,False
XGBoost,2018,10611,256,4.217313471279362,0.4434142411329475,False
XGBoost,2019,10867,254,3.9408480868869042,0.43655242363222213,False
XGBoost,2020,11121,255,4.246224869540306,0.43777211456782483,False
XGBoost,2021,11376,259,4.568662355271174,0.37073159387312915,False
XGBoost,2022,11635,262,4.524368643309827,0.29860302630503177,False
XGBoost,2023,11897,259,3.939883314182991,0.4432311315222882,False
XGBoost,2024,12156,257,3.746988598918768,0.5223845308314423,True
XGBoost,2025,12413,257,3.8739534181434996,-1.6564169625605731,True
SplineRegression,1999,5773,253,6.80830365193767,-0.45635231173735513,False
SplineRegression,2000,6026,254,6.0404891786933,-0.4436753572701355,False
SplineRegression,2001,6280,246,6.373242356452307,-0.45466149868494377,False
SplineRegression,2002,6526,261,5.7727041905267145,-0.33722586113102704,False
SplineRegression,2003,6787,262,5.3436763021282765,-0.21086008825561642,False
SplineRegression,2004,7049,255,5.636548380461146,-0.13059104425210455,False
SplineRegression,2005,7304,255,4.79334508842391,0.05829130098943125,False
SplineRegression,2006,7559,255,5.669752599221656,0.02800533579777409,False
SplineRegression,2007,7814,255,4.672598909933321,0.19049177848213827,False
SplineRegression,2008,8069,252,5.20836973613019,0.1540310898306404,False
SplineRegression,2009,8321,256,4.673369262699105,0.1621234167840474,False
SplineRegression,2010,8577,255,5.19348254879513,-0.0023817002911277196,False
SplineRegression,2011,8832,254,6.875230737411767,-0.2142340534657099,False
SplineRegression,2012,9086,253,5.507649735095144,0.09720616827153672,False
SplineRegression,2013,9339,254,5.145448545123391,0.04275220404870261,False
SplineRegression,2014,9593,256,5.434375222567401,0.08449951726734672,False
SplineRegression,2015,9849,256,4.969090795813039,0.1586773076858663,False
SplineRegression,2016,10105,253,5.3441748250517245,0.04592033720252808,False
SplineRegression,2017,10358,253,5.8716411919501885,-0.03311204570525361,False
SplineRegression,2018,10611,256,6.576156046660532,-0.353332601193463,False
SplineRegression,2019,10867,254,4.614213567104304,0.22755154115767973,False
SplineRegression,2020,11121,255,5.317611553023929,0.11826187095389251,False
SplineRegression,2021,11376,259,5.385747764989861,0.12552012044606176,False
SplineRegression,2022,11635,262,5.032065975036211,0.1323579874104105,False
SplineRegression,2023,11897,259,4.626973860174089,0.23210415720419164,False
SplineRegression,2024,12156,257,4.2712344630605665,0.37938757638935217,True
SplineRegression,2025,12413,257,4.079575343573993,-1.9458957425549364,True
MLP,1999,5773,253,6.85735166296676,-0.4774114443026307,False
MLP,2000,6026,254,6.091007422210849,-0.4679240284848105,False
MLP,2001,6280,246,6.38821195838922,-0.46150300132294486,False
MLP,2002,6526,261,5.8001643809969625,-0.3499782258793165,False
MLP,2003,6787,262,7.110178767749722,-1.1437528743518812,False
MLP,2004,7049,255,5.573918594127147,-0.10560579441148765,False
MLP,2005,7304,255,4.776479068945885,0.064906695443263,False
MLP,2006,7559,255,5.201059858397977,0.18206391697529511,False
MLP,2007,7814,255,4.480486355548321,0.25568876338470947,False
MLP,2008,8069,252,4.96057220199248,0.23261317295920747,False
MLP,2009,8321,256,4.458682354533862,0.23733656656588575,False
MLP,2010,8577,255,5.818186989265565,-0.2580303709826879,False
MLP,2011,8832,254,6.422295156364401,-0.05951808648189694,False
MLP,2012,9086,253,5.124960475563581,0.21830560515445785,False
MLP,2013,9339,254,4.712130961933357,0.19719032066060316,False
MLP,2014,9593,256,5.2373371496239,0.14968390604288484,False
MLP,2015,9849,256,4.463809690040222,0.3210776909708074,False
MLP,2016,10105,253,4.855505818716646,0.21242434583792813,False
MLP,2017,10358,253,5.226842700725995,0.1813330294139992,False
MLP,2018,10611,256,5.395394157817614,0.08902453923839904,False
MLP,2019,10867,254,4.284959281407678,0.333856911837608,False
MLP,2020,11121,255,4.808413647767315,0.27904186752216464,False
MLP,2021,11376,259,5.0639062478998245,0.2269116745034946,False
MLP,2022,11635,262,4.966722263898074,0.15474515173373948,False
MLP,2023,11897,259,4.350473322661717,0.32113839867606475,False
MLP,2024,12156,257,4.073408819642106,0.43554458999164625,True
MLP,2025,12413,257,3.288441167570922,-0.914113159595118,True
CatBoost,1999,5773,253,6.801038622577934,-0.4532458706221729,False
CatBoost,2000,6026,254,6.064894750787615,-0.45536477510019213,False
CatBoost,2001,6280,246,6.412107960955927,-0.47245736505003477,False
CatBoost,2002,6526,261,5.786276727816834,-0.34352131071216774,False
CatBoost,2003,6787,262,5.157876098253701,-0.12812049732382014,False
CatBoost,2004,7049,255,4.414440483234767,0.30652566196185616,False
CatBoost,2005,7304,255,4.024994461160656,0.3359974249578843,False
CatBoost,2006,7559,255,4.689705621320867,0.33499206407059434,False
CatBoost,2007,7814,255,3.9661191647702347,0.41677547951972294,False
CatBoost,2008,8069,252,4.57392224649434,0.34757837955015713,False
CatBoost,2009,8321,256,4.051561541888529,0.3702549861741884,False
CatBoost,2010,8577,255,4.128620472154899,0.36653051437480144,False
CatBoost,2011,8832,254,4.886305595852547,0.38667721041980196,False
CatBoost,2012,9086,253,4.592237270080114,0.3723686982675035,False
CatBoost,2013,9339,254,4.265939376662415,0.3420282392539429,False
CatBoost,2014,9593,256,4.4038988435002935,0.3987791901716602,False
CatBoost,2015,9849,256,4.307881069976462,0.3676811214574961,False
CatBoost,2016,10105,253,4.577373045080477,0.3000678531572911,False
CatBoost,2017,10358,253,4.718845993293799,0.33273243393114593,False
CatBoost,2018,10611,256,4.024364797676369,0.49317852721542343,False
CatBoost,2019,10867,254,3.9048970338714497,0.44678582335634875,False
CatBoost,2020,11121,255,4.2333726016995925,0.44117041215475616,False
CatBoost,2021,11376,259,4.493165700228849,0.39135694397923704,False
CatBoost,2022,11635,262,4.520127444144427,0.29991740636706665,False
CatBoost,2023,11897,259,3.8404148127590876,0.47098925083298504,False
CatBoost,2024,12156,257,3.7584179824399597,0.519466360277437,True
CatBoost,2025,12413,257,3.754547698951803,-1.4951847554502629,True
