year,model_type,n_train,n_test,mae,rmse,spearman,r2
2000,pick_bin,165,169,3.315858204911459,4.6091783855867705,0.5139251549011492,0.2404159055342591
2000,spline,165,169,4.295924522510784,5.708540594815022,0.4353477638813414,-0.1651424260960483
2000,xgb,165,169,3.717281147738445,5.2838256610795975,0.4979562175283282,0.0017811003013346
2000,tabnet,165,169,4.188075143204638,6.284212053302071,0.0053017928399835,-0.4119863282207747
2010,pick_bin,1873,173,3.386472869718803,4.4734477178982965,0.5432978532751346,0.2969597925210162
2010,spline,1873,173,3.393169300398859,4.511870139533646,0.5556782054659403,0.2848311105116187
2010,xgb,1873,173,3.6655936161906735,5.0033557439359555,0.5135822697054252,0.1205357363477376
2010,tabnet,1873,173,3.2969621282092407,4.37305730917567,0.5833059875101785,0.3281601365231316
2020,pick_bin,3685,206,3.342270531249548,4.734409705205987,0.5452779575367485,0.3354794107294484
2020,spline,3685,206,3.336828592172507,4.5386588534138035,0.5828204542647433,0.3892944791192136
2020,xgb,3685,206,3.243104851940303,4.512474080928334,0.595027571994802,0.3963208086408109
2020,tabnet,3685,206,4.272254909126504,5.869591344184913,0.0070127787712011,-0.0213921049522454
2024,pick_bin,4521,191,3.115547784508934,4.117377904426316,0.6370339366386353,0.4377966882854425
2024,spline,4521,191,3.1029710069977616,3.979161204942676,0.6497910328932154,0.4749084761043007
2024,xgb,4521,191,3.0753133315983088,3.943581230012256,0.6495742245444981,0.4842567863174282
2024,tabnet,4521,191,4.195310082111059,5.427804352571553,0.1355443680364369,0.0229870723528617
