depth,l2_leaf_reg,learning_rate,mean_mae,std_mae,mean_rmse,std_rmse,mean_spearman,std_spearman,mean_r2,std_r2,mae_2009,mae_2012,mae_2015,mae_2018,mae_2021,mae_2024
5,3.0,0.03,3.176,0.2069,4.5518,0.3676,0.6125,0.0562,0.3519,0.0855,3.3199,3.3863,3.2158,2.9012,3.3485,2.8845
5,1.0,0.03,3.1792,0.1994,4.5554,0.3606,0.6137,0.049,0.3503,0.0896,3.3406,3.3834,3.2463,2.909,3.2981,2.8977
6,6.0,0.03,3.1814,0.1871,4.5603,0.3385,0.6148,0.0518,0.3497,0.0796,3.3265,3.3664,3.2186,2.9124,3.3275,2.9372
5,6.0,0.03,3.1823,0.1999,4.5524,0.3514,0.6126,0.0521,0.3514,0.0855,3.3176,3.3796,3.2582,2.895,3.3302,2.9132
6,1.0,0.03,3.1825,0.1942,4.5575,0.3662,0.6154,0.0526,0.3501,0.0869,3.3204,3.3941,3.2032,2.9335,3.3374,2.9067
4,1.0,0.05,3.1833,0.2158,4.5648,0.3825,0.6035,0.0559,0.3471,0.0972,3.4132,3.3785,3.2114,2.9317,3.3105,2.8545
6,3.0,0.03,3.1932,0.2083,4.5757,0.3673,0.609,0.0579,0.3446,0.0903,3.3547,3.4039,3.202,2.9097,3.3734,2.9158
4,6.0,0.03,3.1933,0.1963,4.5735,0.3507,0.6126,0.0523,0.3458,0.0829,3.3161,3.3849,3.2779,2.9159,3.342,2.9227
6,6.0,0.05,3.1956,0.1888,4.6068,0.3437,0.609,0.0578,0.3358,0.0868,3.39,3.3405,3.1994,2.9925,3.3536,2.8975
4,1.0,0.03,3.1958,0.2024,4.5669,0.3584,0.6085,0.0532,0.3475,0.0855,3.335,3.3934,3.2643,2.9275,3.3523,2.9024
4,3.0,0.03,3.1982,0.1914,4.5797,0.3425,0.6099,0.0536,0.344,0.0814,3.3365,3.3646,3.273,2.9487,3.3531,2.9133
6,3.0,0.05,3.1993,0.2087,4.599,0.3598,0.5994,0.0595,0.3384,0.0859,3.3972,3.3942,3.1882,2.9574,3.37,2.8889
5,6.0,0.05,3.1995,0.1833,4.5776,0.3427,0.6102,0.0552,0.3442,0.0857,3.407,3.3776,3.1776,2.9775,3.3117,2.9457
4,6.0,0.05,3.2076,0.2033,4.578,0.3558,0.6066,0.0557,0.344,0.0881,3.366,3.3926,3.2689,2.9313,3.367,2.9195
6,1.0,0.05,3.2168,0.2186,4.6094,0.3964,0.5958,0.0572,0.3348,0.0955,3.3999,3.4673,3.2013,2.9908,3.3663,2.8751
5,1.0,0.05,3.2244,0.22,4.6084,0.3693,0.5934,0.0601,0.3349,0.0943,3.4482,3.447,3.2216,2.977,3.3612,2.8914
5,3.0,0.05,3.2261,0.185,4.6168,0.3522,0.6014,0.0568,0.3331,0.0861,3.3908,3.3788,3.2565,3.0655,3.368,2.8972
5,6.0,0.1,3.2268,0.2076,4.6285,0.3678,0.5916,0.0664,0.3294,0.0916,3.4447,3.4346,3.1783,3.0378,3.3693,2.8959
4,3.0,0.05,3.2276,0.1873,4.6297,0.3671,0.6003,0.0499,0.3297,0.0864,3.3663,3.436,3.2301,3.0306,3.372,2.9306
4,6.0,0.1,3.2445,0.2033,4.6803,0.3854,0.5964,0.0614,0.3144,0.0944,3.4311,3.4511,3.1797,3.1989,3.3523,2.8539
6,6.0,0.1,3.253,0.2304,4.6659,0.4405,0.5885,0.0644,0.3187,0.1016,3.4302,3.5217,3.1093,3.124,3.4516,2.8812
6,3.0,0.1,3.2599,0.2135,4.6631,0.3759,0.5905,0.0593,0.3189,0.0991,3.506,3.4872,3.1333,3.1625,3.364,2.9067
4,3.0,0.1,3.2647,0.2043,4.6865,0.3517,0.5809,0.0624,0.3137,0.0808,3.4447,3.4994,3.1712,3.1271,3.4165,2.9296
6,1.0,0.1,3.2665,0.2271,4.6943,0.4307,0.5867,0.0649,0.3099,0.106,3.48,3.5521,3.1984,3.1075,3.3705,2.8902
5,1.0,0.1,3.2707,0.2736,4.697,0.4428,0.5795,0.0711,0.3084,0.1121,3.5232,3.5502,3.1394,3.1597,3.4693,2.7824
5,3.0,0.1,3.2781,0.1999,4.7072,0.3788,0.5846,0.0566,0.3073,0.0882,3.4643,3.479,3.215,3.18,3.4157,2.9146
4,1.0,0.1,3.2912,0.2633,4.7129,0.4758,0.5743,0.0683,0.3041,0.1143,3.5034,3.5992,3.1816,3.1278,3.4893,2.8461
