d_token,n_layers,dropout,mean_mae,std_mae,mean_rmse,std_rmse,mean_spearman,std_spearman,mean_r2,std_r2,mae_2009,mae_2012,mae_2015,mae_2018,mae_2021,mae_2024
16,2,0.2,3.2582,0.195,4.5747,0.2707,0.5961,0.0504,0.3451,0.0741,3.3824,3.4156,3.3809,2.9539,3.4022,3.014
16,2,0.3,3.2705,0.2075,4.6267,0.2939,0.6055,0.054,0.3304,0.0758,3.4023,3.4137,3.376,2.8902,3.4503,3.0903
32,2,0.2,3.2877,0.2207,4.6269,0.3433,0.5907,0.0484,0.3318,0.0708,3.2661,3.5957,3.4409,2.9078,3.3751,3.1407
16,3,0.2,3.2921,0.2609,4.6736,0.339,0.5946,0.0656,0.3174,0.0783,3.3825,3.6078,3.4087,2.8422,3.4579,3.0536
32,2,0.1,3.2942,0.2343,4.6964,0.3543,0.5951,0.0551,0.3108,0.081,3.3317,3.6394,3.4065,2.9117,3.3858,3.0902
16,3,0.1,3.2965,0.206,4.6542,0.3161,0.5942,0.0505,0.3227,0.0769,3.3695,3.5524,3.4261,2.945,3.3803,3.1055
32,3,0.1,3.2988,0.2199,4.6269,0.2844,0.5982,0.0449,0.3307,0.0707,3.3736,3.4903,3.4225,2.891,3.4892,3.1258
16,3,0.3,3.3026,0.2412,4.6873,0.359,0.5836,0.0589,0.314,0.077,3.3743,3.595,3.3739,2.9136,3.504,3.0546
32,2,0.3,3.3251,0.2092,4.6868,0.3295,0.5918,0.0441,0.3153,0.0596,3.2848,3.6448,3.4015,2.9755,3.4458,3.198
32,3,0.2,3.3267,0.1942,4.7105,0.3214,0.5897,0.0373,0.3062,0.0794,3.3829,3.5875,3.452,2.9733,3.3553,3.2095
16,2,0.1,3.3376,0.2252,4.6921,0.3284,0.5901,0.0509,0.3116,0.0811,3.4504,3.6111,3.4424,3.0039,3.4614,3.0563
32,3,0.3,3.3381,0.2213,4.7146,0.3493,0.5903,0.0432,0.3057,0.078,3.3493,3.6531,3.4448,2.9698,3.4568,3.1552
