max_depth,min_samples_leaf,max_features,mean_mae,std_mae,mean_rmse,std_rmse,mean_spearman,std_spearman,mean_r2,std_r2,mae_2009,mae_2012,mae_2015,mae_2018,mae_2021,mae_2024
None,10,0.5,3.228,0.1716,4.6328,0.3342,0.615,0.0564,0.3296,0.0735,3.3421,3.4118,3.2698,3.0312,3.3557,2.9576
10,10,0.7,3.2282,0.1768,4.6421,0.3385,0.616,0.056,0.3268,0.0757,3.3458,3.4317,3.2782,3.0263,3.3368,2.9502
10,10,0.3,3.2287,0.1767,4.632,0.334,0.6174,0.0563,0.3301,0.0717,3.3314,3.4361,3.274,2.9957,3.3543,2.9806
20,10,0.5,3.2287,0.1686,4.6316,0.3346,0.6155,0.0565,0.33,0.0734,3.3414,3.4099,3.2663,3.0316,3.3561,2.9668
10,10,0.5,3.2309,0.1751,4.6339,0.3366,0.6141,0.0568,0.3293,0.0741,3.3434,3.4207,3.2792,3.0182,3.3598,2.9643
None,10,0.3,3.2335,0.1762,4.6325,0.3364,0.6167,0.0553,0.3299,0.0726,3.3274,3.4365,3.294,3.0085,3.3588,2.9761
20,10,0.7,3.2337,0.1796,4.6479,0.3428,0.6139,0.0566,0.3251,0.077,3.3589,3.4328,3.2763,3.0318,3.3538,2.9486
None,10,0.7,3.2338,0.1789,4.6481,0.343,0.6138,0.0562,0.325,0.0771,3.3591,3.433,3.276,3.0307,3.3525,2.9516
20,10,0.3,3.2351,0.1757,4.6345,0.336,0.6158,0.0553,0.3293,0.0724,3.3273,3.4359,3.2982,3.0103,3.3605,2.9781
10,5,0.7,3.2429,0.1687,4.676,0.3516,0.6115,0.0568,0.3174,0.0745,3.3283,3.4674,3.2638,3.0649,3.3528,2.9804
10,5,0.3,3.2451,0.1856,4.6587,0.3638,0.6124,0.0575,0.3221,0.0794,3.3603,3.481,3.2932,3.0251,3.3441,2.9672
None,5,0.3,3.2472,0.1669,4.652,0.3461,0.6092,0.0544,0.3243,0.0742,3.3552,3.452,3.2798,3.0536,3.3493,2.9933
20,5,0.3,3.2474,0.1754,4.6525,0.3444,0.6116,0.056,0.3241,0.074,3.3638,3.466,3.2748,3.0293,3.3549,2.9957
10,5,0.5,3.2476,0.1867,4.6765,0.3645,0.6111,0.0578,0.317,0.0794,3.3514,3.4981,3.2845,3.0408,3.3483,2.9623
20,5,0.5,3.2483,0.1841,4.6757,0.3733,0.61,0.0587,0.3172,0.0812,3.3602,3.4924,3.2701,3.0557,3.3511,2.9601
None,5,0.5,3.2493,0.1863,4.6738,0.3738,0.6086,0.0594,0.3178,0.081,3.3518,3.5076,3.274,3.0459,3.3487,2.9679
20,5,0.7,3.2503,0.1881,4.6869,0.3695,0.6085,0.0597,0.3138,0.0811,3.3475,3.4868,3.2824,3.0704,3.3767,2.938
None,5,0.7,3.2514,0.188,4.6848,0.3714,0.6091,0.0599,0.3145,0.0813,3.3454,3.4869,3.2871,3.0817,3.3757,2.9318
20,3,0.3,3.2522,0.1835,4.664,0.361,0.6101,0.062,0.3207,0.078,3.3618,3.504,3.2895,3.0304,3.3374,2.99
10,3,0.3,3.2546,0.1808,4.6716,0.3538,0.611,0.0575,0.3187,0.0745,3.3544,3.4909,3.3065,3.0392,3.3504,2.9862
None,3,0.3,3.2564,0.1837,4.6779,0.3575,0.6081,0.0625,0.3167,0.0773,3.3918,3.4804,3.2997,3.0375,3.3479,2.9811
10,3,0.5,3.2611,0.1835,4.6904,0.3687,0.6111,0.0569,0.3133,0.0767,3.3315,3.511,3.3019,3.0638,3.3797,2.9784
20,3,0.7,3.2639,0.1762,4.7158,0.3642,0.6065,0.0605,0.3059,0.0757,3.3339,3.4906,3.3217,3.1007,3.3704,2.9661
10,3,0.7,3.2685,0.1826,4.7169,0.3682,0.6079,0.0589,0.3056,0.0768,3.3344,3.5205,3.3067,3.0819,3.3859,2.9819
None,3,0.5,3.2707,0.1829,4.7077,0.3627,0.6071,0.0612,0.3082,0.0767,3.3865,3.4856,3.3071,3.069,3.3948,2.9812
20,3,0.5,3.2709,0.1868,4.7096,0.3813,0.6087,0.0592,0.3075,0.0806,3.3833,3.4924,3.308,3.0937,3.3934,2.9548
None,3,0.7,3.2754,0.1728,4.728,0.3643,0.6058,0.0567,0.3024,0.0748,3.332,3.496,3.3308,3.1191,3.3924,2.9819
