alpha,n_knots_pick,mean_mae,std_mae,mean_rmse,std_rmse,mean_spearman,std_spearman,mean_r2,std_r2,mae_2009,mae_2012,mae_2015,mae_2018,mae_2021,mae_2024
25.0,8,3.2475,0.147,4.6813,0.2616,0.6182,0.0512,0.3165,0.0489,3.2829,3.3534,3.283,2.9928,3.4414,3.1316
25.0,6,3.2497,0.1469,4.6861,0.2587,0.618,0.0517,0.3151,0.048,3.2843,3.3512,3.2875,2.9981,3.447,3.1301
25.0,4,3.2576,0.1421,4.6996,0.2557,0.6156,0.0529,0.3113,0.0459,3.2912,3.3501,3.302,3.0139,3.4482,3.14
10.0,8,3.265,0.1629,4.6962,0.2754,0.6135,0.054,0.3121,0.0527,3.3058,3.3533,3.274,3.0155,3.5221,3.1192
10.0,6,3.2682,0.1642,4.7022,0.2737,0.6128,0.0552,0.3104,0.052,3.3125,3.3499,3.2752,3.0239,3.5325,3.115
10.0,4,3.2774,0.1619,4.7171,0.2693,0.61,0.0577,0.3061,0.0497,3.3186,3.3503,3.2959,3.0329,3.538,3.1285
4.0,8,3.2969,0.1972,4.7362,0.3133,0.6062,0.0609,0.3,0.0646,3.3447,3.3568,3.2908,3.0332,3.647,3.109
4.0,6,3.2994,0.1986,4.7421,0.3129,0.6063,0.062,0.2983,0.0645,3.3533,3.3485,3.2911,3.0427,3.6562,3.1045
4.0,4,3.3089,0.1966,4.7551,0.3073,0.6042,0.0625,0.2945,0.0625,3.3638,3.3523,3.3148,3.0473,3.6579,3.1172
1.0,8,3.3591,0.2697,4.8166,0.4113,0.5933,0.0688,0.2744,0.099,3.4369,3.3762,3.3246,3.0435,3.8719,3.1017
1.0,6,3.3633,0.2731,4.8209,0.411,0.593,0.0696,0.2732,0.099,3.4463,3.3671,3.3299,3.0521,3.8856,3.0991
1.0,4,3.3672,0.2731,4.8264,0.4063,0.5913,0.0719,0.2716,0.0981,3.4461,3.3685,3.3416,3.0519,3.8895,3.1054
