n_d,n_steps,gamma,mean_mae,std_mae,mean_rmse,std_rmse,mean_spearman,std_spearman,mean_r2,std_r2,mae_2009,mae_2012,mae_2015,mae_2018,mae_2021,mae_2024
32,3,1.3,3.3972,0.191,4.8216,0.3017,0.5739,0.0387,0.2709,0.0992,3.5915,3.6037,3.5178,3.1368,3.3714,3.1617
32,3,1.5,3.4511,0.1281,5.0555,0.2255,0.5364,0.0588,0.2031,0.0395,3.4794,3.6047,3.588,3.3614,3.4391,3.2338
8,3,1.3,3.4532,0.2275,4.9438,0.3211,0.5732,0.0488,0.2375,0.0683,3.494,3.9069,3.477,3.2286,3.3729,3.2398
8,3,1.5,3.4696,0.1969,5.0141,0.3282,0.5592,0.0672,0.2141,0.0834,3.5199,3.6429,3.5774,3.0531,3.587,3.4375
8,4,1.5,3.515,0.2328,5.2067,0.5249,0.5646,0.0511,0.1463,0.1692,3.4762,3.9947,3.5137,3.272,3.3294,3.5038
16,3,1.8,3.5155,0.3601,4.9793,0.6207,0.5449,0.0761,0.2239,0.1479,3.4685,4.1217,3.5118,2.9879,3.756,3.2471
32,3,1.8,3.5443,0.1668,5.0678,0.4184,0.5547,0.0876,0.1969,0.1056,3.6542,3.7186,3.664,3.5555,3.4458,3.2276
32,4,1.8,3.5481,0.3919,5.0789,0.4881,0.5267,0.1569,0.1943,0.1171,3.4083,4.3907,3.5105,3.1587,3.43,3.3904
8,4,1.3,3.5525,0.2353,5.0203,0.3071,0.5358,0.0569,0.2116,0.0892,3.5212,3.6832,3.9435,3.2963,3.6201,3.2505
16,4,1.5,3.5628,0.2997,5.7604,2.1195,0.5617,0.0422,-0.1576,0.9549,3.3683,3.567,3.6789,4.1406,3.427,3.1951
16,4,1.8,3.564,0.3027,5.0204,0.5198,0.4454,0.2264,0.2097,0.1439,3.4415,3.6346,3.6126,4.1278,3.4456,3.1219
8,3,1.8,3.5839,0.3963,5.0749,0.5604,0.4266,0.2471,0.1801,0.2179,4.2362,3.8829,3.6486,3.0205,3.3968,3.3181
32,4,1.5,3.6163,0.399,5.6822,1.6575,0.5581,0.0297,-0.061,0.6282,3.5206,4.4544,3.5579,3.1571,3.4588,3.5492
32,4,1.3,3.6289,0.6068,7.1576,5.2726,0.5735,0.0606,-1.2837,3.451,3.4751,4.9,3.7161,3.221,3.4285,3.0327
16,4,1.3,3.6358,0.3168,5.5053,1.0287,0.5201,0.1048,0.0218,0.3911,3.9683,3.5971,3.5344,4.126,3.3523,3.2367
16,3,1.5,3.7038,0.3072,5.3291,0.6401,0.4762,0.1363,0.1059,0.2035,3.6343,3.8846,3.5613,4.2934,3.3743,3.4749
8,4,1.8,4.1391,1.2466,8.2983,7.0907,0.4291,0.2131,-2.4138,5.7331,3.5197,6.8137,4.3417,3.4962,3.4497,3.2134
16,3,1.3,15.6816,27.1948,136.8134,294.7004,0.5715,0.045,-3179.0795,7109.1013,3.664,3.5964,3.4647,76.49,3.6636,3.2108
