max_depth,min_child_weight,reg_lambda,mean_mae,std_mae,mean_rmse,std_rmse,mean_spearman,std_spearman,mean_r2,std_r2,mae_2009,mae_2012,mae_2015,mae_2018,mae_2021,mae_2024
3,2,5.0,3.1949,0.2423,4.5815,0.4033,0.6077,0.0591,0.3426,0.0989,3.4354,3.4712,3.1669,2.9387,3.328,2.8291
3,2,3.0,3.1958,0.2414,4.5859,0.3938,0.6067,0.0602,0.3417,0.095,3.4066,3.5059,3.1273,2.9464,3.341,2.848
3,5,1.0,3.2001,0.2563,4.5948,0.4154,0.6051,0.0607,0.3387,0.1011,3.4202,3.5055,3.1475,2.9505,3.3732,2.8033
3,5,3.0,3.2083,0.2404,4.6065,0.3981,0.6062,0.0556,0.3353,0.0993,3.4305,3.4921,3.2113,2.9449,3.3279,2.8433
3,5,5.0,3.215,0.2554,4.5951,0.4066,0.6075,0.0566,0.3384,0.1012,3.4565,3.5169,3.2108,2.9547,3.3357,2.8155
4,5,3.0,3.2155,0.2478,4.635,0.422,0.6008,0.0697,0.3272,0.1022,3.4196,3.4562,3.174,3.0392,3.4262,2.7778
3,2,1.0,3.2216,0.2342,4.599,0.3965,0.6034,0.0609,0.3376,0.0974,3.4197,3.5111,3.1792,2.9883,3.3679,2.8632
4,5,1.0,3.2265,0.2653,4.6302,0.4024,0.5955,0.0746,0.3275,0.1082,3.5119,3.4603,3.1832,2.9855,3.4243,2.7938
4,2,5.0,3.2269,0.2453,4.6288,0.4034,0.5987,0.0639,0.3286,0.1027,3.4577,3.4905,3.1765,3.0575,3.3808,2.7987
4,5,5.0,3.2272,0.2568,4.6406,0.4101,0.5977,0.0662,0.325,0.1057,3.5336,3.4543,3.1489,3.0651,3.3763,2.7849
4,2,3.0,3.2324,0.2406,4.6388,0.3952,0.5951,0.064,0.3256,0.1036,3.4718,3.4706,3.1507,3.0498,3.4176,2.8339
5,5,5.0,3.2394,0.2335,4.6474,0.3845,0.597,0.0654,0.3242,0.0931,3.4636,3.4839,3.0723,3.1514,3.4143,2.8512
4,2,1.0,3.2442,0.2653,4.6373,0.4229,0.5899,0.0721,0.3256,0.1103,3.4972,3.5374,3.1221,3.0545,3.4385,2.8155
5,2,5.0,3.2477,0.2362,4.6787,0.4049,0.5974,0.0654,0.3145,0.1017,3.4781,3.5096,3.0637,3.1962,3.3872,2.8515
5,2,3.0,3.2526,0.2512,4.6656,0.4029,0.5928,0.0673,0.3184,0.1004,3.4656,3.5476,3.0999,3.1502,3.4264,2.8258
5,5,3.0,3.2552,0.2595,4.6914,0.4226,0.5903,0.067,0.3104,0.1071,3.4693,3.5192,3.1262,3.102,3.4956,2.8188
5,5,1.0,3.2678,0.2766,4.6919,0.442,0.5912,0.0714,0.3086,0.1223,3.5536,3.5765,3.0982,3.0775,3.4584,2.8425
5,2,1.0,3.2928,0.2291,4.7393,0.3782,0.5816,0.0681,0.2959,0.1067,3.5511,3.4962,3.1501,3.1587,3.4756,2.9252
