year,spline,xgb,catboost,rf,mlpe,ftt,tabnet,stack
2007,3.755,2.939,2.961,2.744,3.526,3.2,5.333,2.961
2008,3.968,3.332,3.369,3.007,3.595,3.902,4.045,3.369
2009,3.769,2.986,3.009,2.846,2.894,2.83,3.377,3.009
2010,3.959,3.126,3.133,3.01,3.071,2.975,3.311,3.007
2011,4.216,3.484,3.461,3.317,3.381,3.298,3.573,3.297
2012,4.221,3.332,3.269,3.12,3.311,3.162,3.219,3.13
2013,4.026,3.203,3.166,3.016,3.056,3.032,3.0,3.008
2014,4.119,3.48,3.46,3.281,3.348,3.269,3.337,3.289
2015,4.101,3.366,3.249,3.175,3.206,3.139,3.222,3.166
2016,4.185,3.398,3.489,3.439,3.561,3.439,3.513,3.426
2017,4.223,3.509,3.577,3.463,3.815,3.532,3.945,3.482
2018,4.13,2.994,2.95,3.033,3.288,2.886,3.645,2.972
2019,3.981,3.172,3.06,3.008,3.081,2.918,3.38,2.982
2020,4.236,3.196,3.222,3.216,3.64,3.235,3.474,3.206
2021,4.172,3.261,3.341,3.253,3.294,3.214,3.291,3.256
2022,4.303,3.402,3.398,3.377,3.503,3.283,3.437,3.343
2023,3.924,2.888,2.848,2.972,2.954,2.777,2.874,2.865
2024,3.915,3.108,3.083,3.034,3.248,3.035,3.07,3.023
