year,spline,xgb,catboost,rf,mlpe,ftt,tabnet,stack
2007,-0.349,0.271,0.293,0.392,-0.132,0.192,-2.565,0.293
2008,-0.331,0.235,0.295,0.286,0.072,0.214,-0.054,0.295
2009,-0.348,0.356,0.363,0.319,0.281,0.376,0.015,0.363
2010,-0.366,0.313,0.29,0.278,0.227,0.261,0.019,0.301
2011,-0.294,0.303,0.318,0.256,0.21,0.286,-0.047,0.287
2012,-0.343,0.307,0.337,0.265,0.193,0.277,0.265,0.299
2013,-0.353,0.343,0.341,0.279,0.248,0.26,0.288,0.314
2014,-0.299,0.325,0.339,0.282,0.207,0.289,0.278,0.317
2015,-0.311,0.284,0.308,0.275,0.264,0.267,0.247,0.298
2016,-0.306,0.237,0.208,0.155,0.081,0.146,0.11,0.188
2017,-0.28,0.251,0.218,0.182,-0.101,0.203,-0.112,0.208
2018,-0.216,0.395,0.416,0.333,0.226,0.398,0.051,0.376
2019,-0.265,0.29,0.379,0.347,0.281,0.353,0.054,0.369
2020,-0.258,0.341,0.324,0.262,0.06,0.274,0.176,0.291
2021,-0.274,0.378,0.336,0.281,0.209,0.327,0.246,0.319
2022,-0.32,0.265,0.253,0.188,0.092,0.211,0.126,0.228
2023,-0.201,0.406,0.453,0.379,0.353,0.428,0.348,0.425
2024,-0.125,0.384,0.415,0.386,0.242,0.372,0.38,0.41
