year,spline,xgb,catboost,rf,mlpe,ftt,tabnet,stack
2007,6.144,4.515,4.446,4.123,5.628,4.755,9.987,4.446
2008,6.625,5.022,4.822,4.851,5.531,5.089,5.895,4.822
2009,6.034,4.169,4.147,4.289,4.407,4.104,5.158,4.147
2010,6.181,4.384,4.458,4.493,4.65,4.545,5.237,4.423
2011,7.192,5.277,5.221,5.454,5.62,5.343,6.47,5.339
2012,6.791,4.876,4.771,5.025,5.264,4.981,5.022,4.905
2013,6.227,4.338,4.345,4.546,4.642,4.604,4.517,4.434
2014,6.618,4.77,4.722,4.92,5.171,4.898,4.934,4.798
2015,6.351,4.693,4.615,4.722,4.758,4.751,4.814,4.646
2016,6.456,4.935,5.029,5.194,5.416,5.22,5.331,5.091
2017,6.613,5.061,5.17,5.288,6.135,5.219,6.165,5.204
2018,6.373,4.495,4.417,4.719,5.084,4.486,5.63,4.566
2019,6.004,4.496,4.204,4.312,4.524,4.293,5.19,4.24
2020,6.487,4.695,4.753,4.968,5.607,4.928,5.249,4.87
2021,6.533,4.566,4.717,4.908,5.15,4.748,5.028,4.778
2022,6.305,4.705,4.744,4.945,5.23,4.874,5.13,4.823
2023,5.882,4.137,3.97,4.229,4.318,4.058,4.334,4.069
2024,5.847,4.327,4.214,4.32,4.8,4.367,4.341,4.233
