year,spline,xgb,catboost,rf,mlpe,ftt,tabnet,stack
2007,0.422,0.491,0.502,0.6,0.528,0.446,-0.017,0.502
2008,0.478,0.438,0.558,0.622,0.529,0.488,0.061,0.558
2009,0.501,0.568,0.583,0.606,0.575,0.599,0.403,0.583
2010,0.437,0.557,0.552,0.571,0.556,0.568,0.533,0.577
2011,0.485,0.568,0.588,0.59,0.582,0.587,0.552,0.6
2012,0.567,0.582,0.578,0.622,0.575,0.566,0.611,0.616
2013,0.51,0.586,0.594,0.627,0.597,0.614,0.612,0.626
2014,0.535,0.57,0.611,0.611,0.608,0.618,0.579,0.623
2015,0.397,0.56,0.584,0.584,0.54,0.547,0.556,0.593
2016,0.411,0.495,0.462,0.501,0.493,0.509,0.513,0.494
2017,0.413,0.504,0.55,0.566,0.493,0.553,0.506,0.564
2018,0.498,0.68,0.674,0.697,0.685,0.686,0.655,0.699
2019,0.451,0.553,0.592,0.595,0.586,0.6,0.587,0.598
2020,0.393,0.581,0.56,0.57,0.558,0.568,0.546,0.575
2021,0.325,0.55,0.53,0.542,0.553,0.555,0.552,0.543
2022,0.354,0.536,0.544,0.541,0.539,0.532,0.516,0.549
2023,0.403,0.642,0.674,0.642,0.649,0.634,0.647,0.661
2024,0.477,0.607,0.61,0.617,0.597,0.601,0.593,0.616
