depth,learning_rate,l2_leaf_reg,avg_mae,avg_rmse,avg_spearman,avg_r2,last_mae,last_rmse,last_spearman,last_r2,avg_best_iter,elapsed_s
5,0.1,5.0,3.0574,4.3538,0.6013,0.3897,3.0121,4.1166,0.6106,0.4421,73.0,8.6
6,0.05,1.0,3.0592,4.3607,0.6016,0.3879,2.9749,4.1336,0.6023,0.4375,135.0,17.7
6,0.05,5.0,3.063,4.3654,0.6021,0.3868,2.9917,4.1203,0.6103,0.4411,132.0,16.9
5,0.03,5.0,3.0633,4.3615,0.6032,0.3876,3.0033,4.1077,0.612,0.4445,266.0,21.3
5,0.01,5.0,3.0645,4.3637,0.603,0.3872,3.0272,4.1572,0.6059,0.4311,696.0,48.8
6,0.03,5.0,3.0648,4.3668,0.6048,0.3862,3.0068,4.1541,0.6036,0.4319,220.0,23.9
5,0.01,3.0,3.0658,4.3569,0.6052,0.3891,3.0311,4.1493,0.6046,0.4332,653.0,47.4
6,0.05,10.0,3.0687,4.3751,0.6005,0.3841,2.9783,4.1561,0.6099,0.4314,136.0,16.5
6,0.01,3.0,3.0691,4.381,0.6038,0.3824,3.0179,4.1632,0.6089,0.4294,634.0,59.7
6,0.01,10.0,3.0694,4.3826,0.6054,0.3818,3.0061,4.1568,0.6095,0.4312,663.0,63.6
6,0.05,3.0,3.0696,4.3907,0.6014,0.3799,2.9826,4.1888,0.6106,0.4224,114.0,15.3
6,0.01,5.0,3.0697,4.3892,0.6049,0.3802,3.0092,4.1592,0.6069,0.4305,667.0,62.8
5,0.03,3.0,3.0736,4.3795,0.6019,0.3827,2.9992,4.1052,0.6079,0.4452,249.0,20.4
4,0.01,3.0,3.0737,4.3657,0.6007,0.3867,3.0281,4.1372,0.6032,0.4365,721.0,42.2
4,0.01,1.0,3.0742,4.3728,0.6006,0.3848,3.0204,4.1293,0.6019,0.4387,735.0,42.2
6,0.03,1.0,3.0743,4.3884,0.6037,0.3805,3.0011,4.1584,0.6097,0.4308,197.0,22.1
5,0.01,1.0,3.0746,4.3885,0.6019,0.3803,3.014,4.1555,0.6067,0.4315,600.0,44.6
4,0.03,3.0,3.0747,4.361,0.5984,0.388,3.0681,4.1951,0.6012,0.4206,298.0,21.1
5,0.05,3.0,3.075,4.3765,0.5958,0.3835,3.0276,4.1093,0.6049,0.4441,145.0,14.0
5,0.01,10.0,3.0764,4.3787,0.6052,0.3831,3.0358,4.1553,0.6038,0.4316,706.0,49.5
6,0.01,1.0,3.0772,4.4064,0.602,0.3754,3.0317,4.2216,0.5996,0.4133,572.0,54.8
4,0.01,10.0,3.0791,4.3789,0.6,0.3832,3.0339,4.1566,0.5988,0.4312,734.0,44.4
6,0.03,10.0,3.0792,4.3982,0.6063,0.3778,3.0149,4.1951,0.6036,0.4207,218.0,24.3
5,0.03,10.0,3.0795,4.3811,0.6008,0.3823,3.0073,4.1452,0.6069,0.4344,267.0,21.3
4,0.05,10.0,3.0797,4.3771,0.5969,0.3838,3.0753,4.1722,0.5984,0.427,163.0,11.5
4,0.01,5.0,3.0801,4.3816,0.6001,0.3824,3.0461,4.1626,0.5996,0.4296,689.0,40.0
6,0.1,3.0,3.0801,4.404,0.5934,0.3758,3.0568,4.2361,0.5829,0.4093,65.0,11.6
5,0.05,10.0,3.0813,4.3754,0.5988,0.3841,3.0451,4.1706,0.6001,0.4274,151.0,14.6
6,0.1,1.0,3.0825,4.4091,0.5962,0.375,3.0567,4.2529,0.5952,0.4046,53.0,9.7
5,0.05,1.0,3.0827,4.3929,0.5992,0.3793,3.0124,4.1254,0.6083,0.4397,113.0,13.8
4,0.03,5.0,3.0837,4.3953,0.5985,0.3785,3.0526,4.1523,0.6023,0.4324,242.0,16.4
4,0.05,5.0,3.0848,4.376,0.5925,0.3837,3.0562,4.154,0.5991,0.4319,140.0,10.3
6,0.1,10.0,3.0848,4.4107,0.6038,0.3744,3.028,4.1962,0.605,0.4203,75.0,12.0
6,0.03,3.0,3.0851,4.4058,0.6022,0.3756,3.0242,4.1945,0.6076,0.4208,215.0,23.5
6,0.1,5.0,3.0854,4.3871,0.5963,0.3807,3.0115,4.1649,0.6081,0.429,64.0,11.3
4,0.05,1.0,3.0858,4.3811,0.5988,0.3822,3.0749,4.2005,0.5905,0.4192,145.0,10.6
4,0.03,10.0,3.088,4.3966,0.5969,0.3782,3.0732,4.1972,0.596,0.4201,261.0,16.6
4,0.1,1.0,3.0888,4.384,0.5924,0.3816,3.0491,4.134,0.604,0.4374,71.0,6.7
5,0.03,1.0,3.0892,4.3918,0.5982,0.3796,3.0324,4.1383,0.6022,0.4362,226.0,18.9
5,0.1,10.0,3.0894,4.4074,0.5963,0.3752,3.1222,4.261,0.5927,0.4023,86.0,9.4
5,0.05,5.0,3.0894,4.4031,0.5972,0.3762,3.0439,4.2129,0.6005,0.4157,136.0,14.0
8,0.01,5.0,3.0901,4.4543,0.606,0.3618,3.0361,4.2413,0.6079,0.4078,603.0,105.7
5,0.1,3.0,3.0917,4.3916,0.5922,0.3794,3.0104,4.1789,0.606,0.4251,57.0,7.6
4,0.03,1.0,3.0918,4.3916,0.5961,0.3793,3.0436,4.1083,0.606,0.4444,226.0,15.9
4,0.05,3.0,3.092,4.3939,0.5963,0.379,3.0859,4.144,0.5973,0.4347,176.0,12.2
4,0.1,5.0,3.0923,4.386,0.5927,0.3811,3.0251,4.0727,0.6042,0.454,74.0,6.9
8,0.01,3.0,3.0933,4.4683,0.6065,0.358,3.038,4.2708,0.6104,0.3996,520.0,93.8
8,0.1,10.0,3.0962,4.4779,0.6014,0.3551,2.9853,4.1303,0.6121,0.4384,51.0,16.9
8,0.03,1.0,3.0964,4.4776,0.6029,0.3553,3.1086,4.3759,0.588,0.3696,172.0,37.2
8,0.03,3.0,3.097,4.4848,0.6049,0.3529,3.0576,4.3235,0.6068,0.3847,181.0,38.3
