model_type,n_predictions,mae,rmse,spearman,r2
spline,4599,4.066909469631982,6.377466565644099,0.4285552314754024,-0.28553810445875727
xgb,4599,3.1663380501456677,4.655095411716375,0.562975652165279,0.31507069721522163
catboost,4599,3.1782841658967094,4.567788616665653,0.5769646451719,0.3405216102385301
rf,4599,3.1105218724529604,4.725444753546991,0.5979482885594094,0.29421251490434674
mlpe,4599,3.22336823318297,4.966425206167144,0.5644278813016141,0.2203918475089942
ftt,4599,3.1954387154796833,4.837898744933162,0.55382288170444,0.2602207900323008
tabnet,4599,3.588351140782019,5.719717354763219,0.48844716656544296,-0.03404088241081338
stack,4599,3.1358991314929785,4.644155276500565,0.580417977558541,0.31828627647160235
mean,4599,4.143103332679467,6.325792087738164,0.07719762447591776,-0.26478993380312454
pick_bin,4599,3.567995622501011,5.5607102077078805,0.5774072578213921,0.02265229259117363
