max_depth,min_samples_leaf,max_features,avg_mae,avg_rmse,avg_spearman,avg_r2,last_mae,last_rmse,last_spearman,last_r2,elapsed_s
10.0,20,0.7,3.0864,4.5828,0.609,0.3239,2.9833,4.2735,0.6248,0.3988,12.5
15.0,20,0.5,3.0887,4.5868,0.6082,0.3227,2.9737,4.256,0.627,0.4037,10.0
,20,0.7,3.0896,4.5843,0.607,0.3236,2.9889,4.2693,0.6254,0.4,14.3
20.0,20,0.7,3.0902,4.5867,0.608,0.3229,3.0031,4.2837,0.6209,0.3959,13.7
10.0,20,0.5,3.0903,4.5952,0.6078,0.3202,2.9725,4.2662,0.6266,0.4008,9.4
20.0,20,0.5,3.0904,4.5916,0.6078,0.3215,2.9862,4.2676,0.6216,0.4005,10.2
15.0,20,0.3,3.0906,4.5943,0.6074,0.3206,2.9824,4.2747,0.6234,0.3985,6.7
,20,0.5,3.0918,4.5922,0.6083,0.3212,2.987,4.2746,0.6242,0.3985,10.4
10.0,10,0.5,3.0926,4.5929,0.6068,0.3211,2.9887,4.256,0.6227,0.4037,10.0
15.0,20,0.7,3.0938,4.589,0.6061,0.3221,2.9789,4.2408,0.6245,0.408,13.5
10.0,20,0.3,3.0951,4.6035,0.6098,0.318,2.9779,4.3015,0.6291,0.3909,6.3
20.0,20,0.3,3.097,4.6022,0.608,0.3183,2.9869,4.2898,0.6214,0.3942,6.8
15.0,10,0.5,3.0971,4.5938,0.6045,0.3209,3.0069,4.2757,0.6209,0.3982,11.4
20.0,10,0.3,3.0976,4.5884,0.6078,0.3224,3.0091,4.289,0.6222,0.3944,7.5
,20,0.3,3.0978,4.6047,0.6083,0.3175,2.9825,4.2928,0.6241,0.3934,6.8
15.0,10,0.3,3.1003,4.5996,0.6084,0.3193,2.9925,4.2577,0.6248,0.4032,7.4
,10,0.5,3.1004,4.5936,0.6074,0.321,3.0265,4.2869,0.6257,0.395,12.0
,10,0.3,3.1011,4.5943,0.6078,0.3207,3.0004,4.2661,0.6243,0.4009,7.7
20.0,10,0.5,3.1029,4.6023,0.6038,0.3185,3.0129,4.2834,0.6194,0.396,11.6
10.0,10,0.3,3.1042,4.6127,0.607,0.3153,3.0017,4.2764,0.6226,0.398,6.5
,10,0.7,3.105,4.5927,0.6047,0.3213,3.0233,4.2877,0.6245,0.3948,16.3
15.0,10,0.7,3.1083,4.6009,0.6049,0.319,3.0149,4.2759,0.6158,0.3981,15.1
10.0,5,0.3,3.1096,4.6157,0.609,0.3146,3.0132,4.3092,0.6253,0.3887,6.8
10.0,5,0.7,3.1098,4.6215,0.6091,0.313,3.0466,4.3314,0.6209,0.3824,13.8
20.0,10,0.7,3.1103,4.6036,0.601,0.3183,3.0184,4.2837,0.6217,0.3959,15.8
10.0,10,0.7,3.1107,4.6129,0.6063,0.3153,3.0216,4.2969,0.6221,0.3922,13.3
10.0,5,0.5,3.1155,4.6244,0.6058,0.3121,3.0208,4.3107,0.622,0.3883,10.4
20.0,5,0.3,3.1175,4.6161,0.6039,0.3147,3.0485,4.3172,0.6182,0.3864,8.7
15.0,5,0.5,3.1195,4.6093,0.6027,0.3167,3.0697,4.3517,0.6171,0.3766,12.3
15.0,5,0.3,3.122,4.6221,0.6033,0.3129,3.0547,4.3378,0.622,0.3806,8.0
,5,0.3,3.1233,4.6126,0.6039,0.3156,3.0386,4.2996,0.6275,0.3914,8.9
20.0,5,0.5,3.1257,4.6155,0.6009,0.3148,3.0623,4.3278,0.6119,0.3834,13.0
,5,0.5,3.1303,4.6288,0.6006,0.311,3.0724,4.3351,0.6135,0.3814,13.7
15.0,5,0.7,3.1304,4.6294,0.6019,0.3108,3.0976,4.3699,0.6095,0.3714,16.5
20.0,5,0.7,3.1356,4.6352,0.6003,0.3091,3.0841,4.346,0.6093,0.3782,17.8
,5,0.7,3.139,4.6465,0.5988,0.3059,3.1023,4.3926,0.6072,0.3648,18.7
