max_depth,learning_rate,min_child_weight,reg_lambda,avg_mae,avg_rmse,avg_spearman,avg_r2,last_mae,last_rmse,last_spearman,last_r2,avg_best_iter,elapsed_s
6,0.02,1,3.0,3.0726,4.4618,0.6015,0.3591,2.9854,4.2536,0.5988,0.4044,269.0,15.8
6,0.02,3,3.0,3.0775,4.4743,0.6004,0.3556,3.0192,4.2959,0.5934,0.3925,264.0,15.4
6,0.05,3,10.0,3.0825,4.4882,0.6028,0.352,3.0307,4.3839,0.6067,0.3673,118.0,8.3
6,0.05,1,3.0,3.0829,4.4836,0.5985,0.3532,3.0396,4.3028,0.5854,0.3905,107.0,8.0
6,0.02,1,10.0,3.0844,4.473,0.5997,0.356,3.0302,4.3015,0.5909,0.3909,302.0,17.2
6,0.02,1,5.0,3.0848,4.4756,0.6013,0.3552,3.0259,4.2989,0.5943,0.3916,273.0,16.0
6,0.05,3,3.0,3.0854,4.4932,0.5997,0.3504,3.0402,4.3705,0.5933,0.3712,106.0,8.0
6,0.02,5,3.0,3.0858,4.4808,0.601,0.3539,3.0245,4.2933,0.5947,0.3932,257.0,14.9
6,0.02,3,10.0,3.0871,4.4717,0.6003,0.3562,3.0417,4.3067,0.5899,0.3894,306.0,17.1
6,0.05,1,5.0,3.0875,4.4794,0.5987,0.3543,3.0529,4.3642,0.5844,0.373,107.0,8.0
6,0.02,3,5.0,3.0877,4.4831,0.6013,0.3531,3.0371,4.3184,0.5921,0.3861,276.0,15.9
6,0.02,5,10.0,3.088,4.4674,0.6024,0.3576,3.0397,4.3057,0.5916,0.3897,283.0,16.2
4,0.02,1,3.0,3.0884,4.4454,0.5965,0.3638,3.0559,4.2671,0.5899,0.4006,372.0,17.4
4,0.02,1,10.0,3.0887,4.4464,0.5956,0.3635,3.0947,4.3284,0.5864,0.3832,432.0,19.5
3,0.1,3,10.0,3.0903,4.4348,0.589,0.3672,3.0258,4.2521,0.5965,0.4048,104.0,6.0
4,0.02,5,10.0,3.091,4.4481,0.5974,0.363,3.0732,4.2814,0.5914,0.3966,426.0,19.2
4,0.02,3,10.0,3.0923,4.448,0.5948,0.363,3.0837,4.3121,0.5864,0.3879,415.0,18.8
4,0.02,1,5.0,3.0925,4.4622,0.596,0.3591,3.0897,4.3451,0.5892,0.3785,420.0,19.0
3,0.02,1,5.0,3.0927,4.4542,0.5935,0.3616,3.0792,4.2977,0.59,0.392,514.0,20.5
3,0.02,3,10.0,3.0932,4.4437,0.5914,0.3646,3.0806,4.2985,0.5874,0.3917,543.0,21.5
6,0.05,1,10.0,3.094,4.4786,0.5991,0.3545,3.0179,4.3415,0.5933,0.3795,118.0,8.5
6,0.05,3,5.0,3.0946,4.4865,0.5992,0.3522,3.0838,4.419,0.5874,0.3571,105.0,7.8
4,0.02,5,5.0,3.0948,4.4516,0.5952,0.362,3.0581,4.2737,0.5887,0.3987,363.0,16.7
4,0.02,3,3.0,3.095,4.4644,0.5955,0.3584,3.0648,4.3132,0.5913,0.3876,388.0,17.7
3,0.02,5,5.0,3.095,4.4598,0.5927,0.3601,3.0611,4.2852,0.5906,0.3955,521.0,20.8
3,0.1,3,3.0,3.095,4.4537,0.5907,0.3619,3.0574,4.2617,0.5981,0.4021,99.0,5.7
3,0.02,3,5.0,3.0961,4.4591,0.5925,0.3602,3.0669,4.2903,0.59,0.3941,526.0,21.4
4,0.02,3,5.0,3.0967,4.4534,0.5953,0.3615,3.0738,4.2893,0.5875,0.3943,368.0,17.0
6,0.05,5,10.0,3.0971,4.5093,0.5973,0.346,3.0745,4.4084,0.5929,0.3602,128.0,8.8
4,0.05,5,3.0,3.0973,4.451,0.5968,0.3625,3.0923,4.3123,0.5837,0.3878,141.0,7.9
6,0.02,5,5.0,3.0976,4.494,0.6001,0.35,3.038,4.3052,0.5916,0.3898,266.0,15.3
3,0.05,3,10.0,3.0999,4.4536,0.5906,0.3619,3.0455,4.2631,0.5909,0.4017,201.0,9.4
3,0.02,1,3.0,3.0999,4.4716,0.5914,0.3567,3.0727,4.2903,0.5891,0.3941,502.0,20.1
3,0.02,3,3.0,3.1002,4.4668,0.5923,0.358,3.0756,4.2908,0.5902,0.3939,493.0,19.7
4,0.05,1,5.0,3.1003,4.4449,0.5959,0.3642,3.1071,4.33,0.5769,0.3828,145.0,8.2
4,0.05,5,10.0,3.1013,4.4403,0.5938,0.3649,3.1087,4.3311,0.5831,0.3825,166.0,8.8
3,0.02,1,10.0,3.1014,4.4579,0.5917,0.3606,3.0821,4.2987,0.5867,0.3917,555.0,21.8
4,0.05,5,5.0,3.1015,4.4596,0.5929,0.3596,3.097,4.3384,0.5772,0.3804,164.0,8.8
3,0.1,5,5.0,3.1016,4.4618,0.5891,0.3598,3.1046,4.29,0.5884,0.3941,104.0,5.9
3,0.1,1,5.0,3.102,4.4589,0.5904,0.3606,3.0689,4.2907,0.5945,0.394,112.0,6.3
3,0.05,1,10.0,3.102,4.4429,0.5874,0.3649,3.068,4.2638,0.5874,0.4015,213.0,9.8
3,0.02,5,10.0,3.1025,4.457,0.5915,0.3609,3.0759,4.3095,0.5887,0.3886,546.0,21.6
3,0.1,5,10.0,3.1031,4.4401,0.5863,0.3655,3.0717,4.2994,0.5896,0.3915,110.0,6.2
3,0.1,5,3.0,3.1033,4.4644,0.587,0.3588,3.0821,4.2957,0.5877,0.3925,98.0,5.6
3,0.02,5,3.0,3.1037,4.4708,0.5922,0.3569,3.0716,4.2887,0.593,0.3945,491.0,19.9
4,0.02,5,3.0,3.104,4.4671,0.5925,0.3576,3.061,4.2689,0.5901,0.4001,366.0,16.9
3,0.05,1,5.0,3.1041,4.4607,0.5874,0.3598,3.0679,4.3193,0.5797,0.3858,204.0,9.5
4,0.05,1,10.0,3.1047,4.4531,0.5935,0.3614,3.0965,4.3008,0.574,0.3911,157.0,8.6
4,0.05,3,10.0,3.1047,4.4601,0.5937,0.3595,3.113,4.3469,0.5799,0.378,160.0,8.7
3,0.05,5,10.0,3.1051,4.4567,0.5856,0.3609,3.0698,4.3016,0.5849,0.3909,219.0,9.9
3,0.05,3,5.0,3.1053,4.4633,0.5859,0.3592,3.0588,4.2732,0.5833,0.3989,227.0,10.2
6,0.1,1,3.0,3.1054,4.5181,0.5969,0.3431,3.0269,4.3164,0.5944,0.3867,53.0,5.3
4,0.05,1,3.0,3.1057,4.4692,0.5921,0.357,3.0706,4.2908,0.5845,0.3939,153.0,8.3
3,0.1,1,10.0,3.1059,4.4517,0.588,0.3622,3.0891,4.3212,0.5872,0.3853,109.0,6.1
6,0.05,5,5.0,3.1061,4.4981,0.5976,0.3489,3.0691,4.3854,0.5862,0.3669,117.0,8.3
4,0.05,3,3.0,3.1064,4.4586,0.5952,0.3603,3.0872,4.294,0.5826,0.393,140.0,7.9
6,0.1,3,10.0,3.1075,4.4893,0.5954,0.3506,3.1028,4.4073,0.5831,0.3605,55.0,5.4
6,0.1,1,5.0,3.1076,4.4975,0.5975,0.3488,3.0828,4.4536,0.5805,0.3471,50.0,5.3
6,0.05,5,3.0,3.108,4.5102,0.595,0.3456,3.0997,4.3942,0.5828,0.3644,106.0,7.7
3,0.1,3,5.0,3.1086,4.4706,0.5867,0.3572,3.0922,4.3074,0.5896,0.3892,103.0,5.9
3,0.1,1,3.0,3.1088,4.4793,0.5875,0.3544,3.0842,4.2801,0.5926,0.3969,96.0,5.7
4,0.05,3,5.0,3.1097,4.4662,0.5935,0.358,3.0802,4.286,0.5864,0.3953,155.0,8.5
3,0.05,5,5.0,3.1122,4.4729,0.589,0.3566,3.0473,4.294,0.5868,0.393,202.0,9.4
3,0.05,1,3.0,3.1134,4.472,0.5853,0.3566,3.0717,4.2962,0.5765,0.3924,217.0,9.9
4,0.1,3,10.0,3.1137,4.4673,0.5914,0.3575,3.1114,4.3778,0.577,0.3691,86.0,5.7
4,0.1,5,3.0,3.1157,4.4744,0.5846,0.3551,3.1598,4.4253,0.5669,0.3553,83.0,5.5
4,0.1,1,3.0,3.116,4.481,0.5915,0.3536,3.1183,4.4253,0.5696,0.3553,81.0,5.5
6,0.1,5,10.0,3.1176,4.513,0.5907,0.3444,3.1147,4.4646,0.5814,0.3438,58.0,5.5
3,0.05,5,3.0,3.1178,4.4738,0.5862,0.356,3.0584,4.2532,0.5879,0.4045,196.0,9.2
4,0.1,5,10.0,3.1179,4.4648,0.5928,0.3582,3.1408,4.3941,0.5737,0.3644,76.0,5.3
4,0.1,3,5.0,3.1194,4.47,0.5895,0.3568,3.0555,4.2984,0.5872,0.3918,77.0,5.4
4,0.1,1,10.0,3.1195,4.4635,0.5908,0.3583,3.1407,4.3856,0.5731,0.3668,79.0,5.6
3,0.05,3,3.0,3.1203,4.4867,0.5833,0.3524,3.0703,4.3266,0.5806,0.3838,216.0,9.9
4,0.1,1,5.0,3.1223,4.4769,0.5943,0.3549,3.0847,4.3243,0.5887,0.3844,75.0,5.3
6,0.1,1,10.0,3.1237,4.5145,0.5958,0.3441,3.102,4.3774,0.5772,0.3692,57.0,5.6
6,0.1,3,3.0,3.1265,4.529,0.5924,0.3399,3.1103,4.4373,0.5839,0.3518,52.0,5.2
4,0.1,3,3.0,3.1283,4.4882,0.5887,0.3514,3.1372,4.4085,0.5718,0.3602,73.0,5.2
4,0.1,5,5.0,3.1291,4.4802,0.5886,0.3537,3.136,4.4013,0.5725,0.3623,75.0,5.3
6,0.1,3,5.0,3.1301,4.5211,0.5916,0.3425,3.1751,4.5431,0.5744,0.3206,51.0,5.2
6,0.1,5,3.0,3.1346,4.5389,0.5924,0.3373,3.091,4.4246,0.579,0.3555,51.0,5.2
6,0.1,5,5.0,3.1391,4.5543,0.5929,0.3328,3.1234,4.492,0.5807,0.3358,49.0,5.1
