pick_min,pick_max,pick_center,n_players,mean_av_2yr,median_av_2yr,rolling_mean_av_2yr
1,16,8.5,416,13.600961538461538,13.0,11.719951923076923
17,32,24.5,416,9.838942307692308,9.0,10.647435897435898
33,48,40.5,416,8.502403846153847,8.0,8.524038461538462
49,64,56.5,416,7.230769230769231,6.0,7.228365384615384
65,80,72.5,416,5.951923076923077,5.0,6.003205128205128
81,96,88.5,416,4.826923076923077,4.0,5.017628205128205
97,112,104.5,416,4.274038461538462,3.0,4.2451923076923075
113,128,120.5,416,3.6346153846153846,2.0,3.681089743589743
129,144,136.5,416,3.1346153846153846,2.0,3.2179487179487176
145,160,152.5,416,2.8846153846153846,2.0,2.861378205128205
161,176,168.5,416,2.5649038461538463,1.0,2.5128205128205128
177,192,184.5,416,2.0889423076923075,1.0,2.125801282051282
193,208,200.5,416,1.7235576923076923,1.0,1.8629807692307692
209,224,216.5,416,1.7764423076923077,1.0,1.6594551282051284
225,240,232.5,416,1.4783653846153846,0.0,1.5539075286415711
241,256,248.0,376,1.4069148936170213,0.0,1.5728712038552464
257,262,259.0,24,1.8333333333333333,0.5,1.6201241134751772
