model,model_key,test_year,n_train,n_test,prediction_clip_upper,n_predictions_clipped,mae,rmse,r2,spearman
Pick-Bin Baseline,pick_bin,2010,2804,255,,0,2.959872077173115,4.117760830641519,0.36985860142617333,0.5720268548067562
XGBoost,xgboost,2010,2804,255,41.0,0,2.9591379338619754,4.099485892506895,0.375439421467477,0.6112798381448203
CatBoost,catboost,2010,2804,255,41.0,0,2.9912650018148774,4.0862738099352836,0.3794586809678434,0.6133440937301525
MLP Neural Net,mlp,2010,2804,255,41.0,103,4.029389527652313,6.155606640016143,-0.40817780565019546,-0.027402119956301884
Spline Ridge,spline,2010,2804,255,41.0,45,8.372476897956213,14.885798319578225,-7.234932382571877,0.3565527958520587
Pick-Bin Baseline,pick_bin,2011,3059,254,,0,3.1515865204349454,4.754352442085061,0.41935512292515353,0.6124919107799524
XGBoost,xgboost,2011,3059,254,41.0,0,3.364623957731592,5.000234074217359,0.35774347785561156,0.5977433107904904
CatBoost,catboost,2011,3059,254,41.0,0,3.308015824076402,4.939977696986423,0.3731295054430813,0.6203272746628239
MLP Neural Net,mlp,2011,3059,254,41.0,6,3.584706081819109,5.9821191804210505,0.08074082132840077,0.4436053176527909
Spline Ridge,spline,2011,3059,254,41.0,0,3.2188430723297223,5.219226101811279,0.3002545627615495,0.5620984426073453
Pick-Bin Baseline,pick_bin,2012,3313,253,,0,3.100714502888416,4.474262161327664,0.4042023149171684,0.6060817603890728
XGBoost,xgboost,2012,3313,253,41.0,0,3.2107832526029805,4.500160296694897,0.39728510487853597,0.5895945741952416
CatBoost,catboost,2012,3313,253,41.0,0,3.1845443492295167,4.509868350401625,0.39468186433701213,0.6228447021023613
MLP Neural Net,mlp,2012,3313,253,41.0,8,3.6070374730270123,5.667577296928996,0.04401547776968873,0.44524790532977154
Spline Ridge,spline,2012,3313,253,41.0,3,3.282723060757781,5.100799668857621,0.22565857846526727,0.6137143237663315
Pick-Bin Baseline,pick_bin,2013,3566,254,,0,2.9663286680511094,4.208278877897919,0.3596949596521495,0.6306204785932188
XGBoost,xgboost,2013,3566,254,41.0,0,3.0806421651614935,4.2272740581762775,0.3539015415672252,0.6168829595830294
CatBoost,catboost,2013,3566,254,41.0,0,3.0334813337694215,4.147226891528936,0.3781387610842275,0.6332310373626383
MLP Neural Net,mlp,2013,3566,254,41.0,6,3.1302573189895404,4.615632438173167,0.22973470701552456,0.5712463551889613
Spline Ridge,spline,2013,3566,254,41.0,4,2.9956674888868142,4.507674931832707,0.26534561499377884,0.6295005714101577
Pick-Bin Baseline,pick_bin,2014,3820,256,,0,3.279379111842106,4.509060031889831,0.36972313023842707,0.610633051037979
XGBoost,xgboost,2014,3820,256,41.0,0,3.282716006040573,4.460980508767473,0.3830925910328665,0.597127004338921
CatBoost,catboost,2014,3820,256,41.0,0,3.2877771972047176,4.390589734493883,0.4024076214828983,0.6240652276319663
MLP Neural Net,mlp,2014,3820,256,41.0,6,3.492007128640193,5.22505295083071,0.15366806887562146,0.5051147140033375
Spline Ridge,spline,2014,3820,256,41.0,6,3.309540378073694,4.910908389819883,0.2523764035784464,0.5600823256657218
Pick-Bin Baseline,pick_bin,2015,4076,256,,0,3.0761406792534722,4.320806057048131,0.3638811216236425,0.6271101587445757
XGBoost,xgboost,2015,4076,256,41.0,0,3.0540186525322497,4.155377880620999,0.4116580905048638,0.6499515215286408
CatBoost,catboost,2015,4076,256,41.0,0,3.0584908987971984,4.1762855084518336,0.4057227558004127,0.6592247827306542
MLP Neural Net,mlp,2015,4076,256,41.0,6,3.1213350145439374,4.712902847817806,0.2431920023236951,0.6582449583968867
