Year,Model,N Test,MAE,RMSE,Spearman,R2
2007,Pick-Bin Baseline,255,3.43,5.49,0.51,-0.08
2007,XGBoost,255,2.9,4.39,0.49,0.31
2007,Random Forest,255,2.75,4.09,0.58,0.4
2007,FT-Transformer,255,3.22,4.97,0.46,0.12
2007,Spline Ridge,255,3.76,6.14,0.42,-0.35
2008,Pick-Bin Baseline,252,3.55,5.92,0.57,-0.06
2008,XGBoost,252,3.35,5.06,0.45,0.22
2008,Random Forest,252,3.01,4.84,0.6,0.29
2008,FT-Transformer,252,3.98,6.09,0.06,-0.12
2008,Spline Ridge,252,4.0,6.65,0.47,-0.34
2009,Pick-Bin Baseline,256,3.38,5.33,0.55,-0.05
2009,XGBoost,256,3.01,4.39,0.56,0.29
2009,Random Forest,256,2.84,4.28,0.6,0.32
2009,FT-Transformer,256,3.55,5.02,0.43,0.06
2009,Spline Ridge,256,3.79,6.04,0.49,-0.35
2010,Pick-Bin Baseline,255,3.5,5.41,0.55,-0.04
2010,XGBoost,255,3.08,4.47,0.53,0.29
2010,Random Forest,255,3.0,4.49,0.57,0.28
2010,FT-Transformer,255,3.32,4.95,0.55,0.12
2010,Spline Ridge,255,3.71,5.43,0.28,-0.05
2011,Pick-Bin Baseline,254,3.71,6.33,0.6,-0.0
2011,XGBoost,254,3.38,5.26,0.57,0.31
2011,Random Forest,254,3.28,5.35,0.59,0.28
2011,FT-Transformer,254,3.59,5.88,0.56,0.13
2011,Spline Ridge,254,3.98,6.64,0.34,-0.1
2012,Pick-Bin Baseline,253,3.67,5.89,0.59,-0.01
2012,XGBoost,253,3.3,5.03,0.54,0.26
2012,Random Forest,253,3.11,4.94,0.63,0.29
2012,FT-Transformer,253,3.37,5.27,0.58,0.19
2012,Spline Ridge,253,3.89,6.18,0.41,-0.11
2013,Pick-Bin Baseline,254,3.52,5.38,0.63,-0.01
2013,XGBoost,254,3.09,4.34,0.58,0.34
2013,Random Forest,254,3.05,4.61,0.64,0.26
2013,FT-Transformer,254,3.16,4.71,0.6,0.23
2013,Spline Ridge,254,3.73,5.76,0.33,-0.16
2014,Pick-Bin Baseline,256,3.63,5.72,0.62,0.03
2014,XGBoost,256,3.36,4.74,0.59,0.33
2014,Random Forest,256,3.27,4.89,0.62,0.29
2014,FT-Transformer,256,3.42,4.98,0.59,0.26
2014,Spline Ridge,256,3.92,6.13,0.29,-0.11
2015,Pick-Bin Baseline,256,3.52,5.44,0.58,0.04
2015,XGBoost,256,3.23,4.59,0.58,0.31
2015,Random Forest,256,3.16,4.69,0.6,0.28
2015,FT-Transformer,256,3.16,4.73,0.59,0.27
2015,Spline Ridge,256,3.91,5.89,0.25,-0.13
2016,Pick-Bin Baseline,253,3.78,5.75,0.5,-0.04
2016,XGBoost,253,3.36,5.0,0.5,0.22
2016,Random Forest,253,3.41,5.18,0.5,0.16
2016,FT-Transformer,253,3.56,5.36,0.48,0.1
2016,Spline Ridge,253,4.05,6.07,0.32,-0.15
2017,Pick-Bin Baseline,253,3.77,5.88,0.54,-0.01
2017,XGBoost,253,3.5,5.11,0.53,0.24
2017,Random Forest,253,3.4,5.2,0.58,0.21
2017,FT-Transformer,253,3.47,5.15,0.55,0.22
2017,Spline Ridge,253,3.93,6.08,0.4,-0.08
2018,Pick-Bin Baseline,256,3.61,5.56,0.67,0.07
2018,XGBoost,256,3.01,4.56,0.69,0.38
2018,Random Forest,256,2.92,4.55,0.71,0.38
2018,FT-Transformer,256,3.09,4.7,0.68,0.34
2018,Spline Ridge,256,3.72,5.66,0.51,0.04
2019,Pick-Bin Baseline,254,3.52,5.17,0.6,0.06
2019,XGBoost,254,3.0,4.27,0.62,0.36
2019,Random Forest,254,2.98,4.3,0.61,0.35
2019,FT-Transformer,254,3.13,4.5,0.61,0.29
2019,Spline Ridge,254,3.58,5.24,0.47,0.03
2020,Pick-Bin Baseline,255,3.72,5.69,0.55,0.03
2020,XGBoost,255,3.12,4.74,0.58,0.33
2020,Random Forest,255,3.25,4.99,0.57,0.25
2020,FT-Transformer,255,3.38,5.08,0.55,0.23
2020,Spline Ridge,255,3.81,5.77,0.42,0.0
2021,Pick-Bin Baseline,259,3.48,5.48,0.55,0.1
2021,XGBoost,259,3.3,4.74,0.53,0.33
2021,Random Forest,259,3.2,4.8,0.55,0.31
2021,FT-Transformer,259,3.18,4.72,0.56,0.34
2021,Spline Ridge,259,3.76,5.88,0.33,-0.03
2022,Pick-Bin Baseline,262,3.7,5.53,0.54,-0.02
2022,XGBoost,262,3.35,4.8,0.52,0.23
2022,Random Forest,262,3.35,4.93,0.55,0.19
2022,FT-Transformer,262,3.53,5.18,0.52,0.11
2022,Spline Ridge,262,3.9,5.65,0.38,-0.06
2023,Pick-Bin Baseline,259,3.34,4.96,0.63,0.14
2023,XGBoost,259,2.78,3.93,0.68,0.46
2023,Random Forest,259,2.89,4.16,0.65,0.4
2023,FT-Transformer,259,2.99,4.42,0.64,0.32
2023,Spline Ridge,259,3.56,5.24,0.48,0.05
2024,Pick-Bin Baseline,257,3.4,4.99,0.61,0.18
2024,XGBoost,257,3.02,4.23,0.6,0.41
2024,Random Forest,257,2.96,4.2,0.63,0.42
2024,FT-Transformer,257,3.15,4.53,0.6,0.32
2024,Spline Ridge,257,3.61,5.23,0.52,0.1
