Year,Metric,Pick-Bin Baseline,XGBoost,Random Forest,FT-Transformer,Spline Ridge
2007,MAE,3.43,2.9,2.75,3.22,3.76
2007,RMSE,5.49,4.39,4.09,4.97,6.14
2007,Spearman,0.51,0.49,0.58,0.46,0.42
2007,R2,-0.08,0.31,0.4,0.12,-0.35
2011,MAE,3.71,3.38,3.28,3.59,3.98
2011,RMSE,6.33,5.26,5.35,5.88,6.64
2011,Spearman,0.6,0.57,0.59,0.56,0.34
2011,R2,-0.0,0.31,0.28,0.13,-0.1
2015,MAE,3.52,3.23,3.16,3.16,3.91
2015,RMSE,5.44,4.59,4.69,4.73,5.89
2015,Spearman,0.58,0.58,0.6,0.59,0.25
2015,R2,0.04,0.31,0.28,0.27,-0.13
2019,MAE,3.52,3.0,2.98,3.13,3.58
2019,RMSE,5.17,4.27,4.3,4.5,5.24
2019,Spearman,0.6,0.62,0.61,0.61,0.47
2019,R2,0.06,0.36,0.35,0.29,0.03
2024,MAE,3.4,3.02,2.96,3.15,3.61
2024,RMSE,4.99,4.23,4.2,4.53,5.23
2024,Spearman,0.61,0.6,0.63,0.6,0.52
2024,R2,0.18,0.41,0.42,0.32,0.1
