Year,Metric,Pick-Bin Baseline,XGBoost,Random Forest,FT-Transformer,Spline Ridge
2007,MAE,3.43,2.9,2.75,3.22,3.76
2007,RMSE,5.49,4.39,4.09,4.97,6.14
2007,Spearman,0.51,0.49,0.58,0.46,0.42
2007,R2,-0.08,0.31,0.4,0.12,-0.35
2008,MAE,3.55,3.35,3.01,3.98,4.0
2008,RMSE,5.92,5.06,4.84,6.09,6.65
2008,Spearman,0.57,0.45,0.6,0.06,0.47
2008,R2,-0.06,0.22,0.29,-0.12,-0.34
2009,MAE,3.38,3.01,2.84,3.55,3.79
2009,RMSE,5.33,4.39,4.28,5.02,6.04
2009,Spearman,0.55,0.56,0.6,0.43,0.49
2009,R2,-0.05,0.29,0.32,0.06,-0.35
2010,MAE,3.5,3.08,3.0,3.32,3.71
2010,RMSE,5.41,4.47,4.49,4.95,5.43
2010,Spearman,0.55,0.53,0.57,0.55,0.28
2010,R2,-0.04,0.29,0.28,0.12,-0.05
2011,MAE,3.71,3.38,3.28,3.59,3.98
2011,RMSE,6.33,5.26,5.35,5.88,6.64
2011,Spearman,0.6,0.57,0.59,0.56,0.34
2011,R2,-0.0,0.31,0.28,0.13,-0.1
2012,MAE,3.67,3.3,3.11,3.37,3.89
2012,RMSE,5.89,5.03,4.94,5.27,6.18
2012,Spearman,0.59,0.54,0.63,0.58,0.41
2012,R2,-0.01,0.26,0.29,0.19,-0.11
2013,MAE,3.52,3.09,3.05,3.16,3.73
2013,RMSE,5.38,4.34,4.61,4.71,5.76
2013,Spearman,0.63,0.58,0.64,0.6,0.33
2013,R2,-0.01,0.34,0.26,0.23,-0.16
2014,MAE,3.63,3.36,3.27,3.42,3.92
2014,RMSE,5.72,4.74,4.89,4.98,6.13
2014,Spearman,0.62,0.59,0.62,0.59,0.29
2014,R2,0.03,0.33,0.29,0.26,-0.11
2015,MAE,3.52,3.23,3.16,3.16,3.91
2015,RMSE,5.44,4.59,4.69,4.73,5.89
2015,Spearman,0.58,0.58,0.6,0.59,0.25
2015,R2,0.04,0.31,0.28,0.27,-0.13
2016,MAE,3.78,3.36,3.41,3.56,4.05
2016,RMSE,5.75,5.0,5.18,5.36,6.07
2016,Spearman,0.5,0.5,0.5,0.48,0.32
2016,R2,-0.04,0.22,0.16,0.1,-0.15
2017,MAE,3.77,3.5,3.4,3.47,3.93
2017,RMSE,5.88,5.11,5.2,5.15,6.08
2017,Spearman,0.54,0.53,0.58,0.55,0.4
2017,R2,-0.01,0.24,0.21,0.22,-0.08
2018,MAE,3.61,3.01,2.92,3.09,3.72
2018,RMSE,5.56,4.56,4.55,4.7,5.66
2018,Spearman,0.67,0.69,0.71,0.68,0.51
2018,R2,0.07,0.38,0.38,0.34,0.04
2019,MAE,3.52,3.0,2.98,3.13,3.58
2019,RMSE,5.17,4.27,4.3,4.5,5.24
2019,Spearman,0.6,0.62,0.61,0.61,0.47
2019,R2,0.06,0.36,0.35,0.29,0.03
2020,MAE,3.72,3.12,3.25,3.38,3.81
2020,RMSE,5.69,4.74,4.99,5.08,5.77
2020,Spearman,0.55,0.58,0.57,0.55,0.42
2020,R2,0.03,0.33,0.25,0.23,0.0
2021,MAE,3.48,3.3,3.2,3.18,3.76
2021,RMSE,5.48,4.74,4.8,4.72,5.88
2021,Spearman,0.55,0.53,0.55,0.56,0.33
2021,R2,0.1,0.33,0.31,0.34,-0.03
2022,MAE,3.7,3.35,3.35,3.53,3.9
2022,RMSE,5.53,4.8,4.93,5.18,5.65
2022,Spearman,0.54,0.52,0.55,0.52,0.38
2022,R2,-0.02,0.23,0.19,0.11,-0.06
2023,MAE,3.34,2.78,2.89,2.99,3.56
2023,RMSE,4.96,3.93,4.16,4.42,5.24
2023,Spearman,0.63,0.68,0.65,0.64,0.48
2023,R2,0.14,0.46,0.4,0.32,0.05
2024,MAE,3.4,3.02,2.96,3.15,3.61
2024,RMSE,4.99,4.23,4.2,4.53,5.23
2024,Spearman,0.61,0.6,0.63,0.6,0.52
2024,R2,0.18,0.41,0.42,0.32,0.1
