model_type,model,pick_bin_start,pick_bin_end,n,actual_mean_av,predicted_mean_av,mae,rmse,spearman,r2
catboost,CatBoost,1,16,288,13.802083333333334,10.976751558898748,5.884885048872617,7.827580921244617,0.10483514011887912,-0.19023265881434748
catboost,CatBoost,17,32,288,10.041666666666666,8.732163916442111,4.839129298719087,6.253448332459452,0.059895286655995285,-0.11625129307310478
catboost,CatBoost,33,48,288,8.288194444444445,7.810689896825746,4.460722239507082,5.655835592195401,0.1061010292799269,-0.04724309705975016
catboost,CatBoost,49,64,288,7.149305555555555,6.746381596332274,4.2128383249385415,5.55010904809423,0.2706788865395721,0.04961243672766691
catboost,CatBoost,65,80,288,6.097222222222222,5.059276203134969,4.1018368277811135,5.321769079609687,0.10892386043662552,-0.032041813119729534
catboost,CatBoost,81,96,288,5.197916666666667,4.200949505574607,3.6806331351079544,5.0216020043688685,0.010827488822499131,-0.07786454678017751
catboost,CatBoost,97,112,288,4.038194444444445,3.7728326746257483,2.9498416750380665,3.9412018340717725,0.2672857026468832,0.06462101288043887
catboost,CatBoost,113,128,288,3.25,3.3911933510022645,2.7304921716596646,3.614826018553461,0.10335390944441857,-0.014910069468820453
catboost,CatBoost,129,144,288,3.0069444444444446,2.9032354363834054,2.8610480250784582,4.038092192716156,0.0625488761349586,-0.06393227938768975
catboost,CatBoost,145,160,288,3.0868055555555554,2.2684400845466337,2.87180372348731,4.064576758197346,-0.03220994583552076,-0.07529238539113203
catboost,CatBoost,161,176,288,2.8020833333333335,2.1356891068240547,2.6407496200209257,3.961258309800674,0.12934595948189087,-0.01743754269130382
catboost,CatBoost,177,192,288,1.96875,1.8049825817745626,2.0551983662282756,3.0926191888877033,0.18584203831127352,0.024161896089288648
catboost,CatBoost,193,208,288,1.6145833333333333,1.6945810315690923,1.9067636714243972,2.6877170330335,0.07827257689095643,-0.010806543620117903
catboost,CatBoost,209,224,288,1.5972222222222223,1.6617050026112044,1.8630471709491165,2.527957664986099,0.23052281628367793,0.03400744564202207
catboost,CatBoost,225,240,288,1.375,1.5964004353860812,1.7546552520795464,2.4210836339126534,0.20313840152383209,0.02728087745830421
catboost,CatBoost,241,256,266,1.3421052631578947,1.5503600503431154,1.75323573809139,2.4701980467443834,0.1371336688543035,-0.011990528943717882
catboost,CatBoost,257,272,13,2.3846153846153846,1.3739151639990428,2.8534678246881624,6.597503576718033,-0.3628211599937276,-0.0985770657366225
ftt,FT-Transformer,1,16,288,13.802083333333334,7.0213809192387595,7.905085307338999,9.961354034201715,0.07538645390051044,-0.9275847498506979
ftt,FT-Transformer,17,32,288,10.041666666666666,6.788152229351302,5.59694847309341,7.216430990682075,-0.0281943786028442,-0.48650977333501966
ftt,FT-Transformer,33,48,288,8.288194444444445,5.415350451961988,4.813853484164509,6.2133160750577305,0.1793856390052189,-0.26386546562328195
ftt,FT-Transformer,49,64,288,7.149305555555555,5.376345678827622,4.3425435501202525,5.868500460085978,0.2388344449481195,-0.06255641612003204
ftt,FT-Transformer,65,80,288,6.097222222222222,3.9789952990185053,4.374128888723337,5.641795119406391,0.0753862660965073,-0.1598981691559107
ftt,FT-Transformer,81,96,288,5.197916666666667,3.897513021223454,3.740721291784818,5.088647999902746,0.07368006752177507,-0.10683893988173598
ftt,FT-Transformer,97,112,288,4.038194444444445,3.1913556549180715,3.0405872887931764,4.16670145607598,0.1077768204192304,-0.045478306716508765
ftt,FT-Transformer,113,128,288,3.25,3.042500570649281,2.7318405426469528,3.689164868939229,0.06304309034311877,-0.057082518851681474
ftt,FT-Transformer,129,144,288,3.0069444444444446,2.3048615597266084,2.7846691319589607,4.133756216197037,0.025076661130354772,-0.11493936028405405
ftt,FT-Transformer,145,160,288,3.0868055555555554,1.7016919491967808,2.875002282852721,4.226195916547704,-0.0641401835346852,-0.16250589420880912
ftt,FT-Transformer,161,176,288,2.8020833333333335,1.597498868074682,2.6172232875186534,4.118977048931007,0.09906594015777073,-0.10006963311908734
ftt,FT-Transformer,177,192,288,1.96875,1.2139492293483474,1.9394414902845811,3.2154465095655755,0.1726287830361716,-0.054890687105367375
ftt,FT-Transformer,193,208,288,1.6145833333333333,1.0603221842449986,1.726325080755891,2.7411982909931325,0.1297769602160459,-0.05143362643867522
ftt,FT-Transformer,209,224,288,1.5972222222222223,1.0704166573575802,1.776483420851744,2.6898610270173413,0.11988816163064445,-0.09368906705795665
ftt,FT-Transformer,225,240,288,1.375,1.0569507946234404,1.5886725242016837,2.512276522950978,0.10251534371286951,-0.04737631714085233
ftt,FT-Transformer,241,256,266,1.3421052631578947,0.9836117519079742,1.578435475244782,2.505779441059562,0.09551788270039896,-0.041354464993343276
ftt,FT-Transformer,257,272,13,2.3846153846153846,0.7507473620084616,2.5848485162624946,6.584920330880355,-0.29341189460362327,-0.09439048747356726
pick_bin,Pick-Bin Baseline,1,16,288,13.802083333333334,5.995162526312985,8.48040122072115,10.644944674148675,0.03946813560147668,-1.2012204952503658
pick_bin,Pick-Bin Baseline,17,32,288,10.041666666666666,4.221792029618637,6.619194643915964,8.357131524985487,0.014340011656108018,-0.9935967520552056
pick_bin,Pick-Bin Baseline,33,48,288,8.288194444444445,3.7235955299825108,5.605780517232008,7.186668868544309,0.028955427907886085,-0.6908661225725414
pick_bin,Pick-Bin Baseline,49,64,288,7.149305555555555,3.06920948942193,5.097017945673342,6.966196822927611,0.18571296781110422,-0.4972323213866887
pick_bin,Pick-Bin Baseline,65,80,288,6.097222222222222,2.450256152254011,4.7079608711979795,6.368620951149392,0.09231864609492381,-0.4780054782886711
pick_bin,Pick-Bin Baseline,81,96,288,5.197916666666667,1.858256142256251,4.147205803716243,5.886476484509294,0.05462586552788817,-0.48112064724757175
pick_bin,Pick-Bin Baseline,97,112,288,4.038194444444445,1.7944834354643535,3.1951543258322976,4.636132342131705,0.16832115396641398,-0.2943207287216387
pick_bin,Pick-Bin Baseline,113,128,288,3.25,1.5827710882208028,2.7103117402509347,3.940936858109995,0.12956223928012803,-0.2062899665716409
pick_bin,Pick-Bin Baseline,129,144,288,3.0069444444444446,1.2324684427149974,2.7168617569278344,4.294087135495383,0.1445036495900845,-0.20310416765325479
pick_bin,Pick-Bin Baseline,145,160,288,3.0868055555555554,1.0412257078766087,2.8064912307317322,4.400192045923363,0.19224182439010012,-0.26019912783942867
pick_bin,Pick-Bin Baseline,161,176,288,2.8020833333333335,0.8899723651356793,2.6230286570859027,4.35920375266283,0.1218799014319317,-0.2321278376489171
pick_bin,Pick-Bin Baseline,177,192,288,1.96875,0.746488709145195,1.946026090846425,3.339850844296132,0.14334333352174874,-0.13809633166532387
pick_bin,Pick-Bin Baseline,193,208,288,1.6145833333333333,0.6395462852890614,1.6703063093676374,2.8422167968741627,0.08800139918776533,-0.13035630458855918
pick_bin,Pick-Bin Baseline,209,224,288,1.5972222222222223,0.7044912902553606,1.6820232699263218,2.7194128784837712,0.0836012341610469,-0.11785245652692833
pick_bin,Pick-Bin Baseline,225,240,288,1.375,0.6010955629260817,1.4940931871812917,2.572653071778107,0.043754557504137294,-0.09832360840452137
pick_bin,Pick-Bin Baseline,241,256,266,1.3421052631578947,0.5743696887581516,1.4785577594969914,2.575351158160572,0.0635251100627979,-0.09998258660601222
pick_bin,Pick-Bin Baseline,257,272,13,2.3846153846153846,0.0772574658659734,2.4138864247011327,6.713656520745137,-0.24525383261582276,-0.1375997723228619
rf,Random Forest,1,16,288,13.802083333333334,10.917624048828282,5.750943498488675,7.699468395040264,0.12917834460231942,-0.15159086685577927
rf,Random Forest,17,32,288,10.041666666666666,7.686366941534175,4.931053741755057,6.3544600267021,0.13800273957954445,-0.15260406586203445
rf,Random Forest,33,48,288,8.288194444444445,5.860044116076874,4.639911605686452,5.977069631608553,0.20017515121765025,-0.16958175214933857
rf,Random Forest,49,64,288,7.149305555555555,5.042793870369492,4.427874539057402,5.983125265021173,0.20374228675927644,-0.10446994714660884
rf,Random Forest,65,80,288,6.097222222222222,3.844668709462738,4.291892493482882,5.658249391297126,0.14853771810001484,-0.16667371151637878
rf,Random Forest,81,96,288,5.197916666666667,2.9021343041586403,3.801539948675131,5.392984050790811,0.051101645289213946,-0.24319106789077694
