model_type,pick_bin_start,pick,actual_av,predicted_av,n
ftt,1,8.5,13.802083333333334,7.0213809192387595,288
ftt,17,24.5,10.041666666666666,6.788152229351302,288
ftt,33,40.5,8.288194444444445,5.415350451961988,288
ftt,49,56.5,7.149305555555555,5.376345678827622,288
ftt,65,72.5,6.097222222222222,3.9789952990185053,288
ftt,81,88.5,5.197916666666667,3.897513021223454,288
ftt,97,104.5,4.038194444444445,3.1913556549180715,288
ftt,113,120.5,3.25,3.042500570649281,288
ftt,129,136.5,3.0069444444444446,2.3048615597266084,288
ftt,145,152.5,3.0868055555555554,1.7016919491967808,288
ftt,161,168.5,2.8020833333333335,1.597498868074682,288
ftt,177,184.5,1.96875,1.2139492293483474,288
ftt,193,200.5,1.6145833333333333,1.0603221842449986,288
ftt,209,216.5,1.5972222222222223,1.0704166573575802,288
ftt,225,232.5,1.375,1.0569507946234404,288
ftt,241,247.94736842105263,1.3421052631578947,0.9836117519079742,266
ftt,257,258.61538461538464,2.3846153846153846,0.7507473620084616,13
pick_bin,1,8.5,13.802083333333334,5.995162526312985,288
pick_bin,17,24.5,10.041666666666666,4.221792029618637,288
pick_bin,33,40.5,8.288194444444445,3.7235955299825108,288
pick_bin,49,56.5,7.149305555555555,3.06920948942193,288
pick_bin,65,72.5,6.097222222222222,2.4502561522540107,288
pick_bin,81,88.5,5.197916666666667,1.858256142256251,288
pick_bin,97,104.5,4.038194444444445,1.7944834354643535,288
pick_bin,113,120.5,3.25,1.5827710882208028,288
pick_bin,129,136.5,3.0069444444444446,1.2324684427149974,288
pick_bin,145,152.5,3.0868055555555554,1.041225707876609,288
pick_bin,161,168.5,2.8020833333333335,0.8899723651356793,288
pick_bin,177,184.5,1.96875,0.746488709145195,288
pick_bin,193,200.5,1.6145833333333333,0.6395462852890614,288
pick_bin,209,216.5,1.5972222222222223,0.7044912902553606,288
pick_bin,225,232.5,1.375,0.6010955629260817,288
pick_bin,241,247.94736842105263,1.3421052631578947,0.5743696887581516,266
pick_bin,257,258.61538461538464,2.3846153846153846,0.0772574658659734,13
rf,1,8.5,13.802083333333334,10.917624048828284,288
rf,17,24.5,10.041666666666666,7.686366941534175,288
rf,33,40.5,8.288194444444445,5.860044116076874,288
rf,49,56.5,7.149305555555555,5.042793870369492,288
rf,65,72.5,6.097222222222222,3.844668709462738,288
rf,81,88.5,5.197916666666667,2.9021343041586403,288
rf,97,104.5,4.038194444444445,2.578857087396041,288
rf,113,120.5,3.25,2.2822076415086987,288
rf,129,136.5,3.0069444444444446,1.8370087182911676,288
rf,145,152.5,3.0868055555555554,1.4889833291132413,288
rf,161,168.5,2.8020833333333335,1.3601062448987324,288
rf,177,184.5,1.96875,1.0896134562744506,288
rf,193,200.5,1.6145833333333333,0.9384921748219376,288
rf,209,216.5,1.5972222222222223,0.9008701486092464,288
rf,225,232.5,1.375,0.8000909428301634,288
rf,241,247.94736842105263,1.3421052631578947,0.7996684149655241,266
rf,257,258.61538461538464,2.3846153846153846,0.8169015973755237,13
spline,1,8.5,13.802083333333334,4.000787217247478,288
spline,17,24.5,10.041666666666666,3.7462382922978006,288
spline,33,40.5,8.288194444444445,2.9178163225453915,288
spline,49,56.5,7.149305555555555,2.7410425531784375,288
spline,65,72.5,6.097222222222222,2.274117105492562,288
spline,81,88.5,5.197916666666667,2.0865132396228683,288
spline,97,104.5,4.038194444444445,1.9075051017624662,288
spline,113,120.5,3.25,1.7412246775797138,288
spline,129,136.5,3.0069444444444446,1.6830440986018596,288
spline,145,152.5,3.0868055555555554,1.4699409624620268,288
spline,161,168.5,2.8020833333333335,1.5030960621358378,288
spline,177,184.5,1.96875,1.3888967362367497,288
spline,193,200.5,1.6145833333333333,1.325884653221093,288
spline,209,216.5,1.5972222222222223,1.2913889489319488,288
spline,225,232.5,1.375,1.2208852378138986,288
spline,241,247.94736842105263,1.3421052631578947,1.5035653857710205,266
spline,257,258.61538461538464,2.3846153846153846,2.117404217029894,13
xgb,1,8.5,13.802083333333334,10.205448936325006,288
xgb,17,24.5,10.041666666666666,8.405814209125108,288
xgb,33,40.5,8.288194444444445,7.192524610035536,288
xgb,49,56.5,7.149305555555555,6.345353418689531,288
xgb,65,72.5,6.097222222222222,4.817759473239777,288
xgb,81,88.5,5.197916666666667,4.112049163435586,288
xgb,97,104.5,4.038194444444445,3.499140243125213,288
xgb,113,120.5,3.25,3.1800888376997642,288
xgb,129,136.5,3.0069444444444446,2.690104436210984,288
xgb,145,152.5,3.0868055555555554,2.2650608852588143,288
xgb,161,168.5,2.8020833333333335,1.9897724202760907,288
xgb,177,184.5,1.96875,1.70308529861197,288
xgb,193,200.5,1.6145833333333333,1.4937143520558795,288
xgb,209,216.5,1.5972222222222223,1.4573755453931072,288
xgb,225,232.5,1.375,1.3312237036844736,288
xgb,241,247.94736842105263,1.3421052631578947,1.2467599541294174,266
xgb,257,258.61538461538464,2.3846153846153846,0.9080640077590942,13
