pick_bin,pick_center,mean_av,median_av,n_players,loess_mean_av_2yr,monotone_loess_mean_av_2yr
0,9.0,13.78921568627451,13.0,408,13.789215686274508,13.789215686274508
1,24.0,10.181122448979592,10.0,392,11.511120273138811,11.511120273138811
2,40.0,9.081151832460733,9.0,382,9.081151832460742,9.081151832460742
3,56.0,7.857142857142857,7.0,378,7.906822556600355,7.906822556600355
4,72.0,6.806179775280899,6.0,356,6.78579948264652,6.78579948264652
5,89.0,5.611111111111111,5.0,342,5.847701696701302,5.847701696701302
6,105.0,5.262345679012346,4.0,324,5.147569972743909,5.147569972743909
7,120.0,4.539184952978056,4.0,319,4.684258607870441,4.684258607870441
8,137.0,4.26056338028169,3.0,284,4.320143117514305,4.320143117514305
9,153.0,4.207407407407407,3.0,270,4.135051577347177,4.135051577347177
10,169.0,3.895348837209302,3.0,258,3.7802375676842384,3.7802375676842384
11,184.0,3.2154471544715446,2.0,246,3.3300576256731715,3.3300576256731715
12,200.0,2.91324200913242,2.0,219,3.112044193769308,3.112044193769308
13,216.0,3.3121951219512193,2.0,205,3.0737473109122404,3.0737473109122404
14,233.0,2.9,2.0,190,2.9000000000000044,2.9000000000000044
15,248.0,3.0,2.0,159,4.3587912087912155,2.9000000000000044
16,259.0,5.428571428571429,2.0,7,5.428571428571415,2.9000000000000044
