feature,importance
pick_within_round,25.343716501603154
age_x_log_pick,11.696889199312462
pos_x_round_mean_av,10.633447712350888
vet_av,9.82411924013952
age,9.060180247349109
round,6.067462868948532
team,5.668442683429927
pick,4.855177705476414
prev_roster_young_players,1.5127398854929666
prev_roster_active_players,1.2720948700532821
prev_roster_avg_draft_number,1.0253219471054715
prev_roster_rookies,0.9007017166940207
prev_same_position_group_veterans_5plus,0.8793372479452987
prev_same_position_group_young_players,0.8705537961270929
prev_same_position_group_share,0.7242407730006409
prev_same_position_group_rookies,0.7007243579396742
prev_roster_drafted_players,0.6876612643969182
prev_roster_avg_age,0.6254143200264446
prev_same_position_group_players,0.5954034493700038
prev_roster_veterans_5plus,0.5862856210497869
prev_roster_active_avg_years_exp,0.5577718202877072
prev_same_position_group_drafted_players,0.5486641092631049
prev_roster_players,0.5282004389463775
prev_roster_avg_years_exp,0.5245951394130952
prev_same_position_group_active_share,0.5088419960142467
prev_same_position_group_avg_years_exp,0.5038457739549703
side,0.3165945726073723
prev_same_position_group_avg_age,0.3127408628149564
prev_roster_top100_draftees,0.30176640409896993
position_group,0.2848186690686675
prev_same_position_group_active_players,0.2551011708831701
pos_pick_rank,0.24283669870590188
pos_group_drafted_before,0.2280296652071424
college,0.1400233412925751
log_pick_x_ol,0.13807216621329224
log_pick_x_qb,0.12762048992933464
vet_age,0.10445575423190942
prev_roster_active_avg_age,0.08126981798116477
category,0.07491804861114966
position,0.07475517240000375
was_traded,0.05312936023561993
rushing_car,0.04800393169397269
log_pick_x_wr,0.044465726725368464
pos_first_overall,0.03731807105348695
rushing_ypc,0.03698453220503868
need_score,0.034497063242590734
rushing_yds,0.033784814764799796
receiving_ypr,0.03289855475062688
career_years,0.031604677215025266
log_pick_x_lb,0.030779122928104266
was_primary_pick,0.02640982310636493
trade_had_players,0.017306624503564086
passing_yds,0.016261754909211515
prev_same_position_group_top100_draftees,0.014808342857805044
passing_pct,0.012408354916924118
interceptions_td,0.012272949280989619
log_pick_x_rb,0.011682506770429004
passing_att,0.01154943738823931
passing_td,0.011484935492122329
puntreturns_avg,0.010277920736388398
passing_ypa,0.009069132697159907
log_pick_x_db,0.00829470184643631
receiving_rec,0.007854493235566017
puntreturns_yds,0.007441924700252673
puntreturns_no,0.0073466314164265835
passing_completions,0.006410607403631361
receiving_yds,0.0061865758463402875
kickreturns_no,0.006071061955357167
rushing_td,0.006070297870802599
college_perf_score,0.00508383890604558
pos_drafted,0.003740385319376146
punting_yds,0.00305359674628363
defensive_tot,0.002920422729876163
kicking_pts,0.0021077077099136924
interceptions_yds,0.0017930227187074443
receiving_td,0.0009941143429226039
interceptions_int,0.0007568967463599086
kickreturns_yds,0.0007267268749161196
passing_int,0.0007203470277494835
defensive_td,0.0002728816128908268
kicking_fgm,0.00020762864245475662
punting_no,0.00010803615217649828
kicking_fga,2.9429850462231426e-06
kickreturns_avg,0.0
defensive_solo,0.0
defensive_pd,0.0
fumbles_fum,0.0
fumbles_lost,0.0
fumbles_rec,0.0
log_pick_x_dl,0.0
cfb_matched,0.0
defensive_sacks,0.0
log_pick_x_te,0.0
defensive_tfl,0.0
defensive_qb_hur,0.0
punting_ypp,0.0
kicking_pct,0.0
