pick_bin,pick,actual_av,n
1,8.5,13.600961538461538,416
17,24.5,9.838942307692308,416
33,40.5,8.502403846153847,416
49,56.5,7.230769230769231,416
65,72.5,5.951923076923077,416
81,88.5,4.826923076923077,416
97,104.5,4.274038461538462,416
113,120.5,3.6346153846153846,416
129,136.5,3.1346153846153846,416
145,152.5,2.8846153846153846,416
161,168.5,2.5649038461538463,416
177,184.5,2.0889423076923075,416
193,200.5,1.7235576923076923,416
209,216.5,1.7764423076923077,416
225,232.5,1.4783653846153846,416
241,247.88031914893617,1.4069148936170213,376
257,258.9166666666667,1.8333333333333333,24
