Year,Team,PlayerID,Player,Position,AV
2021,cle,AlleBr01,Brian Allen,DB,0
2021,cle,BeckOd00,Odell Beckham Jr.,WR,2
2021,cle,BillAn00,Andrew Billings,NT,0
2021,cle,BitoJo00,Joel Bitonio,LG,14
2021,cle,BradJa01,Ja'Marcus Bradley,WR,1
2021,cle,BronJo01,Josiah Bronson,DT,0
2021,cle,BryaHa00,Harrison Bryant,TE,2
2021,cle,CageLa01,Lawrence Cager,WR,0
2021,cle,ChubNi00,Nick Chubb,RB,10
2021,cle,ClowJa00,Jadeveon Clowney,RDE,6
2021,cle,ColbAd00,Adrian Colbert,DB,0
2021,cle,ColqDu20,Dustin Colquitt,P,0
2021,cle,ConkJa00,Jack Conklin,RT,3
2021,cle,DayxSh00,Sheldon Day,DT,1
2021,cle,DelpGr00,Grant Delpit,SS,3
2021,cle,DunnMi01,Michael Dunn,T,1
2021,cle,ElliJo02,Jordan Elliott,DT,2
2021,cle,FeltDe00,Demetric Felton,WR,2
2021,cle,FielTo00,Tony Fields,LB,1
2021,cle,ForrMi00,Miller Forristall,TE,0
2021,cle,FranJo03,Jordan Franks,TE,0
2021,cle,FrohHj00,Hjalte Froholdt,G,0
2021,cle,GarrMy00,Myles Garrett,LDE,17
2021,cle,GillJa00,Jamie Gillan,P,1
2021,cle,GreeAJ00,A.J. Green,CB,1
2021,cle,GustPo01,Porter Gustin,DE,1
2021,cle,HancBl00,Blake Hance,RT,4
2021,cle,HarrNi01,Nick Harris,C,1
2021,cle,HarrTi01,Tim Harris,DB,0
2021,cle,HarrRo02,Ronnie Harrison,SS,4
2021,cle,HarvWi00,Willie Harvey,LB,0
2021,cle,HiggRa00,Rashard Higgins,WR,2
2021,cle,HillTr01,Troy Hill,DB,2
2021,cle,HoopAu00,Austin Hooper,TE,3
2021,cle,HubbCh00,Chris Hubbard,T,0
2021,cle,HudsJa00,James Hudson,T,2
2021,cle,HughCh01,Charley Hughlett,LS,1
2021,cle,HuntKa00,Kareem Hunt,RB,4
2021,cle,JackJo02,Joe Jackson,DE,1
2021,cle,JackMa02,Malik Jackson,RDT,6
2021,cle,JanoAn00,Andy Janovich,RB,0
2021,cle,JohnDE04,D'Ernest Johnson,RB,4
2021,cle,JohnJo10,John Johnson,FS,5
2021,cle,KeenCa00,Case Keenum,QB,1
2021,cle,KellJo00,John Kelly,RB,0
2021,cle,LandJa00,Jarvis Landry,WR,5
2021,cle,LeCoRi00,Richard LeCounte,DB,1
2021,cle,LeexEl00,Elijah Lee,LB,1
2021,cle,MayfBa00,Baker Mayfield,QB,10
2021,cle,McDoMa00,Malik McDowell,LDT,6
2021,cle,McKiTa00,Takkarist McKinley,DE,2
2021,cle,McLaCh00,Chase McLaughlin,K,2
2021,cle,MillHe01,Herb Miller,DB,0
2021,cle,MoffJo01,Jovante Moffatt,S,0
2021,cle,MullNi00,Nick Mullens,QB,0
2021,cle,NaggCh00,Chris Naggar,K,0
2021,cle,NatsJo00,Jojo Natson,WR,0
2021,cle,NewsGr00,Greg Newsome II,RCB,3
2021,cle,NjokDa00,David Njoku,TE,4
2021,cle,OdenIf00,Ifeadi Odenigbo,DE,1
2021,cle,OwusJe00,Jeremiah Owusu-Koramoah,LLB,4
2021,cle,PeopDo00,Donovan Peoples-Jones,WR,5
2021,cle,PhilJa01,Jacob Phillips,LB,1
2021,cle,SchwAn00,Anthony Schwartz,WR,1
2021,cle,SmitMa02,Malcolm Smith,MLB,4
2021,cle,StanJo02,Johnny Stanton,RB,0
2021,cle,StewM.00,M.J. Stewart,DB,1
2021,cle,TakiSi00,Sione Takitaki,RLB,4
2021,cle,TaylAl02,Alex Taylor-Prioleau,T,0
2021,cle,TellWy00,Wyatt Teller,RG,10
2021,cle,ThomTe00,Tedric Thompson,DB,0
2021,cle,TogiTo00,Tommy Togiai,DT,0
2021,cle,TretJC00,J.C. Tretter,C,6
2021,cle,WalkAn01,Anthony Walker,MLB,5
2021,cle,WardDe02,Denzel Ward,LCB,8
2021,cle,WeavCu00,Curtis Weaver,LB,0
2021,cle,WillGr00,Greedy Williams,RCB,3
2021,cle,WillJe04,Jedrick Wills Jr.,LT,6
2021,cle,WilsMa03,Mack Wilson,LLB,3
2021,rav,AndrMa00,Mark Andrews,TE,10
2021,rav,AverAn00,Anthony Averett,LCB,6
2021,rav,BateRa00,Rashod Bateman,WR,4
2021,rav,BellLe00,Le'Veon Bell,RB,0
2021,rav,BoarCh00,Chris Board,LB,1
2021,rav,BowsTy00,Tyus Bowser,ROLB/LILB,9
2021,rav,BoykMi00,Miles Boykin,WR,0
2021,rav,BoylNi00,Nick Boyle,TE,0
2021,rav,BozeBr00,Bradley Bozeman,C,5
2021,rav,BrowMa04,Marquise Brown,WR,8
2021,rav,ByneJo00,Josh Bynes,LILB,6
2021,rav,CampCa99,Calais Campbell,RDE/LDE,7
2021,rav,CannTr00,Trenton Cannon,RB,0
2021,rav,CarpJa00,James Carpenter,T,0
2021,rav,ClarCh00,Chuck Clark,SS,7
2021,rav,ClevBe00,Ben Cleveland,G,2
2021,rav,ColoTr01,Trystan Colon,C,1
2021,rav,DuveDe00,Devin Duvernay,WR,2
2021,rav,ElliDe02,DeShon Elliott,FS,3
2021,rav,ElliJu01,Justin Ellis,NT,3
2021,rav,FergJa02,Jaylon Ferguson,DE,1
2021,rav,FreeDe00,Devonta Freeman,RB,4
2021,rav,HarrMa06,Malik Harrison,ROLB,3
2021,rav,HayeDa00,Daelin Hayes,DE,0
2021,rav,HousJu00,Justin Houston,LOLB,8
2021,rav,HumpMa00,Marlon Humphrey,RCB,5
2021,rav,HuntTy01,Tyler Huntley,QB,2
2021,rav,JackLa00,Lamar Jackson,QB,11
2021,rav,JackRo00,Robert Jackson,DB,0
2021,rav,JeffTo00,Tony Jefferson,DB,0
2021,rav,JohnJo05,Josh Johnson,QB,1
2021,rav,JoneJa09,Jaryd Jones-Smith,T,0
2021,rav,KochSa20,Sam Koch,P,2
2021,rav,LeviAn00,Anthony Levine,DB,1
2021,rav,MackIs00,Isaiah Mack,DT,0
2021,rav,MaduJu00,Nnamdi Madubuike,LDE,6
2021,rav,McCrNa00,Nate McCrary,RB,0
2021,rav,McKeKa00,Kahlil McKenzie,DT,0
2021,rav,McPhPe00,Pernell McPhee,DE,1
2021,rav,MekaPa00,Patrick Mekari,RT,5
2021,rav,MoorNi00,Nick Moore,LS,1
2021,rav,MurrLa00,Latavius Murray,RB,3
2021,rav,OgbuCe00,Cedric Ogbuehi,T,0
2021,rav,OlivJo00,Josh Oliver,TE,1
2021,rav,OwehJa00,Odafe Oweh,DE,3
2021,rav,PhilTy00,Tyre Phillips,RT,2
2021,rav,PoljTo00,Tony Poljan,TE,0
2021,rav,PoweBe00,Ben Powers,LG,4
2021,rav,ProcJa00,James Proche,WR,2
2021,rav,QueePa00,Patrick Queen,RILB,9
2021,rav,RicaPa00,Patrick Ricard,FB,0
2021,rav,RichJo00,Jordan Richards,DB,0
2021,rav,SeymKe00,Kevon Seymour,DB,1
2021,rav,SharDa02,David Sharpe,T,0
2021,rav,SmitAn23,Andre Smith,T,0
2021,rav,SmitJi03,Jimmy Smith,DB,1
2021,rav,StanRo00,Ronnie Stanley,T,0
