Year,Team,PlayerID,Player,Position,Experience,AV
2013,cle,AubrJo00,Josh Aubrey,DB,Rook,1
2013,cle,BadeJo00,Johnson Bademosi,DB,1,1
2013,cle,BakeEd01,Edwin Baker,RB,Rook,1
2013,cle,BarnGa01,Gary Barnidge,TE,5,1
2013,cle,BenjTr00,Travis Benjamin,WR,1,2
2013,cle,BessDa00,Davone Bess,WR,5,2
2013,cle,BryaAr00,Armonty Bryant,DE,Rook,1
2013,cle,BryaDe00,Desmond Bryant,RDE,4,5
2013,cle,ButlRa20,Rashad Butler,T,6,1
2013,cle,CameJo00,Jordan Cameron,TE,2,5
2013,cle,CampJa00,Jason Campbell,QB,7,4
2013,cle,CardTa00,Tank Carder,LB,1,1
2013,cle,CoopJo00,Josh Cooper,WR,1,0
2013,cle,CousOn00,Oniel Cousins,T,5,2
2013,cle,cundibil01,Billy Cundiff,K,11,2
2013,cle,EdwaAr00,Armanti Edwards,QB,3,0
2013,cle,EubaDa00,Darius Eubanks,DB,Rook,1
2013,cle,GilkGa00,Garrett Gilkey,T,Rook,1
2013,cle,GipsTa00,Tashaun Gipson,FS,1,7
2013,cle,GordJo02,Josh Gordon,WR,1,10
2013,cle,GrayMa00,MarQueis Gray,TE,Rook,0
2013,cle,GrecJo20,John Greco,LG,5,5
2013,cle,GrovQu99,Quentin Groves,LB,5,0
2013,cle,GurlTo00,Tori Gurley,WR,Rook,0
2013,cle,HadeJo99,Joe Haden,LCB,3,12
2013,cle,HazePa00,Paul Hazel,DE,Rook,1
2013,cle,HoyeBr00,Brian Hoyer,QB,4,1
2013,cle,HughJo00,John Hughes,DT,1,2
2013,cle,JackDQ20,D'Qwell Jackson,RILB,7,7
2013,cle,KitcIs00,Ishmaa'ily Kitchen,DT,1,1
2013,cle,KrugPa99,Paul Kruger,LOLB,4,6
2013,cle,LannSp00,Spencer Lanning,P,1,1
2013,cle,LauvSh20,Shawn Lauvao,RG,3,4
2013,cle,LittGr00,Greg Little,WR,2,3
2013,cle,MackAl20,Alex Mack,C,4,9
2013,cle,MageBr00,Brandon Magee,LB,Rook,1
2013,cle,MartEr02,Eric Martin,LB,Rook,1
2013,cle,McFaLe00,Leon McFadden,DB,Rook,1
2013,cle,McGaWi00,Willis McGahee,RB,9,2
2013,cle,MiltKe00,Keavon Milton,TE,Rook,0
2013,cle,MingBa00,Barkevious Mingo,LB,Rook,3
2013,cle,OgboCh00,Chris Ogbonnaya,RB,4,3
2013,cle,OwenCh99,Chris Owens,DB,4,2
2013,cle,PinkJa00,Jason Pinkston,T,2,1
2013,cle,PoseJu00,Julian Posey,DB,1,1
2013,cle,PoyeJo00,Jordan Poyer,DB,Rook,1
2013,cle,RainBo00,Bobby Rainey,RB,1,0
2013,cle,RichTr00,Trent Richardson,RB,1,1
2013,cle,RobeCr00,Craig Robertson,LILB,1,6
2013,cle,RubiAh99,Ahtyba Rubin,LDE,5,6
2013,cle,SanfBr00,Brian Sanford,DT,2,0
2013,cle,SchwMi00,Mitchell Schwartz,RT,1,6
2013,cle,SheaJa00,Jabaal Sheard,ROLB,2,5
2013,cle,SkriBu00,Buster Skrine,RCB,2,5
2013,cle,SmitAn02,Andre Smith,TE,Rook,0
2013,cle,TaylPh00,Phil Taylor,NT,2,6
2013,cle,ThomJo28,Joe Thomas,LT,6,11
2013,cle,TymsBr00,Brian Tyms,WR,Rook,0
2013,cle,WallMa00,Martin Wallace,T,Rook,0
2013,cle,WardT.99,T.J. Ward,SS,3,11
2013,cle,WeedBr00,Brandon Weeden,QB,1,3
2013,cle,WhitFo00,Fozzy Whittaker,RB,1,1
2013,cle,WinnBi00,Billy Winn,DT,1,2
2013,cle,YounCh02,Christian Yount,LS,2,1
2013,rav,BajeBi00,Billy Bajema,TE,8,0
2013,rav,BrowAr00,Arthur Brown,LB,Rook,1
2013,rav,BrowCh05,Chykie Brown,DB,2,1
2013,rav,BrowMa00,Marlon Brown,WR,Rook,3
2013,rav,BrowOm00,Omar Brown,DB,1,0
2013,rav,ByneJo00,Josh Bynes,ROLB,2,4
2013,rav,CantCh21,Chris Canty,RDE,8,7
2013,rav,ClarDa00,Dallas Clark,TE,10,2
2013,rav,CodyTe99,Terrence Cody,DT,3,2
2013,rav,CoxxMo00,Morgan Cox,LS,3,1
2013,rav,DickEd00,Ed Dickson,TE,3,2
2013,rav,DossTa00,Tandon Doss,WR,2,3
2013,rav,DrauSh00,Shaun Draughn,RB,2,0
2013,rav,DumeEl20,Elvis Dumervil,LB,7,3
2013,rav,ElamMa00,Matt Elam,FS,Rook,7
2013,rav,FlacJo00,Joe Flacco,QB,5,8
2013,rav,GradGi00,Gino Gradkowski,C,1,7
2013,rav,GrahCo99,Corey Graham,DB,6,4
2013,rav,HuffMi20,Michael Huff,DB,7,1
2013,rav,IhedJa00,James Ihedigbo,SS,5,8
2013,rav,JackAs00,Asa Jackson,DB,1,0
2013,rav,JameRo99,Robert James,LB,4,0
2013,rav,JoneAr22,Arthur Jones,LDE,3,8
2013,rav,JoneJa03,Jacoby Jones,WR,6,4
2013,rav,JuszKy00,Kyle Juszczyk,RB,Rook,0
2013,rav,KochSa20,Sam Koch,P,7,2
2013,rav,LeacVo00,Vonta Leach,RB,9,0
2013,rav,LeviAn00,Anthony Levine,DB,1,1
2013,rav,McClJa01,Jameel McClain,LILB,5,5
2013,rav,McClAl00,Albert McClellan,LB,2,1
2013,rav,McKiBr21,Bryant McKinnie,LT,11,2
2013,rav,McPhPe00,Pernell McPhee,DE,2,2
2013,rav,MileJe00,Jeromy Miles,DB,3,1
2013,rav,MonrEu20,Eugene Monroe,LT,4,4
2013,rav,NgatHa20,Haloti Ngata,NT,7,11
2013,rav,OherMi20,Michael Oher,RT,4,7
2013,rav,OsemKe00,Kelechi Osemele,LG,1,3
2013,rav,PierBe00,Bernard Pierce,RB,1,3
2013,rav,PittDe00,Dennis Pitta,TE,3,1
2013,rav,ReidJa00,Jah Reid,T,2,1
2013,rav,RiceRa00,Ray Rice,RB,5,3
2013,rav,ScotBe00,Bernard Scott,RB,4,0
2013,rav,ShipA.20,A.Q. Shipley,LG,1,4
2013,rav,SimoJo01,John Simon,LB,Rook,1
2013,rav,SmitDa24,Daryl Smith,RILB,9,10
2013,rav,SmitJi03,Jimmy Smith,RCB,2,7
2013,rav,SmitTo02,Torrey Smith,WR,2,7
2013,rav,SpeaMa21,Marcus Spears,DE,8,1
2013,rav,StokBr00,Brandon Stokley,WR,14,1
2013,rav,SuggTe99,Terrell Suggs,LOLB,10,12
2013,rav,TaylTy00,Tyrod Taylor,QB,2,0
2013,rav,ThomDe04,Deonte Thompson,WR,1,1
2013,rav,TrawBr00,Brynden Trawick,DB,Rook,1
2013,rav,TuckJu00,Justin Tucker,K,1,5
2013,rav,TysoDe00,DeAngelo Tyson,DT,1,2
2013,rav,UpshCo00,Courtney Upshaw,ROLB,1,7
2013,rav,WagnRi00,Ricky Wagner,T,Rook,2
2013,rav,WebbLa99,Lardarius Webb,LCB,4,7
2013,rav,WillBr02,Brandon Williams,DT,Rook,1
2013,rav,YandMa20,Marshal Yanda,RG,6,8
2013,cin,AtkiGe99,Geno Atkins,RDT,3,5
2013,cin,BernGi00,Giovani Bernard,RB,Rook,9
2013,cin,BiluCh00,Christo Bilukidi,DE,1,0
2013,cin,BoleMi20,Michael Boley,LB,8,1
