iter	RMSE
0	5.607774348
1	5.527797332
2	5.450890899
3	5.379165055
4	5.313603149
5	5.248301862
6	5.195413137
7	5.144344143
8	5.096370731
9	5.054741159
10	5.008421482
11	4.970576723
12	4.93276674
13	4.896317593
14	4.870003232
15	4.835254902
16	4.806405465
17	4.781217516
18	4.759233935
19	4.736197488
20	4.71360543
21	4.699024177
22	4.684921451
23	4.66932632
24	4.655890347
25	4.642342523
26	4.628876191
27	4.613779338
28	4.600483342
29	4.589424109
30	4.579823907
31	4.567748806
32	4.556437655
33	4.544963423
34	4.536010605
35	4.528814456
36	4.519216241
37	4.511854212
38	4.504252639
39	4.496978233
40	4.489775815
41	4.484699673
42	4.47521388
43	4.466930069
44	4.459760568
45	4.455773789
46	4.450712687
47	4.44598664
48	4.43841571
49	4.432016378
50	4.427096563
51	4.422511091
52	4.41684583
53	4.415119747
54	4.409294361
55	4.405926201
56	4.401270867
57	4.397175984
58	4.392565604
59	4.38915853
60	4.385384452
61	4.38190279
62	4.377447729
63	4.372875581
64	4.372839333
65	4.369244238
66	4.366387205
67	4.361710489
68	4.358812789
69	4.355142493
70	4.351794122
71	4.345989237
72	4.344298924
73	4.341860398
74	4.339972761
75	4.337247995
76	4.333832584
77	4.332555755
78	4.330559349
79	4.329103899
80	4.326647926
81	4.324024
82	4.322059326
83	4.321166352
84	4.318435402
85	4.313588814
86	4.311070757
87	4.310389915
88	4.308256466
89	4.306797514
90	4.305902018
91	4.305078143
92	4.302888561
93	4.300036751
94	4.297951419
95	4.297706408
96	4.294975935
97	4.293814431
98	4.290400778
99	4.288063398
100	4.282466498
101	4.282027572
102	4.279278773
103	4.277138549
104	4.275352145
105	4.27305778
106	4.269984887
107	4.267940041
108	4.26500596
109	4.262310207
110	4.260551114
111	4.258559158
112	4.256329516
113	4.253049925
114	4.25046147
115	4.247474574
116	4.244452055
117	4.242506294
118	4.240849131
119	4.239671168
120	4.238051469
121	4.237659079
122	4.236400157
123	4.235090293
124	4.234093976
125	4.233275877
126	4.231818024
127	4.230180594
128	4.229743852
129	4.225972363
130	4.22415545
131	4.219410311
132	4.216951198
133	4.216037248
134	4.214239104
135	4.21317898
136	4.210555617
137	4.20992794
138	4.209315904
139	4.207608926
140	4.207040178
141	4.206149756
142	4.204927889
143	4.20411499
144	4.201253937
145	4.200501932
146	4.19933448
147	4.196617541
148	4.196127117
149	4.193467424
150	4.193121318
151	4.190063197
152	4.187524187
153	4.187155493
154	4.187056205
155	4.184579296
156	4.183855714
157	4.183769964
158	4.183428665
159	4.183241288
160	4.180541708
161	4.178850885
162	4.175923826
163	4.175123687
164	4.174379268
165	4.171963113
166	4.171331638
167	4.168916056
168	4.168790495
169	4.167432116
170	4.165222203
171	4.163339539
172	4.160039812
173	4.157208782
174	4.154741754
175	4.152454724
176	4.151276609
177	4.148801383
