iter	Tweedie:variance_power=1.5
0	5.881477123
1	5.805701843
2	5.733320089
3	5.668342928
4	5.601846969
5	5.538042067
6	5.476729224
7	5.418943875
8	5.361409724
9	5.304871492
10	5.254261893
11	5.207559082
12	5.163431934
13	5.11797414
14	5.073067534
15	5.033138005
16	4.993229448
17	4.955471809
18	4.921066352
19	4.884829803
20	4.850555336
21	4.816618533
22	4.78589171
23	4.757281381
24	4.729383506
25	4.701740818
26	4.678750621
27	4.654665063
28	4.630692993
29	4.608957937
30	4.587996657
31	4.567009635
32	4.549801214
33	4.531017887
34	4.51411517
35	4.498353697
36	4.479316949
37	4.462646875
38	4.45007483
39	4.437675744
40	4.424041108
41	4.411588461
42	4.399579496
43	4.386754989
44	4.373968834
45	4.366130368
46	4.357291983
47	4.345853539
48	4.334722663
49	4.324865321
50	4.316146284
51	4.306518444
52	4.294013075
53	4.288642107
54	4.279545108
55	4.271541866
56	4.263331886
57	4.253684832
58	4.247898285
59	4.240004216
60	4.232311635
61	4.227549927
62	4.219211195
63	4.213308887
64	4.205711519
65	4.196773911
66	4.191163492
67	4.185348289
68	4.179648885
69	4.174356159
70	4.168968581
71	4.164626711
72	4.162571709
73	4.155478727
74	4.151181571
75	4.149196757
76	4.146080005
77	4.143119664
78	4.137258966
79	4.134981552
80	4.133621231
81	4.127309752
82	4.123031554
83	4.121364468
84	4.115135562
85	4.11047724
86	4.105770729
87	4.102838771
88	4.101471104
89	4.096964685
90	4.093855133
91	4.092364421
92	4.087262622
93	4.08422673
94	4.082892822
95	4.079733637
96	4.07718383
97	4.076656226
98	4.07137134
99	4.066714082
100	4.063278774
101	4.060058417
102	4.056875307
103	4.052943034
104	4.049994527
105	4.047554072
106	4.044362138
107	4.042852191
108	4.040754585
109	4.039982975
110	4.037807481
111	4.036392978
112	4.033185955
113	4.030389928
114	4.028010463
115	4.024952115
116	4.023033943
117	4.021754326
118	4.018440876
119	4.016313578
120	4.014197755
121	4.013741494
122	4.013054684
123	4.012469385
124	4.009299925
125	4.008368483
126	4.005951192
127	4.005290168
128	4.003161313
129	4.001260985
130	3.999515716
131	3.999168198
132	3.9989136
133	3.998588509
134	3.998141436
135	3.997848427
136	3.995922864
137	3.995839376
138	3.99560583
139	3.993709565
140	3.991115281
141	3.990039416
142	3.989528884
143	3.987751785
144	3.986651748
145	3.985062497
146	3.983768836
147	3.983153896
148	3.982940305
149	3.982818737
150	3.982608331
151	3.982338158
152	3.98087264
153	3.980188723
154	3.979356318
155	3.979005022
156	3.978801876
157	3.978472017
158	3.978415592
159	3.9780509
160	3.977490977
161	3.977171591
162	3.976934891
163	3.974583942
164	3.974057541
165	3.972722378
166	3.970886445
167	3.97065864
168	3.970450879
169	3.970287077
170	3.970213545
171	3.969575006
172	3.969316595
173	3.969057261
174	3.968794086
175	3.968541761
176	3.968053227
177	3.967891965
178	3.96776459
179	3.967627856
180	3.967326653
181	3.964979983
182	3.964133454
183	3.963423222
184	3.962786836
185	3.962601871
186	3.962421714
187	3.960650992
188	3.959921018
189	3.958680625
190	3.958221621
191	3.956625003
192	3.956581705
193	3.9562839
194	3.956077099
195	3.955498056
196	3.955058613
197	3.955039351
198	3.954251308
199	3.953931382
200	3.953047145
201	3.952782979
202	3.952528749
203	3.952244032
204	3.951927292
205	3.950817929
206	3.950486104
207	3.94996467
208	3.949361879
209	3.949154701
210	3.94909834
211	3.947585924
212	3.947434855
213	3.946124578
214	3.946106408
215	3.945946956
216	3.944918011
217	3.944876139
218	3.944604754
219	3.944537862
220	3.944438025
221	3.944240266
222	3.944158762
223	3.943847795
224	3.9435402
225	3.943400584
226	3.943141629
227	3.943065617
228	3.942918823
229	3.942636658
230	3.942492571
231	3.942240999
232	3.941084508
233	3.941004348
234	3.940736018
235	3.940444211
236	3.940335619
237	3.939980384
238	3.939780226
239	3.939585944
240	3.938972024
241	3.938664482
242	3.938284189
243	3.93817942
244	3.937989251
245	3.937806316
246	3.937249194
247	3.936929459
248	3.936182508
249	3.936096416
250	3.936082007
251	3.935088601
252	3.934565258
253	3.934424349
254	3.934189395
255	3.933615808
256	3.933425063
257	3.933271067
258	3.933058388
259	3.932793775
260	3.932648854
261	3.932089448
262	3.931912731
263	3.93156497
264	3.931342792
265	3.931257783
266	3.930205103
267	3.93009078
268	3.929895381
269	3.929592221
270	3.92944241
271	3.929370638
272	3.9290766
273	3.928899977
274	3.92866951
275	3.928417891
276	3.928093486
277	3.927989755
278	3.927804348
279	3.926715179
280	3.926160351
281	3.926039915
282	3.925119647
283	3.923866678
284	3.922888443
285	3.922704868
