iter	Passed	Remaining
0	11	5858
1	24	6019
2	35	5933
3	47	5899
4	59	5841
5	68	5648
6	77	5470
7	87	5367
8	97	5314
9	107	5279
10	117	5239
11	128	5237
12	139	5212
13	150	5216
14	160	5180
15	172	5205
16	183	5225
17	195	5235
18	205	5199
19	216	5194
20	226	5163
21	238	5174
22	249	5173
23	260	5172
24	272	5176
25	283	5165
26	294	5164
27	305	5153
28	315	5119
29	326	5109
30	336	5096
31	348	5089
32	358	5079
33	368	5044
34	379	5044
35	391	5047
36	401	5026
37	412	5016
38	424	5014
39	435	5012
40	447	5010
41	459	5012
42	471	5006
43	482	4999
44	493	4993
45	504	4981
46	515	4973
47	525	4946
48	534	4922
49	544	4902
50	555	4893
51	567	4886
52	578	4879
53	589	4865
54	600	4858
55	611	4851
56	623	4848
57	634	4833
58	645	4823
59	655	4805
60	664	4782
61	674	4764
62	685	4753
63	696	4747
64	706	4730
65	717	4718
66	727	4699
67	737	4682
68	747	4666
69	757	4654
70	767	4635
71	777	4624
72	787	4606
73	797	4589
74	808	4581
75	813	4540
76	824	4528
77	833	4510
78	842	4492
79	853	4481
80	863	4466
81	874	4457
82	886	4451
83	896	4441
84	908	4438
85	919	4428
86	930	4418
87	940	4404
88	952	4399
89	962	4386
90	972	4372
91	982	4358
92	993	4346
93	1004	4339
94	1016	4335
95	1028	4326
96	1039	4316
97	1048	4301
98	1059	4292
99	1072	4288
100	1081	4273
101	1092	4262
102	1102	4249
103	1113	4239
104	1124	4230
105	1134	4217
106	1145	4207
107	1154	4189
108	1165	4181
109	1177	4174
110	1188	4166
111	1198	4151
112	1209	4140
113	1219	4130
114	1231	4122
115	1243	4115
116	1253	4104
117	1264	4092
118	1275	4084
119	1287	4075
120	1298	4068
121	1310	4061
122	1320	4048
123	1332	4040
124	1344	4032
125	1354	4020
126	1366	4012
127	1376	4000
128	1386	3987
129	1395	3972
130	1405	3959
131	1415	3945
132	1426	3936
133	1437	3926
134	1450	3921
135	1463	3917
136	1473	3903
137	1477	3875
138	1488	3866
139	1498	3852
140	1509	3842
141	1520	3833
142	1532	3825
143	1543	3815
144	1554	3804
145	1563	3790
146	1574	3781
147	1584	3769
148	1595	3759
149	1606	3748
150	1616	3735
151	1625	3722
152	1637	3714
153	1650	3707
154	1659	3694
155	1670	3684
156	1681	3673
157	1692	3662
158	1701	3648
159	1711	3637
160	1722	3625
161	1732	3615
162	1741	3601
163	1753	3591
164	1764	3582
165	1774	3571
166	1784	3558
167	1794	3546
168	1804	3533
169	1814	3522
170	1823	3509
171	1833	3497
172	1844	3486
173	1855	3476
174	1865	3464
175	1878	3457
176	1889	3448
177	1901	3440
178	1911	3427
179	1922	3417
180	1933	3407
181	1943	3395
182	1953	3383
183	1965	3374
184	1976	3365
185	1988	3356
186	1998	3344
187	2008	3333
188	2019	3323
189	2031	3314
190	2040	3301
191	2052	3292
192	2063	3282
193	2075	3273
194	2086	3263
195	2097	3253
196	2108	3242
197	2111	3221
198	2123	3211
199	2133	3200
200	2143	3189
201	2154	3179
202	2166	3169
203	2176	3158
204	2188	3149
205	2199	3139
206	2211	3129
207	2219	3115
208	2230	3105
209	2241	3095
210	2253	3086
211	2262	3073
212	2273	3064
213	2284	3053
214	2290	3035
215	2300	3025
216	2311	3014
217	2322	3004
218	2333	2994
219	2343	2982
220	2354	2972
221	2365	2961
222	2375	2950
223	2385	2938
224	2396	2928
225	2406	2917
226	2415	2904
227	2427	2895
228	2437	2884
229	2449	2875
230	2459	2864
231	2469	2852
232	2480	2842
233	2491	2832
234	2501	2821
235	2512	2810
236	2521	2798
237	2532	2787
238	2542	2776
239	2551	2764
240	2562	2753
241	2571	2741
242	2582	2730
243	2592	2719
244	2603	2709
245	2614	2699
246	2624	2688
247	2636	2678
248	2646	2668
249	2657	2657
250	2662	2640
251	2672	2630
252	2682	2618
253	2691	2607
254	2703	2597
255	2714	2587
256	2723	2575
257	2734	2564
258	2744	2554
259	2755	2543
260	2766	2533
261	2777	2523
262	2788	2512
263	2800	2503
264	2811	2493
265	2822	2482
266	2833	2472
267	2844	2462
268	2854	2451
269	2864	2439
270	2872	2427
271	2883	2416
272	2893	2405
273	2904	2395
274	2915	2385
275	2926	2374
276	2940	2366
277	2951	2356
278	2961	2345
279	2971	2334
280	2983	2325
281	2994	2314
282	3007	2305
283	3018	2295
284	3030	2286
285	3042	2276
